date,FOX stock
2012-10-12,13
2012-10-13,5
2012-10-14,0
2012-10-15,10
2012-10-16,10
2012-10-17,8
2012-10-18,12
2012-10-19,19
2012-10-20,7
2012-10-21,5
2012-10-22,2
2012-10-23,30
2012-10-24,6
2012-10-25,17
2012-10-26,9
2012-10-27,10
2012-10-28,2
2012-10-29,12
2012-10-30,22
2012-10-31,12
2012-11-01,9
2012-11-02,22
2012-11-03,5
2012-11-04,7
2012-11-05,12
2012-11-06,24
2012-11-07,100
2012-11-08,43
2012-11-09,28
2012-11-10,7
2012-11-11,12
2012-11-12,10
2012-11-13,14
2012-11-14,24
2012-11-15,2
2012-11-16,17
2012-11-17,9
2012-11-18,7
2012-11-19,10
2012-11-20,14
2012-11-21,10
2012-11-22,12
2012-11-23,17
2012-11-24,9
2012-11-25,7
2012-11-26,14
2012-11-27,6
2012-11-28,18
2012-11-29,12
2012-11-30,6
2012-12-01,9
2012-12-02,2
2012-12-03,14
2012-12-04,11
2012-12-05,18
2012-12-06,14
2012-12-07,10
2012-12-08,7
2012-12-09,5
2012-12-10,25
2012-12-11,13
2012-12-12,24
2012-12-13,8
2012-12-14,16
2012-12-15,5
2012-12-16,7
2012-12-17,15
2012-12-18,16
2012-12-19,12
2012-12-20,8
2012-12-21,13
2012-12-22,12
2012-12-23,5
2012-12-24,7
2012-12-25,5
2012-12-26,16
2012-12-27,21
2012-12-28,15
2012-12-29,7
2012-12-30,12
2012-12-31,22
2013-01-01,10
2013-01-02,26
2013-01-03,16
2013-01-04,12
2013-01-05,9
2013-01-06,9
2013-01-07,8
2013-01-08,8
2013-01-09,13
2013-01-10,9
2013-01-11,18
2013-01-12,7
2013-01-13,0
2013-01-14,15
2013-01-15,9
2013-01-16,15
2013-01-17,17
2013-01-18,11
2013-01-19,9
2013-01-20,11
2013-01-21,4
2013-01-22,22
2013-01-23,17
2013-01-24,19
2013-01-25,14
2013-01-26,15
2013-01-27,9
2013-01-28,13
2013-01-29,15
2013-01-30,15
2013-01-31,26
2013-02-01,23
2013-02-02,15
2013-02-03,9
2013-02-04,9
2013-02-05,22
2013-02-06,7
2013-02-07,17
2013-02-08,17
2013-02-09,7
2013-02-10,4
2013-02-11,13
2013-02-12,9
2013-02-13,11
2013-02-14,11
2013-02-15,14
2013-02-16,13
2013-02-17,9
2013-02-18,7
2013-02-19,11
2013-02-20,13
2013-02-21,13
2013-02-22,13
2013-02-23,17
2013-02-24,9
2013-02-25,18
2013-02-26,14
2013-02-27,11
2013-02-28,18
2013-03-01,19
2013-03-02,6
2013-03-03,6
2013-03-04,15
2013-03-05,33
2013-03-06,22
2013-03-07,15
2013-03-08,9
2013-03-09,13
2013-03-10,8
2013-03-11,5
2013-03-12,9
2013-03-13,18
2013-03-14,11
2013-03-15,13
2013-03-16,13
2013-03-17,8
2013-03-18,20
2013-03-19,11
2013-03-20,13
2013-03-21,9
2013-03-22,15
2013-03-23,2
2013-03-24,4
2013-03-25,9
2013-03-26,15
2013-03-27,7
2013-03-28,17
2013-03-29,8
2013-03-30,18
2013-03-31,14
2013-04-01,6
2013-04-02,11
2013-04-03,11
2013-04-04,13
2013-04-05,20
2013-04-06,6
2013-04-07,6
2013-04-08,19
2013-04-09,9
2013-04-10,16
2013-04-11,18
2013-04-12,19
2013-04-13,17
2013-04-14,9
2013-04-15,9
2013-04-16,20
2013-04-17,18
2013-04-18,9
2013-04-19,26
2013-04-20,9
2013-04-21,13
2013-04-22,16
2013-04-23,11
2013-04-24,25
2013-04-25,26
2013-04-26,9
2013-04-27,4
2013-04-28,2
2013-04-29,21
2013-04-30,16
2013-05-01,14
2013-05-02,17
2013-05-03,27
2013-05-04,13
2013-05-05,9
2013-05-06,11
2013-05-07,20
2013-05-08,13
2013-05-09,11
2013-05-10,15
2013-05-11,9
2013-05-12,11
2013-05-13,5
2013-05-14,9
2013-05-15,14
2013-05-16,11
2013-05-17,17
2013-05-18,4
2013-05-19,7
2013-05-20,14
2013-05-21,9
2013-05-22,23
2013-05-23,25
2013-05-24,20
2013-05-25,4
2013-05-26,0
2013-05-27,7
2013-05-28,12
2013-05-29,9
2013-05-30,9
2013-05-31,15
2013-06-01,4
2013-06-02,6
2013-06-03,12
2013-06-04,12
2013-06-05,11
2013-06-06,9
2013-06-07,13
2013-06-08,15
2013-06-09,9
2013-06-10,17
2013-06-11,7
2013-06-12,18
2013-06-13,7
2013-06-14,13
2013-06-15,4
2013-06-16,0
2013-06-17,16
2013-06-18,20
2013-06-19,12
2013-06-20,15
2013-06-21,21
2013-06-22,2
2013-06-23,9
2013-06-24,13
2013-06-25,9
2013-06-26,16
2013-06-27,11
2013-06-28,15
2013-06-29,15
