date,FOX stock
2013-02-19,41
2013-02-20,41
2013-02-21,46
2013-02-22,48
2013-02-23,36
2013-02-24,24
2013-02-25,25
2013-02-26,55
2013-02-27,61
2013-02-28,62
2013-03-01,27
2013-03-02,24
2013-03-03,30
2013-03-04,61
2013-03-05,51
2013-03-06,46
2013-03-07,72
2013-03-08,53
2013-03-09,41
2013-03-10,29
2013-03-11,30
2013-03-12,39
2013-03-13,39
2013-03-14,41
2013-03-15,47
2013-03-16,18
2013-03-17,18
2013-03-18,35
2013-03-19,5
2013-03-20,71
2013-03-21,41
2013-03-22,31
2013-03-23,12
2013-03-24,17
2013-03-25,50
2013-03-26,30
2013-03-27,62
2013-03-28,59
2013-03-29,41
2013-03-30,25
2013-03-31,19
2013-04-01,21
2013-04-02,25
2013-04-03,49
2013-04-04,35
2013-04-05,52
2013-04-06,30
2013-04-07,6
2013-04-08,59
2013-04-09,54
2013-04-10,65
2013-04-11,45
2013-04-12,32
2013-04-13,30
2013-04-14,36
2013-04-15,59
2013-04-16,65
2013-04-17,35
2013-04-18,46
2013-04-19,79
2013-04-20,18
2013-04-21,18
2013-04-22,65
2013-04-23,55
2013-04-24,60
2013-04-25,41
2013-04-26,21
2013-04-27,12
2013-04-28,12
2013-04-29,35
2013-04-30,30
2013-05-01,92
2013-05-02,41
2013-05-03,37
2013-05-04,37
2013-05-05,25
2013-05-06,25
2013-05-07,40
2013-05-08,61
2013-05-09,47
2013-05-10,32
2013-05-11,36
2013-05-12,18
2013-05-13,30
2013-05-14,59
2013-05-15,15
2013-05-16,35
2013-05-17,21
2013-05-18,30
2013-05-19,18
2013-05-20,40
2013-05-21,34
2013-05-22,45
2013-05-23,40
2013-05-24,53
2013-05-25,49
2013-05-26,6
2013-05-27,10
2013-05-28,39
2013-05-29,55
2013-05-30,61
2013-05-31,31
2013-06-01,30
2013-06-02,24
2013-06-03,25
2013-06-04,39
2013-06-05,64
2013-06-06,40
2013-06-07,42
2013-06-08,12
2013-06-09,18
2013-06-10,29
2013-06-11,29
2013-06-12,20
2013-06-13,25
2013-06-14,21
2013-06-15,49
2013-06-16,6
2013-06-17,40
2013-06-18,50
2013-06-19,44
2013-06-20,35
2013-06-21,58
2013-06-22,31
2013-06-23,6
2013-06-24,55
2013-06-25,59
2013-06-26,50
2013-06-27,25
2013-06-28,32
2013-06-29,31
2013-06-30,18
2013-07-01,60
2013-07-02,40
2013-07-03,36
2013-07-04,16
2013-07-05,55
2013-07-06,38
2013-07-07,6
2013-07-08,26
2013-07-09,35
2013-07-10,35
2013-07-11,31
2013-07-12,65
2013-07-13,44
2013-07-14,31
2013-07-15,41
2013-07-16,55
2013-07-17,31
2013-07-18,42
2013-07-19,64
2013-07-20,25
2013-07-21,31
2013-07-22,20
2013-07-23,56
2013-07-24,86
2013-07-25,57
2013-07-26,37
2013-07-27,31
2013-07-28,25
2013-07-29,45
2013-07-30,35
2013-07-31,41
2013-08-01,10
2013-08-02,32
2013-08-03,12
2013-08-04,19
2013-08-05,41
2013-08-06,91
2013-08-07,41
2013-08-08,63
2013-08-09,38
2013-08-10,19
2013-08-11,6
2013-08-12,30
2013-08-13,45
2013-08-14,51
2013-08-15,16
2013-08-16,60
2013-08-17,12
2013-08-18,36
2013-08-19,60
2013-08-20,30
2013-08-21,40
2013-08-22,61
2013-08-23,31
2013-08-24,30
2013-08-25,23
2013-08-26,39
2013-08-27,63
2013-08-28,43
2013-08-29,49
2013-08-30,42
2013-08-31,12
2013-09-01,12
2013-09-02,35
2013-09-03,24
2013-09-04,44
2013-09-05,44
2013-09-06,41
2013-09-07,29
2013-09-08,17
2013-09-09,62
2013-09-10,38
2013-09-11,33
2013-09-12,43
2013-09-13,50
2013-09-14,23
2013-09-15,39
2013-09-16,24
2013-09-17,62
2013-09-18,86
2013-09-19,63
2013-09-20,51
2013-09-21,23
2013-09-22,34
2013-09-23,48
2013-09-24,28
2013-09-25,34
2013-09-26,20
2013-09-27,30
2013-09-28,35
2013-09-29,11
2013-09-30,42
2013-10-01,56
2013-10-02,43
2013-10-03,62
2013-10-04,45
2013-10-05,50
2013-10-06,33
2013-10-07,52
2013-10-08,47
2013-10-09,62
2013-10-10,57
2013-10-11,100
2013-10-12,29
2013-10-13,17
2013-10-14,81
2013-10-15,67
2013-10-16,92
2013-10-17,43
2013-10-18,35
2013-10-19,28
2013-10-20,22
2013-10-21,14
2013-10-22,74
2013-10-23,66
2013-10-24,72
2013-10-25,54
2013-10-26,17
2013-10-27,16
2013-10-28,41
2013-10-29,56
2013-10-30,57
2013-10-31,19
2013-11-01,56
2013-11-02,22
2013-11-03,27
2013-11-04,28
2013-11-05,88
2013-11-06,60
