date,FOX stock
2012-01-26,43
2012-01-27,28
2012-01-28,52
2012-01-29,31
2012-01-30,52
2012-01-31,57
2012-02-01,52
2012-02-02,74
2012-02-03,82
2012-02-04,50
2012-02-05,37
2012-02-06,37
2012-02-07,47
2012-02-08,36
2012-02-09,42
2012-02-10,44
2012-02-11,19
2012-02-12,24
2012-02-13,87
2012-02-14,68
2012-02-15,58
2012-02-16,32
2012-02-17,60
2012-02-18,32
2012-02-19,32
2012-02-20,38
2012-02-21,43
2012-02-22,47
2012-02-23,53
2012-02-24,43
2012-02-25,38
2012-02-26,37
2012-02-27,36
2012-02-28,56
2012-02-29,51
2012-03-01,11
2012-03-02,40
2012-03-03,20
2012-03-04,45
2012-03-05,27
2012-03-06,52
2012-03-07,46
2012-03-08,37
2012-03-09,65
2012-03-10,31
2012-03-11,43
2012-03-12,41
2012-03-13,41
2012-03-14,41
2012-03-15,52
2012-03-16,33
2012-03-17,19
2012-03-18,44
2012-03-19,36
2012-03-20,62
2012-03-21,31
2012-03-22,21
2012-03-23,33
2012-03-24,32
2012-03-25,25
2012-03-26,72
2012-03-27,72
2012-03-28,52
2012-03-29,31
2012-03-30,50
2012-03-31,13
2012-04-01,45
2012-04-02,47
2012-04-03,68
2012-04-04,43
2012-04-05,33
2012-04-06,61
2012-04-07,20
2012-04-08,40
2012-04-09,25
2012-04-10,65
2012-04-11,67
2012-04-12,73
2012-04-13,44
2012-04-14,12
2012-04-15,37
2012-04-16,41
2012-04-17,41
2012-04-18,56
2012-04-19,41
2012-04-20,54
2012-04-21,19
2012-04-22,43
2012-04-23,56
2012-04-24,46
2012-04-25,15
2012-04-26,47
2012-04-27,70
2012-04-28,25
2012-04-29,44
2012-04-30,54
2012-05-01,34
2012-05-02,82
2012-05-03,47
2012-05-04,60
2012-05-05,25
2012-05-06,18
2012-05-07,46
2012-05-08,46
2012-05-09,46
2012-05-10,42
2012-05-11,43
2012-05-12,57
2012-05-13,38
2012-05-14,30
2012-05-15,30
2012-05-16,51
2012-05-17,37
2012-05-18,77
2012-05-19,52
2012-05-20,31
2012-05-21,50
2012-05-22,82
2012-05-23,46
2012-05-24,52
2012-05-25,33
2012-05-26,26
2012-05-27,26
2012-05-28,11
2012-05-29,45
2012-05-30,45
2012-05-31,36
2012-06-01,54
2012-06-02,70
2012-06-03,44
2012-06-04,45
2012-06-05,65
2012-06-06,65
2012-06-07,62
2012-06-08,43
2012-06-09,50
2012-06-10,18
2012-06-11,40
2012-06-12,54
2012-06-13,41
2012-06-14,46
2012-06-15,43
2012-06-16,25
2012-06-17,38
2012-06-18,50
2012-06-19,70
2012-06-20,51
2012-06-21,46
2012-06-22,60
2012-06-23,19
2012-06-24,19
2012-06-25,45
2012-06-26,55
2012-06-27,61
2012-06-28,78
2012-06-29,65
2012-06-30,52
2012-07-01,44
2012-07-02,46
2012-07-03,72
2012-07-04,21
2012-07-05,32
2012-07-06,38
2012-07-07,13
2012-07-08,38
2012-07-09,41
2012-07-10,45
2012-07-11,47
2012-07-12,42
2012-07-13,43
2012-07-14,32
2012-07-15,64
2012-07-16,31
2012-07-17,40
2012-07-18,26
2012-07-19,63
2012-07-20,49
2012-07-21,20
2012-07-22,13
2012-07-23,31
2012-07-24,57
2012-07-25,31
2012-07-26,42
2012-07-27,71
2012-07-28,26
2012-07-29,25
2012-07-30,41
2012-07-31,46
2012-08-01,41
2012-08-02,95
2012-08-03,60
2012-08-04,52
2012-08-05,57
2012-08-06,41
2012-08-07,36
2012-08-08,42
2012-08-09,52
2012-08-10,44
2012-08-11,51
2012-08-12,19
2012-08-13,36
2012-08-14,98
2012-08-15,60
2012-08-16,42
2012-08-17,55
2012-08-18,58
2012-08-19,40
2012-08-20,21
2012-08-21,31
2012-08-22,20
2012-08-23,83
2012-08-24,59
2012-08-25,44
2012-08-26,24
2012-08-27,40
2012-08-28,55
2012-08-29,70
2012-08-30,41
2012-08-31,37
2012-09-01,19
2012-09-02,12
2012-09-03,21
2012-09-04,59
2012-09-05,55
2012-09-06,61
2012-09-07,69
2012-09-08,43
2012-09-09,18
2012-09-10,49
2012-09-11,34
2012-09-12,63
2012-09-13,40
2012-09-14,47
2012-09-15,36
2012-09-16,48
2012-09-17,59
2012-09-18,72
2012-09-19,59
2012-09-20,15
2012-09-21,46
2012-09-22,48
2012-09-23,35
2012-09-24,82
2012-09-25,29
2012-09-26,39
2012-09-27,55
2012-09-28,31
2012-09-29,54
2012-09-30,29
2012-10-01,64
2012-10-02,34
2012-10-03,44
2012-10-04,53
2012-10-05,100
2012-10-06,41
2012-10-07,56
2012-10-08,42
2012-10-09,47
2012-10-10,71
2012-10-11,71
2012-10-12,91
