date,FOX stock
2013-11-06,55
2013-11-07,76
2013-11-08,29
2013-11-09,61
2013-11-10,38
2013-11-11,37
2013-11-12,56
2013-11-13,46
2013-11-14,33
2013-11-15,74
2013-11-16,34
2013-11-17,33
2013-11-18,60
2013-11-19,41
2013-11-20,27
2013-11-21,47
2013-11-22,5
2013-11-23,33
2013-11-24,27
2013-11-25,40
2013-11-26,51
2013-11-27,37
2013-11-28,15
2013-11-29,45
2013-11-30,22
2013-12-01,20
2013-12-02,63
2013-12-03,32
2013-12-04,9
2013-12-05,37
2013-12-06,58
2013-12-07,39
2013-12-08,54
2013-12-09,36
2013-12-10,41
2013-12-11,55
2013-12-12,66
2013-12-13,20
2013-12-14,17
2013-12-15,38
2013-12-16,33
2013-12-17,52
2013-12-18,43
2013-12-19,63
2013-12-20,67
2013-12-21,12
2013-12-22,35
2013-12-23,26
2013-12-24,29
2013-12-25,25
2013-12-26,48
2013-12-27,21
2013-12-28,45
2013-12-29,51
2013-12-30,30
2013-12-31,51
2014-01-01,30
2014-01-02,24
2014-01-03,49
2014-01-04,26
2014-01-05,43
2014-01-06,69
2014-01-07,59
2014-01-08,58
2014-01-09,31
2014-01-10,61
2014-01-11,21
2014-01-12,41
2014-01-13,26
2014-01-14,35
2014-01-15,64
2014-01-16,50
2014-01-17,28
2014-01-18,32
2014-01-19,36
2014-01-20,40
2014-01-21,31
2014-01-22,39
2014-01-23,27
2014-01-24,65
2014-01-25,31
2014-01-26,31
2014-01-27,57
2014-01-28,47
2014-01-29,39
2014-01-30,36
2014-01-31,46
2014-02-01,16
2014-02-02,10
2014-02-03,100
2014-02-04,71
2014-02-05,66
2014-02-06,60
2014-02-07,35
2014-02-08,41
2014-02-09,10
2014-02-10,43
2014-02-11,52
2014-02-12,39
2014-02-13,67
2014-02-14,69
2014-02-15,26
2014-02-16,0
2014-02-17,35
2014-02-18,48
2014-02-19,44
2014-02-20,58
2014-02-21,50
2014-02-22,5
2014-02-23,41
2014-02-24,39
2014-02-25,34
2014-02-26,39
2014-02-27,61
2014-02-28,28
2014-03-01,31
2014-03-02,26
2014-03-03,57
2014-03-04,77
2014-03-05,62
2014-03-06,36
2014-03-07,60
2014-03-08,31
2014-03-09,42
2014-03-10,49
2014-03-11,44
2014-03-12,43
2014-03-13,58
2014-03-14,42
2014-03-15,51
2014-03-16,30
2014-03-17,62
2014-03-18,65
2014-03-19,74
2014-03-20,57
2014-03-21,55
2014-03-22,31
2014-03-23,25
2014-03-24,56
2014-03-25,30
2014-03-26,35
2014-03-27,57
2014-03-28,42
2014-03-29,31
2014-03-30,5
2014-03-31,39
2014-04-01,48
2014-04-02,53
2014-04-03,62
2014-04-04,45
2014-04-05,21
2014-04-06,10
2014-04-07,34
2014-04-08,30
2014-04-09,22
2014-04-10,80
2014-04-11,42
2014-04-12,42
2014-04-13,21
2014-04-14,36
2014-04-15,49
2014-04-16,46
2014-04-17,42
2014-04-18,40
2014-04-19,28
2014-04-20,11
2014-04-21,43
2014-04-22,43
2014-04-23,35
2014-04-24,45
2014-04-25,47
2014-04-26,41
2014-04-27,25
2014-04-28,61
2014-04-29,17
2014-04-30,31
2014-05-01,72
2014-05-02,33
2014-05-03,21
2014-05-04,10
2014-05-05,40
2014-05-06,49
2014-05-07,39
2014-05-08,66
2014-05-09,18
2014-05-10,31
2014-05-11,25
2014-05-12,26
2014-05-13,52
2014-05-14,31
2014-05-15,53
2014-05-16,45
2014-05-17,5
2014-05-18,5
2014-05-19,48
2014-05-20,35
2014-05-21,14
2014-05-22,44
2014-05-23,50
2014-05-24,35
2014-05-25,29
2014-05-26,5
2014-05-27,37
2014-05-28,58
2014-05-29,25
2014-05-30,26
2014-05-31,47
2014-06-01,0
2014-06-02,82
2014-06-03,38
2014-06-04,24
2014-06-05,34
2014-06-06,15
2014-06-07,18
2014-06-08,18
2014-06-09,40
2014-06-10,59
2014-06-11,54
2014-06-12,20
2014-06-13,41
2014-06-14,18
2014-06-15,24
2014-06-16,19
2014-06-17,39
2014-06-18,49
2014-06-19,35
2014-06-20,31
2014-06-21,24
2014-06-22,18
2014-06-23,39
2014-06-24,39
2014-06-25,48
2014-06-26,34
2014-06-27,26
2014-06-28,30
2014-06-29,18
2014-06-30,10
2014-07-01,59
2014-07-02,50
2014-07-03,46
2014-07-04,27
2014-07-05,36
2014-07-06,30
2014-07-07,39
2014-07-08,64
2014-07-09,45
2014-07-10,30
2014-07-11,46
2014-07-12,23
2014-07-13,23
2014-07-14,29
2014-07-15,24
2014-07-16,51
2014-07-17,55
2014-07-18,73
2014-07-19,6
2014-07-20,36
2014-07-21,54
2014-07-22,59
2014-07-23,51
2014-07-24,60
