date,FOX stock
2011-01-01,0
2011-01-02,8
2011-01-03,3
2011-01-04,12
2011-01-05,12
2011-01-06,16
2011-01-07,6
2011-01-08,8
2011-01-09,7
2011-01-10,15
2011-01-11,18
2011-01-12,6
2011-01-13,24
2011-01-14,3
2011-01-15,4
2011-01-16,15
2011-01-17,9
2011-01-18,12
2011-01-19,18
2011-01-20,3
2011-01-21,12
2011-01-22,4
2011-01-23,4
2011-01-24,6
2011-01-25,9
2011-01-26,18
2011-01-27,12
2011-01-28,9
2011-01-29,4
2011-01-30,3
2011-01-31,6
2011-02-01,11
2011-02-02,11
2011-02-03,6
2011-02-04,15
2011-02-05,10
2011-02-06,14
2011-02-07,17
2011-02-08,17
2011-02-09,11
2011-02-10,6
2011-02-11,9
2011-02-12,14
2011-02-13,4
2011-02-14,14
2011-02-15,8
2011-02-16,11
2011-02-17,12
2011-02-18,15
2011-02-19,4
2011-02-20,21
2011-02-21,11
2011-02-22,14
2011-02-23,14
2011-02-24,26
2011-02-25,18
2011-02-26,4
2011-02-27,7
2011-02-28,14
2011-03-01,11
2011-03-02,17
2011-03-03,6
2011-03-04,24
2011-03-05,0
2011-03-06,0
2011-03-07,6
2011-03-08,12
2011-03-09,23
2011-03-10,8
2011-03-11,20
2011-03-12,4
2011-03-13,7
2011-03-14,18
2011-03-15,14
2011-03-16,22
2011-03-17,11
2011-03-18,9
2011-03-19,7
2011-03-20,3
2011-03-21,8
2011-03-22,20
2011-03-23,14
2011-03-24,3
2011-03-25,30
2011-03-26,3
2011-03-27,7
2011-03-28,11
2011-03-29,11
2011-03-30,11
2011-03-31,6
2011-04-01,15
2011-04-02,7
2011-04-03,14
2011-04-04,11
2011-04-05,23
2011-04-06,23
2011-04-07,14
2011-04-08,21
2011-04-09,11
2011-04-10,7
2011-04-11,6
2011-04-12,14
2011-04-13,6
2011-04-14,12
2011-04-15,12
2011-04-16,0
2011-04-17,0
2011-04-18,23
2011-04-19,12
2011-04-20,3
2011-04-21,9
2011-04-22,14
2011-04-23,8
2011-04-24,0
2011-04-25,16
2011-04-26,8
2011-04-27,11
2011-04-28,14
2011-04-29,9
2011-04-30,11
2011-05-01,11
2011-05-02,22
2011-05-03,20
2011-05-04,9
2011-05-05,12
2011-05-06,15
2011-05-07,0
2011-05-08,4
2011-05-09,14
2011-05-10,3
2011-05-11,8
2011-05-12,11
2011-05-13,9
2011-05-14,0
2011-05-15,3
2011-05-16,16
2011-05-17,20
2011-05-18,6
2011-05-19,11
2011-05-20,9
2011-05-21,0
2011-05-22,3
2011-05-23,3
2011-05-24,17
2011-05-25,14
2011-05-26,3
2011-05-27,3
2011-05-28,7
2011-05-29,4
2011-05-30,6
2011-05-31,11
2011-06-01,6
2011-06-02,12
2011-06-03,12
2011-06-04,0
2011-06-05,0
2011-06-06,17
2011-06-07,3
2011-06-08,6
2011-06-09,11
2011-06-10,9
2011-06-11,4
2011-06-12,7
2011-06-13,8
2011-06-14,5
2011-06-15,8
2011-06-16,8
2011-06-17,6
2011-06-18,0
2011-06-19,7
2011-06-20,8
2011-06-21,3
2011-06-22,25
2011-06-23,15
2011-06-24,18
2011-06-25,7
2011-06-26,11
2011-06-27,14
2011-06-28,14
2011-06-29,8
2011-06-30,14
2011-07-01,3
2011-07-02,7
2011-07-03,4
2011-07-04,6
2011-07-05,23
2011-07-06,0
2011-07-07,3
2011-07-08,18
2011-07-09,4
2011-07-10,7
2011-07-11,11
2011-07-12,11
2011-07-13,6
2011-07-14,9
2011-07-15,18
2011-07-16,7
2011-07-17,4
2011-07-18,22
2011-07-19,11
2011-07-20,17
2011-07-21,6
2011-07-22,18
2011-07-23,7
2011-07-24,14
2011-07-25,11
2011-07-26,14
2011-07-27,25
2011-07-28,6
2011-07-29,18
2011-07-30,11
2011-07-31,18
2011-08-01,25
2011-08-02,6
2011-08-03,11
2011-08-04,23
2011-08-05,59
2011-08-06,39
2011-08-07,10
2011-08-08,100
2011-08-09,43
2011-08-10,42
2011-08-11,25
2011-08-12,18
2011-08-13,11
2011-08-14,7
2011-08-15,14
2011-08-16,22
2011-08-17,20
2011-08-18,19
2011-08-19,26
2011-08-20,7
2011-08-21,10
2011-08-22,16
2011-08-23,11
2011-08-24,11
2011-08-25,11
2011-08-26,6
2011-08-27,7
2011-08-28,3
2011-08-29,14
2011-08-30,16
2011-08-31,5
2011-09-01,19
2011-09-02,14
2011-09-03,3
2011-09-04,3
2011-09-05,0
2011-09-06,5
2011-09-07,18
2011-09-08,16
2011-09-09,14
2011-09-10,10
2011-09-11,13
2011-09-12,8
2011-09-13,10
2011-09-14,23
2011-09-15,13
2011-09-16,5
2011-09-17,3
2011-09-18,6
