date,FOX stock
2014-03-16,22
2014-03-17,68
2014-03-18,82
2014-03-19,72
2014-03-20,68
2014-03-21,40
2014-03-22,34
2014-03-23,5
2014-03-24,57
2014-03-25,47
2014-03-26,62
2014-03-27,49
2014-03-28,55
2014-03-29,23
2014-03-30,17
2014-03-31,72
2014-04-01,57
2014-04-02,53
2014-04-03,34
2014-04-04,65
2014-04-05,29
2014-04-06,28
2014-04-07,38
2014-04-08,57
2014-04-09,43
2014-04-10,49
2014-04-11,76
2014-04-12,35
2014-04-13,29
2014-04-14,53
2014-04-15,73
2014-04-16,94
2014-04-17,52
2014-04-18,67
2014-04-19,24
2014-04-20,6
2014-04-21,42
2014-04-22,29
2014-04-23,53
2014-04-24,63
2014-04-25,46
2014-04-26,23
2014-04-27,28
2014-04-28,38
2014-04-29,38
2014-04-30,39
2014-05-01,11
2014-05-02,46
2014-05-03,28
2014-05-04,11
2014-05-05,58
2014-05-06,29
2014-05-07,52
2014-05-08,49
2014-05-09,31
2014-05-10,23
2014-05-11,17
2014-05-12,66
2014-05-13,29
2014-05-14,24
2014-05-15,43
2014-05-16,25
2014-05-17,17
2014-05-18,6
2014-05-19,43
2014-05-20,38
2014-05-21,42
2014-05-22,43
2014-05-23,50
2014-05-24,19
2014-05-25,20
2014-05-26,22
2014-05-27,26
2014-05-28,31
2014-05-29,43
2014-05-30,50
2014-05-31,13
2014-06-01,6
2014-06-02,43
2014-06-03,68
2014-06-04,31
2014-06-05,32
2014-06-06,34
2014-06-07,40
2014-06-08,13
2014-06-09,32
2014-06-10,65
2014-06-11,64
2014-06-12,38
2014-06-13,39
2014-06-14,20
2014-06-15,13
2014-06-16,37
2014-06-17,16
2014-06-18,27
2014-06-19,38
2014-06-20,57
2014-06-21,53
2014-06-22,0
2014-06-23,27
2014-06-24,53
2014-06-25,37
2014-06-26,54
2014-06-27,57
2014-06-28,33
2014-06-29,33
2014-06-30,22
2014-07-01,43
2014-07-02,38
2014-07-03,39
2014-07-04,41
2014-07-05,13
2014-07-06,40
2014-07-07,38
2014-07-08,37
2014-07-09,49
2014-07-10,16
2014-07-11,40
2014-07-12,7
2014-07-13,32
2014-07-14,43
2014-07-15,21
2014-07-16,67
2014-07-17,61
2014-07-18,40
2014-07-19,13
2014-07-20,7
2014-07-21,27
2014-07-22,70
2014-07-23,67
2014-07-24,27
2014-07-25,40
2014-07-26,54
2014-07-27,20
2014-07-28,38
2014-07-29,44
2014-07-30,49
2014-07-31,33
2014-08-01,57
2014-08-02,7
2014-08-03,26
2014-08-04,43
2014-08-05,43
2014-08-06,77
2014-08-07,63
2014-08-08,29
2014-08-09,53
2014-08-10,13
2014-08-11,81
2014-08-12,58
2014-08-13,64
2014-08-14,87
2014-08-15,64
2014-08-16,52
2014-08-17,0
2014-08-18,11
2014-08-19,53
2014-08-20,70
2014-08-21,27
2014-08-22,28
2014-08-23,13
2014-08-24,25
2014-08-25,74
2014-08-26,31
2014-08-27,52
2014-08-28,32
2014-08-29,61
2014-08-30,25
2014-08-31,12
2014-09-01,47
2014-09-02,35
2014-09-03,41
2014-09-04,41
2014-09-05,54
2014-09-06,50
2014-09-07,43
2014-09-08,36
2014-09-09,25
2014-09-10,66
2014-09-11,72
2014-09-12,58
2014-09-13,37
2014-09-14,18
2014-09-15,66
2014-09-16,25
2014-09-17,46
2014-09-18,51
2014-09-19,37
2014-09-20,37
2014-09-21,36
2014-09-22,30
2014-09-23,66
2014-09-24,56
2014-09-25,56
2014-09-26,27
2014-09-27,31
2014-09-28,18
2014-09-29,40
2014-09-30,60
2014-10-01,51
2014-10-02,51
2014-10-03,33
2014-10-04,37
2014-10-05,12
2014-10-06,50
2014-10-07,35
2014-10-08,25
2014-10-09,61
2014-10-10,58
2014-10-11,37
2014-10-12,18
2014-10-13,70
2014-10-14,49
2014-10-15,100
2014-10-16,90
2014-10-17,68
2014-10-18,54
2014-10-19,36
2014-10-20,39
2014-10-21,73
2014-10-22,30
2014-10-23,61
2014-10-24,52
2014-10-25,24
2014-10-26,12
2014-10-27,64
2014-10-28,39
2014-10-29,45
2014-10-30,60
2014-10-31,37
2014-11-01,24
2014-11-02,29
2014-11-03,44
2014-11-04,24
2014-11-05,68
2014-11-06,34
2014-11-07,62
2014-11-08,29
2014-11-09,23
2014-11-10,39
2014-11-11,39
2014-11-12,39
2014-11-13,43
2014-11-14,71
2014-11-15,17
2014-11-16,11
2014-11-17,58
2014-11-18,58
2014-11-19,60
2014-11-20,75
2014-11-21,56
2014-11-22,23
2014-11-23,28
2014-11-24,34
2014-11-25,67
2014-11-26,39
2014-11-27,15
2014-11-28,26
2014-11-29,34
2014-11-30,6
2014-12-01,38
