date,FOX stock
2011-05-11,8
2011-05-12,16
2011-05-13,10
2011-05-14,7
2011-05-15,0
2011-05-16,12
2011-05-17,14
2011-05-18,12
2011-05-19,6
2011-05-20,9
2011-05-21,7
2011-05-22,10
2011-05-23,12
2011-05-24,15
2011-05-25,9
2011-05-26,7
2011-05-27,3
2011-05-28,11
2011-05-29,9
2011-05-30,9
2011-05-31,11
2011-06-01,12
2011-06-02,11
2011-06-03,7
2011-06-04,11
2011-06-05,5
2011-06-06,5
2011-06-07,3
2011-06-08,7
2011-06-09,12
2011-06-10,10
2011-06-11,5
2011-06-12,9
2011-06-13,14
2011-06-14,5
2011-06-15,16
2011-06-16,14
2011-06-17,6
2011-06-18,3
2011-06-19,3
2011-06-20,4
2011-06-21,7
2011-06-22,12
2011-06-23,14
2011-06-24,10
2011-06-25,9
2011-06-26,5
2011-06-27,14
2011-06-28,15
2011-06-29,8
2011-06-30,14
2011-07-01,3
2011-07-02,7
2011-07-03,4
2011-07-04,4
2011-07-05,10
2011-07-06,14
2011-07-07,12
2011-07-08,14
2011-07-09,4
2011-07-10,7
2011-07-11,12
2011-07-12,15
2011-07-13,15
2011-07-14,13
2011-07-15,10
2011-07-16,4
2011-07-17,9
2011-07-18,14
2011-07-19,16
2011-07-20,22
2011-07-21,10
2011-07-22,9
2011-07-23,9
2011-07-24,7
2011-07-25,17
2011-07-26,18
2011-07-27,19
2011-07-28,12
2011-07-29,16
2011-07-30,9
2011-07-31,14
2011-08-01,19
2011-08-02,18
2011-08-03,18
2011-08-04,42
2011-08-05,42
2011-08-06,22
2011-08-07,13
2011-08-08,100
2011-08-09,52
2011-08-10,34
2011-08-11,22
2011-08-12,17
2011-08-13,14
2011-08-14,3
2011-08-15,20
2011-08-16,14
2011-08-17,17
2011-08-18,15
2011-08-19,17
2011-08-20,10
2011-08-21,13
2011-08-22,14
2011-08-23,6
2011-08-24,13
2011-08-25,19
2011-08-26,14
2011-08-27,8
2011-08-28,14
2011-08-29,13
2011-08-30,10
2011-08-31,10
2011-09-01,13
2011-09-02,12
2011-09-03,5
2011-09-04,5
2011-09-05,8
2011-09-06,6
2011-09-07,13
2011-09-08,13
2011-09-09,8
2011-09-10,11
2011-09-11,8
2011-09-12,5
2011-09-13,10
2011-09-14,12
2011-09-15,14
2011-09-16,7
2011-09-17,6
2011-09-18,9
2011-09-19,11
2011-09-20,6
2011-09-21,9
2011-09-22,19
2011-09-23,18
2011-09-24,9
2011-09-25,15
2011-09-26,9
2011-09-27,13
2011-09-28,9
2011-09-29,14
2011-09-30,11
2011-10-01,14
2011-10-02,5
2011-10-03,15
2011-10-04,15
2011-10-05,15
2011-10-06,19
2011-10-07,10
2011-10-08,9
2011-10-09,7
2011-10-10,11
2011-10-11,7
2011-10-12,9
2011-10-13,7
2011-10-14,10
2011-10-15,4
2011-10-16,3
2011-10-17,14
2011-10-18,5
2011-10-19,10
2011-10-20,4
2011-10-21,10
2011-10-22,8
2011-10-23,6
2011-10-24,12
2011-10-25,12
2011-10-26,11
2011-10-27,16
2011-10-28,9
2011-10-29,11
2011-10-30,7
2011-10-31,7
2011-11-01,9
2011-11-02,10
2011-11-03,8
2011-11-04,9
2011-11-05,6
2011-11-06,4
2011-11-07,16
2011-11-08,16
2011-11-09,12
2011-11-10,10
2011-11-11,9
2011-11-12,4
2011-11-13,9
2011-11-14,15
2011-11-15,10
2011-11-16,7
2011-11-17,14
2011-11-18,9
2011-11-19,7
2011-11-20,7
2011-11-21,5
2011-11-22,11
2011-11-23,2
2011-11-24,4
2011-11-25,13
2011-11-26,7
2011-11-27,3
2011-11-28,13
2011-11-29,5
2011-11-30,9
2011-12-01,8
2011-12-02,14
2011-12-03,9
2011-12-04,3
2011-12-05,9
2011-12-06,14
2011-12-07,11
2011-12-08,6
2011-12-09,9
2011-12-10,8
2011-12-11,3
2011-12-12,8
2011-12-13,6
2011-12-14,7
2011-12-15,9
2011-12-16,5
2011-12-17,6
2011-12-18,6
2011-12-19,10
2011-12-20,11
2011-12-21,6
2011-12-22,8
2011-12-23,4
2011-12-24,3
2011-12-25,0
2011-12-26,7
2011-12-27,10
2011-12-28,9
2011-12-29,15
2011-12-30,12
2011-12-31,6
2012-01-01,8
2012-01-02,10
2012-01-03,9
2012-01-04,4
2012-01-05,8
2012-01-06,15
2012-01-07,8
2012-01-08,4
2012-01-09,11
2012-01-10,19
2012-01-11,10
2012-01-12,15
2012-01-13,5
2012-01-14,5
2012-01-15,7
2012-01-16,8
2012-01-17,15
2012-01-18,11
2012-01-19,13
2012-01-20,12
2012-01-21,8
2012-01-22,3
2012-01-23,3
2012-01-24,14
2012-01-25,9
2012-01-26,9
