date,WBA stock
2017-01-19,23
2017-01-20,24
2017-01-21,11
2017-01-22,0
2017-01-23,9
2017-01-24,9
2017-01-25,9
2017-01-26,14
2017-01-27,34
2017-01-28,5
2017-01-29,5
2017-01-30,18
2017-01-31,14
2017-02-01,27
2017-02-02,14
2017-02-03,19
2017-02-04,31
2017-02-05,5
2017-02-06,14
2017-02-07,22
2017-02-08,18
2017-02-09,9
2017-02-10,19
2017-02-11,16
2017-02-12,0
2017-02-13,18
2017-02-14,5
2017-02-15,14
2017-02-16,9
2017-02-17,27
2017-02-18,0
2017-02-19,0
2017-02-20,9
2017-02-21,23
2017-02-22,18
2017-02-23,14
2017-02-24,33
2017-02-25,5
2017-02-26,0
2017-02-27,31
2017-02-28,9
2017-03-01,61
2017-03-02,17
2017-03-03,18
2017-03-04,10
2017-03-05,0
2017-03-06,13
2017-03-07,17
2017-03-08,31
2017-03-09,18
2017-03-10,19
2017-03-11,5
2017-03-12,10
2017-03-13,25
2017-03-14,23
2017-03-15,18
2017-03-16,4
2017-03-17,24
2017-03-18,0
2017-03-19,5
2017-03-20,13
2017-03-21,31
2017-03-22,36
2017-03-23,18
2017-03-24,19
2017-03-25,16
2017-03-26,10
2017-03-27,13
2017-03-28,27
2017-03-29,23
2017-03-30,23
2017-03-31,9
2017-04-01,5
2017-04-02,10
2017-04-03,27
2017-04-04,22
2017-04-05,49
2017-04-06,18
2017-04-07,14
2017-04-08,5
2017-04-09,11
2017-04-10,23
2017-04-11,14
2017-04-12,14
2017-04-13,14
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,14
2017-04-18,0
2017-04-19,9
2017-04-20,32
2017-04-21,43
2017-04-22,0
2017-04-23,0
2017-04-24,18
2017-04-25,22
2017-04-26,36
2017-04-27,27
2017-04-28,38
2017-04-29,5
2017-04-30,5
2017-05-01,15
2017-05-02,18
2017-05-03,13
2017-05-04,27
2017-05-05,14
2017-05-06,5
2017-05-07,0
2017-05-08,9
2017-05-09,27
2017-05-10,22
2017-05-11,32
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,24
2017-05-16,44
2017-05-17,14
2017-05-18,24
2017-05-19,20
2017-05-20,11
2017-05-21,6
2017-05-22,34
2017-05-23,9
2017-05-24,34
2017-05-25,20
2017-05-26,42
2017-05-27,12
2017-05-28,0
2017-05-29,10
2017-05-30,19
2017-05-31,14
2017-06-01,15
2017-06-02,31
2017-06-03,0
2017-06-04,0
2017-06-05,14
2017-06-06,19
2017-06-07,23
2017-06-08,28
2017-06-09,20
2017-06-10,23
2017-06-11,0
2017-06-12,14
2017-06-13,5
2017-06-14,10
2017-06-15,24
2017-06-16,56
2017-06-17,12
2017-06-18,0
2017-06-19,38
2017-06-20,18
2017-06-21,42
2017-06-22,37
2017-06-23,53
2017-06-24,22
2017-06-25,6
2017-06-26,39
2017-06-27,59
2017-06-28,25
2017-06-29,100
2017-06-30,31
2017-07-01,6
2017-07-02,0
2017-07-03,20
2017-07-04,5
2017-07-05,20
2017-07-06,20
2017-07-07,20
2017-07-08,6
2017-07-09,6
2017-07-10,19
2017-07-11,10
2017-07-12,15
2017-07-13,30
2017-07-14,45
2017-07-15,0
2017-07-16,0
2017-07-17,15
2017-07-18,25
2017-07-19,40
2017-07-20,34
2017-07-21,41
2017-07-22,0
2017-07-23,0
2017-07-24,19
2017-07-25,38
2017-07-26,38
2017-07-27,29
2017-07-28,15
2017-07-29,11
2017-07-30,0
2017-07-31,53
2017-08-01,32
2017-08-02,27
2017-08-03,19
2017-08-04,39
2017-08-05,11
2017-08-06,0
2017-08-07,19
2017-08-08,18
2017-08-09,19
2017-08-10,24
2017-08-11,25
2017-08-12,5
2017-08-13,0
2017-08-14,29
2017-08-15,24
2017-08-16,9
2017-08-17,14
2017-08-18,10
2017-08-19,11
2017-08-20,5
2017-08-21,14
2017-08-22,24
2017-08-23,33
2017-08-24,5
2017-08-25,20
2017-08-26,0
2017-08-27,5
2017-08-28,28
2017-08-29,5
2017-08-30,28
2017-08-31,5
2017-09-01,5
2017-09-02,6
2017-09-03,5
2017-09-04,5
2017-09-05,23
2017-09-06,9
2017-09-07,9
2017-09-08,0
2017-09-09,5
2017-09-10,0
2017-09-11,18
2017-09-12,27
2017-09-13,23
2017-09-14,23
2017-09-15,19
2017-09-16,0
2017-09-17,5
2017-09-18,27
2017-09-19,46
2017-09-20,41
2017-09-21,42
2017-09-22,34
2017-09-23,5
2017-09-24,0
2017-09-25,18
2017-09-26,9
2017-09-27,41
2017-09-28,14
2017-09-29,34
2017-09-30,0
2017-10-01,21
2017-10-02,32
2017-10-03,23
2017-10-04,9
2017-10-05,46
2017-10-06,47
