date,WBA stock
2017-05-29,4
2017-05-30,4
2017-05-31,4
2017-06-01,26
2017-06-02,27
2017-06-03,0
2017-06-04,5
2017-06-05,13
2017-06-06,25
2017-06-07,33
2017-06-08,21
2017-06-09,22
2017-06-10,5
2017-06-11,5
2017-06-12,21
2017-06-13,8
2017-06-14,34
2017-06-15,31
2017-06-16,23
2017-06-17,16
2017-06-18,0
2017-06-19,30
2017-06-20,25
2017-06-21,17
2017-06-22,33
2017-06-23,17
2017-06-24,10
2017-06-25,0
2017-06-26,26
2017-06-27,57
2017-06-28,18
2017-06-29,98
2017-06-30,32
2017-07-01,15
2017-07-02,15
2017-07-03,9
2017-07-04,4
2017-07-05,4
2017-07-06,14
2017-07-07,9
2017-07-08,5
2017-07-09,0
2017-07-10,26
2017-07-11,22
2017-07-12,4
2017-07-13,22
2017-07-14,41
2017-07-15,5
2017-07-16,0
2017-07-17,26
2017-07-18,26
2017-07-19,35
2017-07-20,31
2017-07-21,36
2017-07-22,5
2017-07-23,5
2017-07-24,0
2017-07-25,43
2017-07-26,38
2017-07-27,22
2017-07-28,14
2017-07-29,5
2017-07-30,0
2017-07-31,52
2017-08-01,29
2017-08-02,24
2017-08-03,13
2017-08-04,18
2017-08-05,10
2017-08-06,0
2017-08-07,21
2017-08-08,20
2017-08-09,13
2017-08-10,22
2017-08-11,14
2017-08-12,10
2017-08-13,0
2017-08-14,21
2017-08-15,22
2017-08-16,8
2017-08-17,4
2017-08-18,9
2017-08-19,0
2017-08-20,0
2017-08-21,12
2017-08-22,25
2017-08-23,25
2017-08-24,17
2017-08-25,4
2017-08-26,0
2017-08-27,14
2017-08-28,21
2017-08-29,0
2017-08-30,13
2017-08-31,8
2017-09-01,9
2017-09-02,5
2017-09-03,5
2017-09-04,9
2017-09-05,12
2017-09-06,0
2017-09-07,21
2017-09-08,17
2017-09-09,0
2017-09-10,0
2017-09-11,16
2017-09-12,36
2017-09-13,20
2017-09-14,17
2017-09-15,9
2017-09-16,5
2017-09-17,5
2017-09-18,16
2017-09-19,45
2017-09-20,21
2017-09-21,33
2017-09-22,13
2017-09-23,0
2017-09-24,5
2017-09-25,21
2017-09-26,16
2017-09-27,4
2017-09-28,0
2017-09-29,26
2017-09-30,5
2017-10-01,5
2017-10-02,12
2017-10-03,4
2017-10-04,21
2017-10-05,33
2017-10-06,47
2017-10-07,24
2017-10-08,0
2017-10-09,32
2017-10-10,28
2017-10-11,61
2017-10-12,37
2017-10-13,60
2017-10-14,9
2017-10-15,5
2017-10-16,32
2017-10-17,57
2017-10-18,32
2017-10-19,33
2017-10-20,56
2017-10-21,5
2017-10-22,5
2017-10-23,48
2017-10-24,32
2017-10-25,61
2017-10-26,73
2017-10-27,100
2017-10-28,9
2017-10-29,5
2017-10-30,40
2017-10-31,45
2017-11-01,29
2017-11-02,49
2017-11-03,17
2017-11-04,5
2017-11-05,0
2017-11-06,36
2017-11-07,28
2017-11-08,44
2017-11-09,28
2017-11-10,37
2017-11-11,9
2017-11-12,4
2017-11-13,28
2017-11-14,24
2017-11-15,24
2017-11-16,36
2017-11-17,33
2017-11-18,5
2017-11-19,4
2017-11-20,39
2017-11-21,24
2017-11-22,12
2017-11-23,4
2017-11-24,25
2017-11-25,9
2017-11-26,4
2017-11-27,8
2017-11-28,24
2017-11-29,16
2017-11-30,48
2017-12-01,33
2017-12-02,23
2017-12-03,9
2017-12-04,20
2017-12-05,24
2017-12-06,31
2017-12-07,24
2017-12-08,42
2017-12-09,5
2017-12-10,0
2017-12-11,15
2017-12-12,43
2017-12-13,20
2017-12-14,16
2017-12-15,34
2017-12-16,9
2017-12-17,5
2017-12-18,20
2017-12-19,12
2017-12-20,25
2017-12-21,26
2017-12-22,18
2017-12-23,10
2017-12-24,0
2017-12-25,15
2017-12-26,4
2017-12-27,55
2017-12-28,26
2017-12-29,18
2017-12-30,5
2017-12-31,0
2018-01-01,5
2018-01-02,21
2018-01-03,36
2018-01-04,68
2018-01-05,45
2018-01-06,31
2018-01-07,13
2018-01-08,31
2018-01-09,39
2018-01-10,35
2018-01-11,24
2018-01-12,41
2018-01-13,18
2018-01-14,4
2018-01-15,4
2018-01-16,27
2018-01-17,26
2018-01-18,19
2018-01-19,28
2018-01-20,13
2018-01-21,0
2018-01-22,11
2018-01-23,27
2018-01-24,27
2018-01-25,31
2018-01-26,12
2018-01-27,4
2018-01-28,4
2018-01-29,15
2018-01-30,35
2018-01-31,27
2018-02-01,46
2018-02-02,44
2018-02-03,4
2018-02-04,13
2018-02-05,42
2018-02-06,27
2018-02-07,26
2018-02-08,12
2018-02-09,16
2018-02-10,0
2018-02-11,0
2018-02-12,24
2018-02-13,35
