date,WBA stock
2017-10-06,39
2017-10-07,38
2017-10-08,0
2017-10-09,42
2017-10-10,46
2017-10-11,42
2017-10-12,53
2017-10-13,54
2017-10-14,22
2017-10-15,11
2017-10-16,52
2017-10-17,28
2017-10-18,56
2017-10-19,24
2017-10-20,30
2017-10-21,5
2017-10-22,5
2017-10-23,37
2017-10-24,51
2017-10-25,98
2017-10-26,100
2017-10-27,69
2017-10-28,11
2017-10-29,0
2017-10-30,33
2017-10-31,71
2017-11-01,52
2017-11-02,77
2017-11-03,62
2017-11-04,11
2017-11-05,0
2017-11-06,18
2017-11-07,32
2017-11-08,23
2017-11-09,28
2017-11-10,33
2017-11-11,0
2017-11-12,16
2017-11-13,41
2017-11-14,23
2017-11-15,23
2017-11-16,23
2017-11-17,28
2017-11-18,10
2017-11-19,0
2017-11-20,22
2017-11-21,14
2017-11-22,23
2017-11-23,9
2017-11-24,9
2017-11-25,0
2017-11-26,15
2017-11-27,13
2017-11-28,31
2017-11-29,45
2017-11-30,24
2017-12-01,19
2017-12-02,11
2017-12-03,16
2017-12-04,13
2017-12-05,23
2017-12-06,18
2017-12-07,28
2017-12-08,34
2017-12-09,5
2017-12-10,5
2017-12-11,32
2017-12-12,27
2017-12-13,37
2017-12-14,42
2017-12-15,14
2017-12-16,0
2017-12-17,0
2017-12-18,41
2017-12-19,14
2017-12-20,48
2017-12-21,35
2017-12-22,20
2017-12-23,11
2017-12-24,6
2017-12-25,0
2017-12-26,15
2017-12-27,40
2017-12-28,5
2017-12-29,10
2017-12-30,11
2017-12-31,11
2018-01-01,11
2018-01-02,43
2018-01-03,64
2018-01-04,92
2018-01-05,66
2018-01-06,15
2018-01-07,15
2018-01-08,13
2018-01-09,36
2018-01-10,41
2018-01-11,50
2018-01-12,32
2018-01-13,15
2018-01-14,0
2018-01-15,22
2018-01-16,35
2018-01-17,35
2018-01-18,13
2018-01-19,19
2018-01-20,10
2018-01-21,0
2018-01-22,13
2018-01-23,35
2018-01-24,48
2018-01-25,22
2018-01-26,37
2018-01-27,0
2018-01-28,5
2018-01-29,31
2018-01-30,40
2018-01-31,35
2018-02-01,58
2018-02-02,55
2018-02-03,5
2018-02-04,10
2018-02-05,26
2018-02-06,31
2018-02-07,31
2018-02-08,45
2018-02-09,37
2018-02-10,15
2018-02-11,5
2018-02-12,22
2018-02-13,45
2018-02-14,18
2018-02-15,18
2018-02-16,42
2018-02-17,10
2018-02-18,0
2018-02-19,0
2018-02-20,30
2018-02-21,35
2018-02-22,31
2018-02-23,28
2018-02-24,0
2018-02-25,5
2018-02-26,30
2018-02-27,47
2018-02-28,17
2018-03-01,4
2018-03-02,50
2018-03-03,10
2018-03-04,0
2018-03-05,34
2018-03-06,30
2018-03-07,26
2018-03-08,31
2018-03-09,23
2018-03-10,20
2018-03-11,10
2018-03-12,34
2018-03-13,30
2018-03-14,26
2018-03-15,13
2018-03-16,37
2018-03-17,10
2018-03-18,5
2018-03-19,17
2018-03-20,18
2018-03-21,13
2018-03-22,13
2018-03-23,27
2018-03-24,10
2018-03-25,5
2018-03-26,18
2018-03-27,58
2018-03-28,46
2018-03-29,57
2018-03-30,10
2018-03-31,0
2018-04-01,11
2018-04-02,28
2018-04-03,49
2018-04-04,54
2018-04-05,41
2018-04-06,19
2018-04-07,15
2018-04-08,0
2018-04-09,35
