date,WBA stock
2015-08-18,3
2015-08-19,12
2015-08-20,9
2015-08-21,28
2015-08-22,11
2015-08-23,0
2015-08-24,12
2015-08-25,32
2015-08-26,27
2015-08-27,21
2015-08-28,12
2015-08-29,0
2015-08-30,0
2015-08-31,23
2015-09-01,6
2015-09-02,3
2015-09-03,12
2015-09-04,6
2015-09-05,0
2015-09-06,14
2015-09-07,0
2015-09-08,14
2015-09-09,9
2015-09-10,12
2015-09-11,15
2015-09-12,0
2015-09-13,3
2015-09-14,8
2015-09-15,20
2015-09-16,3
2015-09-17,12
2015-09-18,12
2015-09-19,7
2015-09-20,3
2015-09-21,3
2015-09-22,17
2015-09-23,9
2015-09-24,9
2015-09-25,6
2015-09-26,0
2015-09-27,0
2015-09-28,8
2015-09-29,6
2015-09-30,6
2015-10-01,0
2015-10-02,0
2015-10-03,7
2015-10-04,0
2015-10-05,9
2015-10-06,11
2015-10-07,8
2015-10-08,11
2015-10-09,0
2015-10-10,3
2015-10-11,3
2015-10-12,9
2015-10-13,6
2015-10-14,3
2015-10-15,14
2015-10-16,3
2015-10-17,0
2015-10-18,0
2015-10-19,11
2015-10-20,14
2015-10-21,3
2015-10-22,6
2015-10-23,12
2015-10-24,0
2015-10-25,3
2015-10-26,8
2015-10-27,48
2015-10-28,100
2015-10-29,42
2015-10-30,15
2015-10-31,10
2015-11-01,3
2015-11-02,8
2015-11-03,14
2015-11-04,14
2015-11-05,22
2015-11-06,24
2015-11-07,29
2015-11-08,3
2015-11-09,11
2015-11-10,14
2015-11-11,14
2015-11-12,9
2015-11-13,12
2015-11-14,7
2015-11-15,0
2015-11-16,19
2015-11-17,8
2015-11-18,6
2015-11-19,28
2015-11-20,14
2015-11-21,10
2015-11-22,0
2015-11-23,3
2015-11-24,0
2015-11-25,3
2015-11-26,3
2015-11-27,15
2015-11-28,7
2015-11-29,3
2015-11-30,8
2015-12-01,11
2015-12-02,5
2015-12-03,11
2015-12-04,6
2015-12-05,3
2015-12-06,6
2015-12-07,6
2015-12-08,3
2015-12-09,6
2015-12-10,11
2015-12-11,6
2015-12-12,3
2015-12-13,3
2015-12-14,14
2015-12-15,9
2015-12-16,6
2015-12-17,21
2015-12-18,3
2015-12-19,3
2015-12-20,0
2015-12-21,9
2015-12-22,9
2015-12-23,16
2015-12-24,7
2015-12-25,0
2015-12-26,4
2015-12-27,0
2015-12-28,6
2015-12-29,15
2015-12-30,22
2015-12-31,21
2016-01-01,0
2016-01-02,7
2016-01-03,0
2016-01-04,15
2016-01-05,6
2016-01-06,21
2016-01-07,31
2016-01-08,15
2016-01-09,3
2016-01-10,3
2016-01-11,9
2016-01-12,9
2016-01-13,15
2016-01-14,12
2016-01-15,6
2016-01-16,3
2016-01-17,10
2016-01-18,6
2016-01-19,9
2016-01-20,9
2016-01-21,6
2016-01-22,9
2016-01-23,10
2016-01-24,0
2016-01-25,12
2016-01-26,9
2016-01-27,0
2016-01-28,6
2016-01-29,6
2016-01-30,0
2016-01-31,0
2016-02-01,18
2016-02-02,6
2016-02-03,15
2016-02-04,9
2016-02-05,22
2016-02-06,10
2016-02-07,0
2016-02-08,12
2016-02-09,9
2016-02-10,3
2016-02-11,6
2016-02-12,15
2016-02-13,13
2016-02-14,0
2016-02-15,3
2016-02-16,12
2016-02-17,9
2016-02-18,12
2016-02-19,0
2016-02-20,7
2016-02-21,3
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,9
2016-02-26,18
2016-02-27,0
2016-02-28,0
2016-02-29,20
2016-03-01,3
2016-03-02,3
2016-03-03,9
2016-03-04,6
2016-03-05,3
2016-03-06,3
2016-03-07,9
2016-03-08,11
2016-03-09,9
2016-03-10,6
2016-03-11,15
2016-03-12,7
2016-03-13,0
2016-03-14,3
2016-03-15,6
2016-03-16,9
2016-03-17,12
2016-03-18,12
2016-03-19,3
2016-03-20,3
2016-03-21,15
2016-03-22,12
2016-03-23,6
2016-03-24,3
2016-03-25,7
2016-03-26,0
2016-03-27,3
2016-03-28,6
2016-03-29,6
2016-03-30,3
2016-03-31,27
2016-04-01,15
2016-04-02,13
2016-04-03,0
2016-04-04,14
2016-04-05,38
2016-04-06,20
2016-04-07,12
2016-04-08,3
2016-04-09,0
2016-04-10,0
2016-04-11,20
2016-04-12,6
2016-04-13,3
2016-04-14,9
2016-04-15,9
2016-04-16,3
2016-04-17,3
2016-04-18,12
2016-04-19,9
2016-04-20,6
2016-04-21,9
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,23
2016-04-26,6
2016-04-27,12
2016-04-28,9
2016-04-29,6
2016-04-30,0
2016-05-01,0
2016-05-02,12
2016-05-03,12
2016-05-04,9
