date,WBA stock
2014-12-01,0
2014-12-02,8
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,19
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,0
2014-12-11,0
2014-12-12,0
2014-12-13,10
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,9
2014-12-27,10
2014-12-28,10
2014-12-29,9
2014-12-30,9
2014-12-31,97
2015-01-01,41
2015-01-02,45
2015-01-03,9
2015-01-04,18
2015-01-05,47
2015-01-06,32
2015-01-07,24
2015-01-08,55
2015-01-09,40
2015-01-10,9
2015-01-11,18
2015-01-12,54
2015-01-13,23
2015-01-14,38
2015-01-15,39
2015-01-16,8
2015-01-17,9
2015-01-18,9
2015-01-19,31
2015-01-20,23
2015-01-21,15
2015-01-22,15
2015-01-23,16
2015-01-24,9
2015-01-25,0
2015-01-26,23
2015-01-27,30
2015-01-28,15
2015-01-29,38
2015-01-30,16
2015-01-31,9
2015-02-01,0
2015-02-02,30
2015-02-03,7
2015-02-04,15
2015-02-05,0
2015-02-06,48
2015-02-07,9
2015-02-08,0
2015-02-09,22
2015-02-10,7
2015-02-11,45
2015-02-12,47
2015-02-13,72
2015-02-14,0
2015-02-15,9
2015-02-16,0
2015-02-17,39
2015-02-18,46
2015-02-19,23
2015-02-20,32
2015-02-21,9
2015-02-22,18
2015-02-23,22
2015-02-24,45
2015-02-25,45
2015-02-26,23
2015-02-27,31
2015-02-28,17
2015-03-01,9
2015-03-02,37
2015-03-03,7
2015-03-04,60
2015-03-05,38
2015-03-06,16
2015-03-07,0
2015-03-08,0
2015-03-09,7
2015-03-10,22
2015-03-11,30
2015-03-12,38
2015-03-13,47
2015-03-14,18
2015-03-15,9
2015-03-16,30
2015-03-17,37
2015-03-18,38
2015-03-19,30
2015-03-20,23
2015-03-21,0
2015-03-22,9
2015-03-23,30
2015-03-24,15
2015-03-25,11
2015-03-26,0
2015-03-27,39
2015-03-28,0
2015-03-29,0
2015-03-30,30
2015-03-31,22
2015-04-01,46
2015-04-02,16
2015-04-03,9
2015-04-04,9
2015-04-05,0
2015-04-06,48
2015-04-07,30
2015-04-08,23
2015-04-09,61
2015-04-10,24
2015-04-11,9
2015-04-12,0
2015-04-13,22
2015-04-14,22
2015-04-15,7
2015-04-16,23
2015-04-17,16
2015-04-18,18
2015-04-19,9
2015-04-20,15
2015-04-21,15
2015-04-22,37
2015-04-23,38
2015-04-24,8
2015-04-25,0
2015-04-26,9
2015-04-27,30
2015-04-28,15
2015-04-29,30
2015-04-30,23
2015-05-01,60
2015-05-02,9
2015-05-03,0
2015-05-04,0
2015-05-05,30
2015-05-06,22
2015-05-07,38
2015-05-08,56
2015-05-09,9
2015-05-10,9
2015-05-11,8
2015-05-12,7
2015-05-13,15
2015-05-14,23
2015-05-15,23
2015-05-16,9
2015-05-17,9
2015-05-18,0
2015-05-19,15
2015-05-20,22
2015-05-21,15
2015-05-22,24
2015-05-23,18
2015-05-24,45
2015-05-25,8
2015-05-26,30
2015-05-27,15
2015-05-28,45
2015-05-29,24
2015-05-30,27
2015-05-31,9
2015-06-01,0
2015-06-02,37
2015-06-03,7
2015-06-04,8
2015-06-05,8
2015-06-06,0
2015-06-07,0
2015-06-08,15
2015-06-09,7
2015-06-10,22
2015-06-11,8
2015-06-12,47
2015-06-13,0
2015-06-14,9
2015-06-15,0
2015-06-16,44
2015-06-17,37
2015-06-18,45
2015-06-19,40
2015-06-20,18
2015-06-21,0
2015-06-22,37
2015-06-23,30
2015-06-24,23
2015-06-25,15
2015-06-26,8
2015-06-27,18
2015-06-28,0
2015-06-29,61
2015-06-30,15
2015-07-01,8
2015-07-02,30
2015-07-03,8
2015-07-04,0
2015-07-05,0
2015-07-06,15
2015-07-07,7
2015-07-08,67
2015-07-09,100
2015-07-10,63
2015-07-11,27
2015-07-12,18
2015-07-13,30
2015-07-14,30
2015-07-15,31
2015-07-16,31
2015-07-17,48
2015-07-18,29
2015-07-19,0
2015-07-20,32
2015-07-21,15
2015-07-22,15
2015-07-23,31
2015-07-24,8
2015-07-25,45
2015-07-26,0
2015-07-27,22
2015-07-28,30
2015-07-29,60
2015-07-30,23
2015-07-31,24
2015-08-01,0
2015-08-02,0
2015-08-03,30
2015-08-04,38
2015-08-05,23
2015-08-06,23
2015-08-07,8
2015-08-08,9
2015-08-09,0
2015-08-10,15
2015-08-11,7
2015-08-12,8
2015-08-13,15
2015-08-14,24
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,22
