date,WBA stock
2015-12-26,25
2015-12-27,8
2015-12-28,37
2015-12-29,52
2015-12-30,45
2015-12-31,33
2016-01-01,0
2016-01-02,17
2016-01-03,0
2016-01-04,58
2016-01-05,7
2016-01-06,22
2016-01-07,95
2016-01-08,45
2016-01-09,8
2016-01-10,8
2016-01-11,7
2016-01-12,14
2016-01-13,14
2016-01-14,0
2016-01-15,30
2016-01-16,0
2016-01-17,8
2016-01-18,22
2016-01-19,28
2016-01-20,21
2016-01-21,7
2016-01-22,15
2016-01-23,24
2016-01-24,0
2016-01-25,21
2016-01-26,14
2016-01-27,7
2016-01-28,21
2016-01-29,15
2016-01-30,0
2016-01-31,8
2016-02-01,43
2016-02-02,28
2016-02-03,28
2016-02-04,14
2016-02-05,37
2016-02-06,16
2016-02-07,8
2016-02-08,22
2016-02-09,22
2016-02-10,14
2016-02-11,14
2016-02-12,51
2016-02-13,16
2016-02-14,0
2016-02-15,28
2016-02-16,28
2016-02-17,28
2016-02-18,7
2016-02-19,7
2016-02-20,16
2016-02-21,8
2016-02-22,7
2016-02-23,7
2016-02-24,0
2016-02-25,7
2016-02-26,59
2016-02-27,8
2016-02-28,0
2016-02-29,27
2016-03-01,7
2016-03-02,21
2016-03-03,28
2016-03-04,22
2016-03-05,8
2016-03-06,0
2016-03-07,14
2016-03-08,7
2016-03-09,14
2016-03-10,14
2016-03-11,37
2016-03-12,8
2016-03-13,8
2016-03-14,7
2016-03-15,7
2016-03-16,7
2016-03-17,36
2016-03-18,15
2016-03-19,8
2016-03-20,8
2016-03-21,21
2016-03-22,21
2016-03-23,7
2016-03-24,15
2016-03-25,16
2016-03-26,0
2016-03-27,8
2016-03-28,37
2016-03-29,14
2016-03-30,7
2016-03-31,43
2016-04-01,37
2016-04-02,8
2016-04-03,8
2016-04-04,35
2016-04-05,76
2016-04-06,28
2016-04-07,43
2016-04-08,15
2016-04-09,0
2016-04-10,0
2016-04-11,49
2016-04-12,35
2016-04-13,14
2016-04-14,14
2016-04-15,22
2016-04-16,8
2016-04-17,8
2016-04-18,28
2016-04-19,7
2016-04-20,28
2016-04-21,36
2016-04-22,15
2016-04-23,0
2016-04-24,0
2016-04-25,42
2016-04-26,7
2016-04-27,49
2016-04-28,14
2016-04-29,22
2016-04-30,0
2016-05-01,8
2016-05-02,36
2016-05-03,21
2016-05-04,14
2016-05-05,15
2016-05-06,38
2016-05-07,8
2016-05-08,8
2016-05-09,7
2016-05-10,42
2016-05-11,21
2016-05-12,21
2016-05-13,36
2016-05-14,16
2016-05-15,0
2016-05-16,14
2016-05-17,14
2016-05-18,21
2016-05-19,7
2016-05-20,37
2016-05-21,17
2016-05-22,8
2016-05-23,49
2016-05-24,35
2016-05-25,0
2016-05-26,30
2016-05-27,8
2016-05-28,17
2016-05-29,0
2016-05-30,7
2016-05-31,7
2016-06-01,14
2016-06-02,44
2016-06-03,22
2016-06-04,17
2016-06-05,0
2016-06-06,7
2016-06-07,21
2016-06-08,29
2016-06-09,29
2016-06-10,45
2016-06-11,0
2016-06-12,0
2016-06-13,42
2016-06-14,42
2016-06-15,28
2016-06-16,42
2016-06-17,0
2016-06-18,0
2016-06-19,8
2016-06-20,21
2016-06-21,21
2016-06-22,35
2016-06-23,44
2016-06-24,76
2016-06-25,17
2016-06-26,0
2016-06-27,43
2016-06-28,57
2016-06-29,15
2016-06-30,66
2016-07-01,15
2016-07-02,9
2016-07-03,0
2016-07-04,0
2016-07-05,30
2016-07-06,100
2016-07-07,31
2016-07-08,80
2016-07-09,9
2016-07-10,9
2016-07-11,45
2016-07-12,38
2016-07-13,15
2016-07-14,29
2016-07-15,55
2016-07-16,0
2016-07-17,0
2016-07-18,8
2016-07-19,8
2016-07-20,23
2016-07-21,54
2016-07-22,31
2016-07-23,0
2016-07-24,18
2016-07-25,15
2016-07-26,23
2016-07-27,45
2016-07-28,15
2016-07-29,32
2016-07-30,9
2016-07-31,0
2016-08-01,60
2016-08-02,22
2016-08-03,53
2016-08-04,15
2016-08-05,33
2016-08-06,9
2016-08-07,9
2016-08-08,16
2016-08-09,31
2016-08-10,16
2016-08-11,56
2016-08-12,25
2016-08-13,0
2016-08-14,0
2016-08-15,8
2016-08-16,0
2016-08-17,16
2016-08-18,24
2016-08-19,16
2016-08-20,0
2016-08-21,0
2016-08-22,24
2016-08-23,16
2016-08-24,8
2016-08-25,0
2016-08-26,16
2016-08-27,0
2016-08-28,0
2016-08-29,67
2016-08-30,15
2016-08-31,0
2016-09-01,7
2016-09-02,23
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,7
2016-09-07,67
2016-09-08,53
2016-09-09,39
2016-09-10,0
2016-09-11,0
