date,PCAR stock
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,45
2016-05-14,0
2016-05-15,49
2016-05-16,0
2016-05-17,42
2016-05-18,42
2016-05-19,43
2016-05-20,45
2016-05-21,0
2016-05-22,49
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,45
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,86
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,45
2016-06-24,46
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,44
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,47
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,46
2016-07-12,45
2016-07-13,92
2016-07-14,0
2016-07-15,95
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,46
2016-07-22,47
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,45
2016-07-27,91
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,55
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,100
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,44
2016-08-30,0
2016-08-31,44
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,45
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,52
2016-09-12,0
2016-09-13,45
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,43
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,43
2016-10-05,43
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,43
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,42
2016-10-25,43
2016-10-26,43
2016-10-27,0
2016-10-28,46
2016-10-29,0
2016-10-30,0
2016-10-31,45
2016-11-01,0
2016-11-02,44
2016-11-03,0
2016-11-04,45
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,43
2016-11-17,44
2016-11-18,0
2016-11-19,0
2016-11-20,48
2016-11-21,0
2016-11-22,0
2016-11-23,42
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,43
2016-12-03,0
2016-12-04,45
2016-12-05,76
2016-12-06,80
2016-12-07,82
2016-12-08,0
2016-12-09,43
2016-12-10,48
2016-12-11,46
2016-12-12,0
2016-12-13,0
2016-12-14,41
2016-12-15,43
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,44
2016-12-22,45
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,44
2016-12-28,0
2016-12-29,0
2016-12-30,47
2016-12-31,0
2017-01-01,0
2017-01-02,43
2017-01-03,0
2017-01-04,0
2017-01-05,42
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,81
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,83
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,80
