date,PCAR stock
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,76
2015-08-25,0
2015-08-26,38
2015-08-27,39
2015-08-28,0
2015-08-29,93
2015-08-30,0
2015-08-31,57
2015-09-01,0
2015-09-02,0
2015-09-03,39
2015-09-04,40
2015-09-05,46
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,38
2015-09-11,40
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,74
2015-09-16,38
2015-09-17,38
2015-09-18,39
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,37
2015-09-23,0
2015-09-24,39
2015-09-25,40
2015-09-26,0
2015-09-27,0
2015-09-28,36
2015-09-29,37
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,37
2015-10-07,74
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,36
2015-10-14,0
2015-10-15,0
2015-10-16,39
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,37
2015-10-23,78
2015-10-24,43
2015-10-25,0
2015-10-26,36
2015-10-27,37
2015-10-28,54
2015-10-29,74
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,37
2015-11-03,0
2015-11-04,0
2015-11-05,37
2015-11-06,38
2015-11-07,0
2015-11-08,0
2015-11-09,36
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,37
2015-11-17,36
2015-11-18,0
2015-11-19,37
2015-11-20,38
2015-11-21,0
2015-11-22,0
2015-11-23,36
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,36
2015-12-02,0
2015-12-03,0
2015-12-04,38
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,72
2015-12-10,37
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,38
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,45
2015-12-21,78
2015-12-22,40
2015-12-23,42
2015-12-24,46
2015-12-25,0
2015-12-26,0
2015-12-27,45
2015-12-28,0
2015-12-29,100
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,46
2016-01-03,0
2016-01-04,39
2016-01-05,40
2016-01-06,80
2016-01-07,0
2016-01-08,40
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,38
2016-01-13,39
2016-01-14,96
2016-01-15,40
2016-01-16,0
2016-01-17,43
2016-01-18,0
2016-01-19,0
2016-01-20,58
2016-01-21,40
2016-01-22,80
2016-01-23,44
2016-01-24,0
2016-01-25,38
2016-01-26,38
2016-01-27,77
2016-01-28,0
2016-01-29,0
2016-01-30,44
2016-01-31,44
2016-02-01,39
2016-02-02,0
2016-02-03,38
2016-02-04,39
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,39
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,40
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,38
2016-02-17,76
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,75
2016-03-01,0
2016-03-02,0
2016-03-03,76
2016-03-04,39
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,37
2016-03-09,0
2016-03-10,0
2016-03-11,60
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,38
2016-03-16,38
2016-03-17,39
2016-03-18,40
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,39
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,40
2016-03-29,38
2016-03-30,0
2016-03-31,0
2016-04-01,40
2016-04-02,0
2016-04-03,43
2016-04-04,38
2016-04-05,0
2016-04-06,38
2016-04-07,38
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,38
2016-04-14,0
2016-04-15,40
2016-04-16,0
2016-04-17,44
2016-04-18,38
2016-04-19,38
2016-04-20,38
2016-04-21,0
2016-04-22,41
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,37
2016-04-27,0
2016-04-28,39
2016-04-29,61
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
