date,PCAR stock
2017-10-06,33
2017-10-07,0
2017-10-08,0
2017-10-09,21
2017-10-10,31
2017-10-11,21
2017-10-12,22
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,21
2017-10-17,21
2017-10-18,42
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,21
2017-10-24,73
2017-10-25,21
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,21
2017-10-31,43
2017-11-01,22
2017-11-02,0
2017-11-03,22
2017-11-04,0
2017-11-05,23
2017-11-06,0
2017-11-07,41
2017-11-08,42
2017-11-09,21
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,41
2017-11-17,75
2017-11-18,0
2017-11-19,23
2017-11-20,20
2017-11-21,31
2017-11-22,0
2017-11-23,0
2017-11-24,21
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,31
2017-11-29,20
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,21
2017-12-05,21
2017-12-06,31
2017-12-07,21
2017-12-08,22
2017-12-09,0
2017-12-10,0
2017-12-11,40
2017-12-12,21
2017-12-13,21
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,42
2017-12-19,21
2017-12-20,21
2017-12-21,0
2017-12-22,23
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,44
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,43
2018-01-03,0
2018-01-04,42
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,20
2018-01-09,20
2018-01-10,41
2018-01-11,41
2018-01-12,32
2018-01-13,0
2018-01-14,0
2018-01-15,20
2018-01-16,20
2018-01-17,0
2018-01-18,20
2018-01-19,42
2018-01-20,0
2018-01-21,23
2018-01-22,0
2018-01-23,0
2018-01-24,20
2018-01-25,0
2018-01-26,63
2018-01-27,0
2018-01-28,0
2018-01-29,20
2018-01-30,60
2018-01-31,40
2018-02-01,20
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,50
2018-02-06,100
2018-02-07,20
2018-02-08,0
2018-02-09,31
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,0
2018-02-14,20
2018-02-15,0
2018-02-16,21
2018-02-17,23
2018-02-18,0
2018-02-19,20
2018-02-20,20
2018-02-21,59
2018-02-22,0
2018-02-23,21
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,29
2018-02-28,20
2018-03-01,0
2018-03-02,21
2018-03-03,0
2018-03-04,22
2018-03-05,0
2018-03-06,0
2018-03-07,40
2018-03-08,0
2018-03-09,21
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,20
2018-03-14,40
2018-03-15,0
2018-03-16,21
2018-03-17,0
2018-03-18,22
2018-03-19,0
2018-03-20,39
2018-03-21,60
2018-03-22,40
2018-03-23,21
2018-03-24,23
2018-03-25,0
2018-03-26,0
2018-03-27,30
2018-03-28,21
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,21
2018-04-03,20
2018-04-04,20
2018-04-05,41
2018-04-06,21
2018-04-07,0
2018-04-08,0
2018-04-09,0
