date,BIIB stock
2018-02-13,0
2018-02-14,50
2018-02-15,100
2018-02-16,39
2018-02-17,0
2018-02-18,14
2018-02-19,12
2018-02-20,24
2018-02-21,62
2018-02-22,25
2018-02-23,13
2018-02-24,14
2018-02-25,0
2018-02-26,24
2018-02-27,97
2018-02-28,60
2018-03-01,0
2018-03-02,89
2018-03-03,42
2018-03-04,0
2018-03-05,24
2018-03-06,24
2018-03-07,49
2018-03-08,0
2018-03-09,52
2018-03-10,0
2018-03-11,0
2018-03-12,84
2018-03-13,48
2018-03-14,24
2018-03-15,12
2018-03-16,38
2018-03-17,0
2018-03-18,0
2018-03-19,36
2018-03-20,61
2018-03-21,12
2018-03-22,0
2018-03-23,38
2018-03-24,14
2018-03-25,14
2018-03-26,49
2018-03-27,25
2018-03-28,38
2018-03-29,39
2018-03-30,28
2018-03-31,0
2018-04-01,0
2018-04-02,13
2018-04-03,37
2018-04-04,74
2018-04-05,25
2018-04-06,39
2018-04-07,0
2018-04-08,0
