date,BIIB stock
2015-12-26,0
2015-12-27,0
2015-12-28,19
2015-12-29,6
2015-12-30,20
2015-12-31,14
2016-01-01,24
2016-01-02,7
2016-01-03,0
2016-01-04,25
2016-01-05,19
2016-01-06,19
2016-01-07,32
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,24
2016-01-12,31
2016-01-13,25
2016-01-14,12
2016-01-15,19
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,12
2016-01-20,18
2016-01-21,44
2016-01-22,32
2016-01-23,7
2016-01-24,0
2016-01-25,12
2016-01-26,25
2016-01-27,31
2016-01-28,31
2016-01-29,45
2016-01-30,0
2016-01-31,0
2016-02-01,25
2016-02-02,6
2016-02-03,12
2016-02-04,6
2016-02-05,20
2016-02-06,0
2016-02-07,14
2016-02-08,19
2016-02-09,13
2016-02-10,18
2016-02-11,19
2016-02-12,13
2016-02-13,7
2016-02-14,7
2016-02-15,0
2016-02-16,37
2016-02-17,18
2016-02-18,18
2016-02-19,13
2016-02-20,14
2016-02-21,7
2016-02-22,0
2016-02-23,24
2016-02-24,18
2016-02-25,18
2016-02-26,13
2016-02-27,7
2016-02-28,0
2016-02-29,24
2016-03-01,6
2016-03-02,18
2016-03-03,36
2016-03-04,32
2016-03-05,7
2016-03-06,0
2016-03-07,30
2016-03-08,18
2016-03-09,12
2016-03-10,19
2016-03-11,6
2016-03-12,0
2016-03-13,7
2016-03-14,12
2016-03-15,24
2016-03-16,6
2016-03-17,31
2016-03-18,19
2016-03-19,7
2016-03-20,7
2016-03-21,12
2016-03-22,25
2016-03-23,25
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,26
2016-03-29,24
2016-03-30,19
2016-03-31,18
2016-04-01,25
2016-04-02,7
2016-04-03,0
2016-04-04,12
2016-04-05,6
2016-04-06,30
2016-04-07,37
2016-04-08,13
2016-04-09,0
2016-04-10,0
2016-04-11,42
2016-04-12,12
2016-04-13,24
2016-04-14,31
2016-04-15,32
2016-04-16,14
2016-04-17,0
2016-04-18,18
2016-04-19,30
2016-04-20,12
2016-04-21,51
2016-04-22,19
2016-04-23,7
2016-04-24,0
2016-04-25,42
2016-04-26,24
2016-04-27,36
2016-04-28,0
2016-04-29,32
2016-04-30,7
2016-05-01,0
2016-05-02,12
2016-05-03,30
2016-05-04,25
2016-05-05,32
2016-05-06,26
2016-05-07,0
2016-05-08,0
2016-05-09,19
2016-05-10,6
2016-05-11,6
2016-05-12,31
2016-05-13,26
2016-05-14,0
2016-05-15,0
2016-05-16,12
2016-05-17,12
2016-05-18,6
2016-05-19,43
2016-05-20,19
2016-05-21,0
2016-05-22,0
2016-05-23,18
2016-05-24,18
2016-05-25,19
2016-05-26,6
2016-05-27,46
2016-05-28,7
2016-05-29,7
2016-05-30,6
2016-05-31,43
2016-06-01,12
2016-06-02,13
2016-06-03,26
2016-06-04,29
2016-06-05,7
2016-06-06,25
2016-06-07,56
2016-06-08,43
2016-06-09,45
2016-06-10,33
2016-06-11,22
2016-06-12,0
2016-06-13,31
2016-06-14,18
2016-06-15,19
2016-06-16,25
2016-06-17,13
2016-06-18,7
2016-06-19,0
2016-06-20,12
2016-06-21,31
2016-06-22,37
2016-06-23,19
2016-06-24,13
2016-06-25,0
2016-06-26,7
2016-06-27,43
2016-06-28,19
2016-06-29,13
2016-06-30,25
2016-07-01,20
2016-07-02,8
2016-07-03,8
2016-07-04,0
2016-07-05,20
2016-07-06,7
2016-07-07,14
2016-07-08,21
2016-07-09,8
2016-07-10,0
2016-07-11,26
2016-07-12,13
2016-07-13,13
2016-07-14,25
2016-07-15,20
2016-07-16,8
2016-07-17,0
2016-07-18,13
2016-07-19,13
2016-07-20,7
2016-07-21,93
2016-07-22,47
2016-07-23,16
2016-07-24,8
2016-07-25,6
2016-07-26,7
2016-07-27,13
2016-07-28,13
2016-07-29,7
2016-07-30,0
2016-07-31,0
2016-08-01,32
2016-08-02,98
2016-08-03,100
2016-08-04,74
2016-08-05,43
2016-08-06,8
2016-08-07,8
2016-08-08,20
2016-08-09,14
2016-08-10,14
2016-08-11,28
2016-08-12,0
2016-08-13,0
2016-08-14,8
2016-08-15,22
2016-08-16,21
2016-08-17,7
2016-08-18,14
2016-08-19,7
2016-08-20,0
2016-08-21,0
2016-08-22,14
2016-08-23,20
2016-08-24,13
2016-08-25,20
2016-08-26,28
2016-08-27,0
2016-08-28,7
2016-08-29,13
2016-08-30,13
2016-08-31,19
2016-09-01,39
2016-09-02,40
2016-09-03,0
2016-09-04,0
2016-09-05,7
2016-09-06,6
2016-09-07,32
2016-09-08,26
2016-09-09,7
2016-09-10,15
2016-09-11,0
