date,BIIB stock
2017-05-29,0
2017-05-30,9
2017-05-31,47
2017-06-01,40
2017-06-02,30
2017-06-03,11
2017-06-04,0
2017-06-05,38
2017-06-06,38
2017-06-07,19
2017-06-08,28
2017-06-09,10
2017-06-10,0
2017-06-11,0
2017-06-12,28
2017-06-13,19
2017-06-14,48
2017-06-15,20
2017-06-16,30
2017-06-17,12
2017-06-18,11
2017-06-19,47
2017-06-20,37
2017-06-21,9
2017-06-22,37
2017-06-23,29
2017-06-24,11
2017-06-25,11
2017-06-26,10
2017-06-27,30
2017-06-28,20
2017-06-29,20
2017-06-30,41
2017-07-01,0
2017-07-02,0
2017-07-03,30
2017-07-04,10
2017-07-05,60
2017-07-06,60
2017-07-07,10
2017-07-08,11
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,10
2017-07-13,20
2017-07-14,31
2017-07-15,0
2017-07-16,0
2017-07-17,10
2017-07-18,29
2017-07-19,19
2017-07-20,19
2017-07-21,30
2017-07-22,0
2017-07-23,11
2017-07-24,10
2017-07-25,77
2017-07-26,76
2017-07-27,68
2017-07-28,30
2017-07-29,0
2017-07-30,0
2017-07-31,29
2017-08-01,65
2017-08-02,0
2017-08-03,9
2017-08-04,10
2017-08-05,0
2017-08-06,0
2017-08-07,28
2017-08-08,27
2017-08-09,9
2017-08-10,10
2017-08-11,20
2017-08-12,11
2017-08-13,11
2017-08-14,0
2017-08-15,29
2017-08-16,29
2017-08-17,19
2017-08-18,39
2017-08-19,0
2017-08-20,0
2017-08-21,9
2017-08-22,28
2017-08-23,0
2017-08-24,10
2017-08-25,20
2017-08-26,0
2017-08-27,0
2017-08-28,47
2017-08-29,18
2017-08-30,46
2017-08-31,66
2017-09-01,100
2017-09-02,11
2017-09-03,0
2017-09-04,19
2017-09-05,28
2017-09-06,27
2017-09-07,38
2017-09-08,39
2017-09-09,21
2017-09-10,10
2017-09-11,46
2017-09-12,46
2017-09-13,27
2017-09-14,66
2017-09-15,19
2017-09-16,21
2017-09-17,32
2017-09-18,37
2017-09-19,55
2017-09-20,28
2017-09-21,46
2017-09-22,19
2017-09-23,11
2017-09-24,0
2017-09-25,18
2017-09-26,27
2017-09-27,9
2017-09-28,9
2017-09-29,39
2017-09-30,11
2017-10-01,0
2017-10-02,18
2017-10-03,46
2017-10-04,55
2017-10-05,65
2017-10-06,19
2017-10-07,11
2017-10-08,0
2017-10-09,9
2017-10-10,27
2017-10-11,36
2017-10-12,37
2017-10-13,19
2017-10-14,0
2017-10-15,10
2017-10-16,18
2017-10-17,63
2017-10-18,64
2017-10-19,28
2017-10-20,19
2017-10-21,10
2017-10-22,0
2017-10-23,36
2017-10-24,99
2017-10-25,63
2017-10-26,28
2017-10-27,47
2017-10-28,10
2017-10-29,10
2017-10-30,18
2017-10-31,45
2017-11-01,56
2017-11-02,27
2017-11-03,28
2017-11-04,20
2017-11-05,0
2017-11-06,26
2017-11-07,53
2017-11-08,9
2017-11-09,36
2017-11-10,28
2017-11-11,10
2017-11-12,0
2017-11-13,26
2017-11-14,53
2017-11-15,18
2017-11-16,0
2017-11-17,18
2017-11-18,0
2017-11-19,0
2017-11-20,18
2017-11-21,9
2017-11-22,27
2017-11-23,18
2017-11-24,9
2017-11-25,10
2017-11-26,10
2017-11-27,9
2017-11-28,52
2017-11-29,27
2017-11-30,0
2017-12-01,28
2017-12-02,0
2017-12-03,0
2017-12-04,35
2017-12-05,44
2017-12-06,9
2017-12-07,18
2017-12-08,19
2017-12-09,10
2017-12-10,10
2017-12-11,17
2017-12-12,9
2017-12-13,0
2017-12-14,27
2017-12-15,9
2017-12-16,0
2017-12-17,0
2017-12-18,18
2017-12-19,18
2017-12-20,37
2017-12-21,48
2017-12-22,20
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,20
2017-12-27,0
2017-12-28,19
2017-12-29,30
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,28
2018-01-03,27
2018-01-04,18
2018-01-05,27
2018-01-06,10
2018-01-07,0
2018-01-08,18
2018-01-09,43
2018-01-10,35
2018-01-11,26
2018-01-12,0
2018-01-13,10
2018-01-14,0
2018-01-15,17
2018-01-16,17
2018-01-17,17
2018-01-18,61
2018-01-19,18
2018-01-20,10
2018-01-21,10
2018-01-22,17
2018-01-23,34
2018-01-24,43
2018-01-25,69
2018-01-26,45
2018-01-27,10
2018-01-28,10
2018-01-29,34
2018-01-30,68
2018-01-31,34
2018-02-01,0
2018-02-02,45
2018-02-03,10
2018-02-04,0
2018-02-05,17
2018-02-06,60
2018-02-07,43
2018-02-08,35
2018-02-09,36
2018-02-10,10
2018-02-11,0
2018-02-12,44
2018-02-13,17
