date,BIIB stock
2013-06-29,0
2013-06-30,16
2013-07-01,39
2013-07-02,13
2013-07-03,13
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,13
2013-07-12,14
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,13
2013-07-17,0
2013-07-18,14
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,26
2013-07-24,13
2013-07-25,40
2013-07-26,41
2013-07-27,16
2013-07-28,0
2013-07-29,13
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,28
2013-08-03,16
2013-08-04,0
2013-08-05,13
2013-08-06,13
2013-08-07,13
2013-08-08,27
2013-08-09,42
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,13
2013-08-15,0
2013-08-16,0
2013-08-17,16
2013-08-18,0
2013-08-19,13
2013-08-20,0
2013-08-21,13
2013-08-22,13
2013-08-23,14
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,13
2013-08-29,13
2013-08-30,0
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,13
2013-09-05,13
2013-09-06,0
2013-09-07,15
2013-09-08,0
2013-09-09,0
2013-09-10,24
2013-09-11,12
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,37
2013-09-17,12
2013-09-18,12
2013-09-19,25
2013-09-20,26
2013-09-21,15
2013-09-22,0
2013-09-23,12
2013-09-24,12
2013-09-25,25
2013-09-26,0
2013-09-27,39
2013-09-28,0
2013-09-29,0
2013-09-30,12
2013-10-01,37
2013-10-02,12
2013-10-03,25
2013-10-04,26
2013-10-05,0
2013-10-06,0
2013-10-07,25
2013-10-08,24
2013-10-09,12
2013-10-10,13
2013-10-11,26
2013-10-12,15
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,37
2013-10-17,25
2013-10-18,13
2013-10-19,29
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,12
2013-10-24,0
2013-10-25,13
2013-10-26,0
2013-10-27,0
2013-10-28,12
2013-10-29,24
2013-10-30,36
2013-10-31,13
2013-11-01,27
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,24
2013-11-07,0
2013-11-08,0
2013-11-09,14
2013-11-10,42
2013-11-11,12
2013-11-12,0
2013-11-13,37
2013-11-14,0
2013-11-15,13
2013-11-16,0
2013-11-17,0
2013-11-18,12
2013-11-19,12
2013-11-20,0
2013-11-21,12
2013-11-22,100
2013-11-23,28
2013-11-24,14
2013-11-25,47
2013-11-26,23
2013-11-27,12
2013-11-28,0
2013-11-29,0
2013-11-30,14
2013-12-01,0
2013-12-02,35
2013-12-03,35
2013-12-04,24
2013-12-05,24
2013-12-06,13
2013-12-07,0
2013-12-08,0
2013-12-09,12
2013-12-10,12
2013-12-11,36
2013-12-12,25
2013-12-13,38
2013-12-14,0
2013-12-15,14
2013-12-16,0
2013-12-17,12
2013-12-18,24
2013-12-19,13
2013-12-20,40
2013-12-21,0
2013-12-22,15
2013-12-23,13
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,15
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,24
2014-01-07,35
2014-01-08,35
2014-01-09,12
2014-01-10,24
2014-01-11,27
2014-01-12,0
2014-01-13,11
2014-01-14,46
2014-01-15,46
2014-01-16,47
2014-01-17,12
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,23
2014-01-22,23
2014-01-23,46
2014-01-24,12
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,69
2014-01-30,23
2014-01-31,48
2014-02-01,0
2014-02-02,13
2014-02-03,11
2014-02-04,0
2014-02-05,35
2014-02-06,16
2014-02-07,26
2014-02-08,0
2014-02-09,0
2014-02-10,33
2014-02-11,22
2014-02-12,23
2014-02-13,23
2014-02-14,24
2014-02-15,0
2014-02-16,13
2014-02-17,11
2014-02-18,0
2014-02-19,23
2014-02-20,35
2014-02-21,48
2014-02-22,0
2014-02-23,0
2014-02-24,45
2014-02-25,23
2014-02-26,34
2014-02-27,23
2014-02-28,36
2014-03-01,13
2014-03-02,13
2014-03-03,34
2014-03-04,47
2014-03-05,23
2014-03-06,35
2014-03-07,48
2014-03-08,14
2014-03-09,0
2014-03-10,23
2014-03-11,11
2014-03-12,11
2014-03-13,23
2014-03-14,12
2014-03-15,0
2014-03-16,13
