date,BIIB stock
2013-11-06,20
2013-11-07,0
2013-11-08,14
2013-11-09,16
2013-11-10,31
2013-11-11,13
2013-11-12,0
2013-11-13,27
2013-11-14,14
2013-11-15,28
2013-11-16,16
2013-11-17,0
2013-11-18,26
2013-11-19,26
2013-11-20,13
2013-11-21,20
2013-11-22,96
2013-11-23,16
2013-11-24,15
2013-11-25,20
2013-11-26,33
2013-11-27,40
2013-11-28,0
2013-11-29,21
2013-11-30,16
2013-12-01,15
2013-12-02,26
2013-12-03,26
2013-12-04,39
2013-12-05,33
2013-12-06,28
2013-12-07,0
2013-12-08,0
2013-12-09,26
2013-12-10,26
2013-12-11,13
2013-12-12,14
2013-12-13,35
2013-12-14,16
2013-12-15,16
2013-12-16,13
2013-12-17,27
2013-12-18,27
2013-12-19,28
2013-12-20,30
2013-12-21,33
2013-12-22,17
2013-12-23,59
2013-12-24,16
2013-12-25,18
2013-12-26,15
2013-12-27,22
2013-12-28,0
2013-12-29,0
2013-12-30,14
2013-12-31,32
2014-01-01,17
2014-01-02,28
2014-01-03,14
2014-01-04,15
2014-01-05,0
2014-01-06,20
2014-01-07,19
2014-01-08,26
2014-01-09,39
2014-01-10,34
2014-01-11,15
2014-01-12,0
2014-01-13,19
2014-01-14,51
2014-01-15,19
2014-01-16,71
2014-01-17,40
2014-01-18,15
2014-01-19,0
2014-01-20,13
2014-01-21,38
2014-01-22,31
2014-01-23,19
2014-01-24,20
2014-01-25,15
2014-01-26,29
2014-01-27,12
2014-01-28,62
2014-01-29,63
2014-01-30,45
2014-01-31,27
2014-02-01,15
2014-02-02,29
2014-02-03,19
2014-02-04,25
2014-02-05,19
2014-02-06,17
2014-02-07,36
2014-02-08,14
2014-02-09,0
2014-02-10,19
2014-02-11,31
2014-02-12,25
2014-02-13,0
2014-02-14,20
2014-02-15,15
2014-02-16,14
2014-02-17,25
2014-02-18,31
2014-02-19,25
2014-02-20,45
2014-02-21,33
2014-02-22,0
2014-02-23,0
2014-02-24,37
2014-02-25,50
2014-02-26,37
2014-02-27,57
2014-02-28,26
2014-03-01,15
2014-03-02,0
2014-03-03,37
2014-03-04,26
2014-03-05,32
2014-03-06,25
2014-03-07,0
2014-03-08,15
2014-03-09,0
2014-03-10,76
2014-03-11,25
2014-03-12,13
2014-03-13,19
2014-03-14,59
2014-03-15,15
2014-03-16,15
2014-03-17,44
2014-03-18,31
2014-03-19,44
2014-03-20,19
2014-03-21,40
2014-03-22,30
2014-03-23,14
2014-03-24,25
2014-03-25,49
2014-03-26,19
2014-03-27,13
2014-03-28,46
2014-03-29,15
2014-03-30,22
2014-03-31,31
2014-04-01,19
2014-04-02,44
2014-04-03,100
2014-04-04,33
2014-04-05,15
2014-04-06,15
2014-04-07,49
2014-04-08,63
2014-04-09,57
2014-04-10,26
2014-04-11,47
2014-04-12,46
2014-04-13,0
2014-04-14,13
2014-04-15,38
2014-04-16,32
2014-04-17,34
2014-04-18,0
2014-04-19,16
2014-04-20,16
2014-04-21,27
2014-04-22,31
2014-04-23,57
2014-04-24,45
2014-04-25,53
2014-04-26,15
2014-04-27,0
2014-04-28,31
2014-04-29,44
2014-04-30,64
2014-05-01,28
2014-05-02,34
2014-05-03,15
2014-05-04,0
2014-05-05,13
2014-05-06,25
2014-05-07,25
2014-05-08,51
2014-05-09,33
2014-05-10,15
2014-05-11,0
2014-05-12,49
2014-05-13,19
2014-05-14,38
2014-05-15,38
2014-05-16,26
2014-05-17,15
2014-05-18,30
2014-05-19,19
2014-05-20,25
2014-05-21,14
2014-05-22,28
2014-05-23,29
2014-05-24,34
2014-05-25,0
2014-05-26,14
2014-05-27,13
2014-05-28,14
2014-05-29,28
2014-05-30,29
2014-05-31,17
2014-06-01,17
2014-06-02,28
2014-06-03,48
2014-06-04,14
2014-06-05,21
2014-06-06,15
2014-06-07,0
2014-06-08,17
2014-06-09,35
2014-06-10,42
2014-06-11,14
2014-06-12,14
2014-06-13,29
2014-06-14,17
2014-06-15,17
2014-06-16,48
2014-06-17,21
2014-06-18,35
2014-06-19,21
2014-06-20,45
2014-06-21,18
2014-06-22,17
2014-06-23,21
2014-06-24,14
2014-06-25,28
2014-06-26,43
2014-06-27,15
2014-06-28,17
2014-06-29,0
2014-06-30,14
2014-07-01,42
2014-07-02,14
2014-07-03,51
2014-07-04,15
2014-07-05,52
2014-07-06,0
2014-07-07,14
2014-07-08,21
2014-07-09,21
2014-07-10,14
2014-07-11,37
2014-07-12,17
2014-07-13,25
2014-07-14,28
2014-07-15,14
2014-07-16,29
2014-07-17,29
2014-07-18,30
2014-07-19,0
2014-07-20,0
2014-07-21,14
2014-07-22,35
2014-07-23,66
2014-07-24,64
