date,BIIB stock
2017-01-19,32
2017-01-20,25
2017-01-21,0
2017-01-22,0
2017-01-23,8
2017-01-24,40
2017-01-25,56
2017-01-26,24
2017-01-27,25
2017-01-28,0
2017-01-29,0
2017-01-30,16
2017-01-31,32
2017-02-01,31
2017-02-02,72
2017-02-03,33
2017-02-04,0
2017-02-05,0
2017-02-06,8
2017-02-07,31
2017-02-08,0
2017-02-09,24
2017-02-10,8
2017-02-11,0
2017-02-12,9
2017-02-13,8
2017-02-14,8
2017-02-15,16
2017-02-16,39
2017-02-17,0
2017-02-18,27
2017-02-19,9
2017-02-20,8
2017-02-21,31
2017-02-22,16
2017-02-23,32
2017-02-24,24
2017-02-25,0
2017-02-26,0
2017-02-27,23
2017-02-28,47
2017-03-01,30
2017-03-02,15
2017-03-03,56
2017-03-04,9
2017-03-05,0
2017-03-06,30
2017-03-07,52
2017-03-08,16
2017-03-09,8
2017-03-10,41
2017-03-11,0
2017-03-12,0
2017-03-13,36
2017-03-14,23
2017-03-15,16
2017-03-16,56
2017-03-17,17
2017-03-18,0
2017-03-19,0
2017-03-20,39
2017-03-21,32
2017-03-22,15
2017-03-23,63
2017-03-24,16
2017-03-25,0
2017-03-26,9
2017-03-27,8
2017-03-28,40
2017-03-29,24
2017-03-30,24
2017-03-31,25
2017-04-01,0
2017-04-02,9
2017-04-03,16
2017-04-04,23
2017-04-05,39
2017-04-06,16
2017-04-07,49
2017-04-08,0
2017-04-09,0
2017-04-10,16
2017-04-11,24
2017-04-12,0
2017-04-13,34
2017-04-14,9
2017-04-15,0
2017-04-16,9
2017-04-17,0
2017-04-18,23
2017-04-19,23
2017-04-20,16
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,31
2017-04-25,62
2017-04-26,54
2017-04-27,23
2017-04-28,41
2017-04-29,9
2017-04-30,0
2017-05-01,17
2017-05-02,16
2017-05-03,24
2017-05-04,8
2017-05-05,33
2017-05-06,9
2017-05-07,0
2017-05-08,24
2017-05-09,39
2017-05-10,16
2017-05-11,8
2017-05-12,25
2017-05-13,0
2017-05-14,0
2017-05-15,42
2017-05-16,0
2017-05-17,17
2017-05-18,17
2017-05-19,44
2017-05-20,20
2017-05-21,0
2017-05-22,0
2017-05-23,33
2017-05-24,51
2017-05-25,52
2017-05-26,46
2017-05-27,10
2017-05-28,0
2017-05-29,0
2017-05-30,33
2017-05-31,25
2017-06-01,43
2017-06-02,27
2017-06-03,0
2017-06-04,19
2017-06-05,8
2017-06-06,41
2017-06-07,40
2017-06-08,8
2017-06-09,0
2017-06-10,10
2017-06-11,0
2017-06-12,33
2017-06-13,33
2017-06-14,34
2017-06-15,17
2017-06-16,35
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,40
2017-06-21,73
2017-06-22,81
2017-06-23,17
2017-06-24,0
2017-06-25,0
2017-06-26,50
2017-06-27,17
2017-06-28,26
2017-06-29,26
2017-06-30,36
2017-07-01,0
2017-07-02,0
2017-07-03,17
2017-07-04,17
2017-07-05,35
2017-07-06,0
2017-07-07,9
2017-07-08,10
2017-07-09,10
2017-07-10,17
2017-07-11,34
2017-07-12,8
2017-07-13,43
2017-07-14,35
2017-07-15,0
2017-07-16,10
2017-07-17,42
2017-07-18,60
2017-07-19,34
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,34
2017-07-25,100
2017-07-26,58
2017-07-27,34
2017-07-28,18
2017-07-29,30
2017-07-30,0
2017-07-31,17
2017-08-01,24
2017-08-02,16
2017-08-03,49
2017-08-04,26
2017-08-05,0
2017-08-06,0
2017-08-07,48
2017-08-08,8
2017-08-09,0
2017-08-10,33
2017-08-11,26
2017-08-12,10
2017-08-13,10
2017-08-14,25
2017-08-15,25
2017-08-16,16
2017-08-17,25
2017-08-18,26
2017-08-19,0
2017-08-20,9
2017-08-21,8
2017-08-22,8
2017-08-23,25
2017-08-24,17
2017-08-25,9
2017-08-26,0
2017-08-27,9
2017-08-28,25
2017-08-29,49
2017-08-30,33
2017-08-31,67
2017-09-01,26
2017-09-02,29
2017-09-03,10
2017-09-04,8
2017-09-05,72
2017-09-06,16
2017-09-07,33
2017-09-08,42
2017-09-09,0
2017-09-10,9
2017-09-11,32
2017-09-12,48
2017-09-13,32
2017-09-14,41
2017-09-15,0
2017-09-16,9
2017-09-17,0
2017-09-18,16
2017-09-19,24
2017-09-20,16
2017-09-21,40
2017-09-22,59
2017-09-23,28
2017-09-24,9
2017-09-25,16
2017-09-26,48
2017-09-27,8
2017-09-28,16
2017-09-29,25
2017-09-30,10
2017-10-01,9
2017-10-02,16
2017-10-03,32
2017-10-04,24
2017-10-05,40
2017-10-06,33
