date,BIIB stock
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,16
2012-10-16,16
2012-10-17,0
2012-10-18,49
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,16
2012-10-25,17
2012-10-26,18
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,17
2012-11-01,0
2012-11-02,0
2012-11-03,19
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,16
2012-11-08,16
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,17
2012-11-17,0
2012-11-18,0
2012-11-19,16
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,17
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,42
2012-12-01,0
2012-12-02,0
2012-12-03,16
2012-12-04,15
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,19
2012-12-09,18
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,33
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,16
2012-12-20,17
2012-12-21,17
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,17
2012-12-29,0
2012-12-30,0
2012-12-31,20
2013-01-01,20
2013-01-02,33
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,15
2013-01-08,0
2013-01-09,15
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,18
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,16
2013-01-19,0
2013-01-20,0
2013-01-21,15
2013-01-22,0
2013-01-23,0
2013-01-24,15
2013-01-25,16
2013-01-26,18
2013-01-27,0
2013-01-28,15
2013-01-29,15
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,15
2013-02-05,45
2013-02-06,45
2013-02-07,15
2013-02-08,31
2013-02-09,0
2013-02-10,0
2013-02-11,31
2013-02-12,15
2013-02-13,15
2013-02-14,15
2013-02-15,0
2013-02-16,18
2013-02-17,0
2013-02-18,0
2013-02-19,15
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,17
2013-02-25,29
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,23
2013-03-02,0
2013-03-03,0
2013-03-04,15
2013-03-05,15
2013-03-06,22
2013-03-07,0
2013-03-08,31
2013-03-09,17
2013-03-10,0
2013-03-11,15
2013-03-12,57
2013-03-13,14
2013-03-14,44
2013-03-15,30
2013-03-16,0
2013-03-17,17
2013-03-18,14
2013-03-19,21
2013-03-20,29
2013-03-21,15
2013-03-22,15
2013-03-23,0
2013-03-24,0
2013-03-25,43
2013-03-26,0
2013-03-27,15
2013-03-28,54
2013-03-29,34
2013-03-30,0
2013-03-31,18
2013-04-01,45
2013-04-02,65
2013-04-03,29
2013-04-04,44
2013-04-05,45
2013-04-06,17
2013-04-07,17
2013-04-08,43
2013-04-09,14
2013-04-10,86
2013-04-11,15
2013-04-12,15
2013-04-13,0
2013-04-14,17
2013-04-15,36
2013-04-16,29
2013-04-17,15
2013-04-18,14
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,21
2013-04-23,22
2013-04-24,29
2013-04-25,37
2013-04-26,15
2013-04-27,0
2013-04-28,17
2013-04-29,36
2013-04-30,44
2013-05-01,47
2013-05-02,37
2013-05-03,46
2013-05-04,0
2013-05-05,0
2013-05-06,15
2013-05-07,15
2013-05-08,0
2013-05-09,15
2013-05-10,15
2013-05-11,18
2013-05-12,0
2013-05-13,0
2013-05-14,100
2013-05-15,29
2013-05-16,0
2013-05-17,15
2013-05-18,0
2013-05-19,17
2013-05-20,29
2013-05-21,35
2013-05-22,28
2013-05-23,36
2013-05-24,30
2013-05-25,0
2013-05-26,18
2013-05-27,15
2013-05-28,28
2013-05-29,42
2013-05-30,29
2013-05-31,15
2013-06-01,35
2013-06-02,0
2013-06-03,21
2013-06-04,29
2013-06-05,0
2013-06-06,22
2013-06-07,15
2013-06-08,0
2013-06-09,17
2013-06-10,0
2013-06-11,14
2013-06-12,43
2013-06-13,22
2013-06-14,38
2013-06-15,0
2013-06-16,0
2013-06-17,14
2013-06-18,50
2013-06-19,0
2013-06-20,15
2013-06-21,15
2013-06-22,0
2013-06-23,17
2013-06-24,22
2013-06-25,29
2013-06-26,22
2013-06-27,0
2013-06-28,15
2013-06-29,0
