date,WDC stock
2014-07-24,32
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,32
2014-07-29,16
2014-07-30,81
2014-07-31,33
2014-08-01,50
2014-08-02,39
2014-08-03,0
2014-08-04,64
2014-08-05,63
2014-08-06,0
2014-08-07,23
2014-08-08,0
2014-08-09,19
2014-08-10,0
2014-08-11,32
2014-08-12,16
2014-08-13,32
2014-08-14,32
2014-08-15,35
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,31
2014-08-21,0
2014-08-22,0
2014-08-23,19
2014-08-24,0
2014-08-25,30
2014-08-26,31
2014-08-27,15
2014-08-28,0
2014-08-29,16
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,15
2014-09-04,0
2014-09-05,32
2014-09-06,0
2014-09-07,0
2014-09-08,30
2014-09-09,29
2014-09-10,30
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,15
2014-09-16,45
2014-09-17,15
2014-09-18,45
2014-09-19,32
2014-09-20,0
2014-09-21,0
2014-09-22,30
2014-09-23,15
2014-09-24,0
2014-09-25,0
2014-09-26,31
2014-09-27,18
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,15
2014-10-02,15
2014-10-03,16
2014-10-04,0
2014-10-05,0
2014-10-06,15
2014-10-07,15
2014-10-08,59
2014-10-09,15
2014-10-10,16
2014-10-11,0
2014-10-12,0
2014-10-13,15
2014-10-14,44
2014-10-15,44
2014-10-16,30
2014-10-17,46
2014-10-18,18
2014-10-19,0
2014-10-20,29
2014-10-21,14
2014-10-22,15
2014-10-23,0
2014-10-24,31
2014-10-25,0
2014-10-26,0
2014-10-27,57
2014-10-28,58
2014-10-29,44
2014-10-30,44
2014-10-31,15
2014-11-01,0
2014-11-02,34
2014-11-03,29
2014-11-04,0
2014-11-05,100
2014-11-06,58
2014-11-07,30
2014-11-08,0
2014-11-09,17
2014-11-10,14
2014-11-11,57
2014-11-12,0
2014-11-13,0
2014-11-14,15
2014-11-15,34
2014-11-16,0
2014-11-17,28
2014-11-18,15
2014-11-19,30
2014-11-20,15
2014-11-21,45
2014-11-22,0
2014-11-23,17
2014-11-24,14
2014-11-25,0
2014-11-26,14
2014-11-27,15
2014-11-28,15
2014-11-29,17
2014-11-30,0
2014-12-01,0
2014-12-02,56
2014-12-03,14
2014-12-04,14
2014-12-05,30
2014-12-06,34
2014-12-07,0
2014-12-08,15
2014-12-09,43
2014-12-10,14
2014-12-11,29
2014-12-12,45
2014-12-13,0
2014-12-14,17
2014-12-15,29
2014-12-16,28
2014-12-17,44
2014-12-18,0
2014-12-19,63
2014-12-20,89
2014-12-21,18
2014-12-22,15
2014-12-23,48
2014-12-24,53
2014-12-25,38
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,31
2014-12-30,15
2014-12-31,0
2015-01-01,0
2015-01-02,47
2015-01-03,0
2015-01-04,16
2015-01-05,14
2015-01-06,14
2015-01-07,56
2015-01-08,14
2015-01-09,29
2015-01-10,0
2015-01-11,0
2015-01-12,14
2015-01-13,14
2015-01-14,14
2015-01-15,0
2015-01-16,28
2015-01-17,16
2015-01-18,0
2015-01-19,14
2015-01-20,14
2015-01-21,0
2015-01-22,27
2015-01-23,28
2015-01-24,32
2015-01-25,0
2015-01-26,54
2015-01-27,27
2015-01-28,54
2015-01-29,41
2015-01-30,14
2015-01-31,0
2015-02-01,0
2015-02-02,13
2015-02-03,27
2015-02-04,27
2015-02-05,27
2015-02-06,29
2015-02-07,0
2015-02-08,0
2015-02-09,40
2015-02-10,0
2015-02-11,13
2015-02-12,14
2015-02-13,29
2015-02-14,16
2015-02-15,16
2015-02-16,0
2015-02-17,0
2015-02-18,14
2015-02-19,14
2015-02-20,71
2015-02-21,0
2015-02-22,0
2015-02-23,27
2015-02-24,13
2015-02-25,13
2015-02-26,0
2015-02-27,42
2015-02-28,0
2015-03-01,0
2015-03-02,27
2015-03-03,27
2015-03-04,0
2015-03-05,27
2015-03-06,0
2015-03-07,0
2015-03-08,16
2015-03-09,0
2015-03-10,40
2015-03-11,13
2015-03-12,14
2015-03-13,28
2015-03-14,16
2015-03-15,0
2015-03-16,13
2015-03-17,0
2015-03-18,27
2015-03-19,54
2015-03-20,14
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,67
2015-03-25,0
2015-03-26,16
2015-03-27,14
2015-03-28,0
2015-03-29,16
2015-03-30,0
2015-03-31,94
2015-04-01,14
2015-04-02,14
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,14
2015-04-07,27
2015-04-08,27
2015-04-09,0
2015-04-10,43
