date,WDC stock
2014-03-16,0
2014-03-17,16
2014-03-18,23
2014-03-19,16
2014-03-20,78
2014-03-21,25
2014-03-22,0
2014-03-23,0
2014-03-24,31
2014-03-25,23
2014-03-26,31
2014-03-27,31
2014-03-28,17
2014-03-29,0
2014-03-30,18
2014-03-31,23
2014-04-01,47
2014-04-02,31
2014-04-03,23
2014-04-04,16
2014-04-05,0
2014-04-06,19
2014-04-07,15
2014-04-08,63
2014-04-09,32
2014-04-10,24
2014-04-11,34
2014-04-12,19
2014-04-13,0
2014-04-14,16
2014-04-15,31
2014-04-16,32
2014-04-17,49
2014-04-18,37
2014-04-19,39
2014-04-20,0
2014-04-21,17
2014-04-22,16
2014-04-23,64
2014-04-24,0
2014-04-25,42
2014-04-26,19
2014-04-27,0
2014-04-28,47
2014-04-29,31
2014-04-30,32
2014-05-01,52
2014-05-02,43
2014-05-03,0
2014-05-04,0
2014-05-05,16
2014-05-06,31
2014-05-07,31
2014-05-08,31
2014-05-09,33
2014-05-10,37
2014-05-11,19
2014-05-12,0
2014-05-13,31
2014-05-14,31
2014-05-15,32
2014-05-16,64
2014-05-17,19
2014-05-18,0
2014-05-19,23
2014-05-20,70
2014-05-21,34
2014-05-22,18
2014-05-23,18
2014-05-24,21
2014-05-25,0
2014-05-26,0
2014-05-27,68
2014-05-28,17
2014-05-29,54
2014-05-30,45
2014-05-31,0
2014-06-01,0
2014-06-02,26
2014-06-03,43
2014-06-04,59
2014-06-05,43
2014-06-06,73
2014-06-07,22
2014-06-08,22
2014-06-09,53
2014-06-10,18
2014-06-11,26
2014-06-12,18
2014-06-13,64
2014-06-14,42
2014-06-15,21
2014-06-16,18
2014-06-17,52
2014-06-18,35
2014-06-19,0
2014-06-20,37
2014-06-21,22
2014-06-22,21
2014-06-23,35
2014-06-24,18
2014-06-25,17
2014-06-26,17
2014-06-27,38
2014-06-28,0
2014-06-29,22
2014-06-30,17
2014-07-01,44
2014-07-02,36
2014-07-03,37
2014-07-04,38
2014-07-05,21
2014-07-06,0
2014-07-07,35
2014-07-08,52
2014-07-09,26
2014-07-10,36
2014-07-11,55
2014-07-12,43
2014-07-13,0
2014-07-14,35
2014-07-15,17
2014-07-16,18
2014-07-17,72
2014-07-18,0
2014-07-19,0
2014-07-20,32
2014-07-21,26
2014-07-22,53
2014-07-23,37
2014-07-24,27
2014-07-25,38
2014-07-26,0
2014-07-27,0
2014-07-28,27
2014-07-29,35
2014-07-30,27
2014-07-31,35
2014-08-01,46
2014-08-02,42
2014-08-03,22
2014-08-04,35
2014-08-05,60
2014-08-06,26
2014-08-07,50
2014-08-08,19
2014-08-09,21
2014-08-10,0
2014-08-11,0
2014-08-12,52
2014-08-13,35
2014-08-14,27
2014-08-15,19
2014-08-16,0
2014-08-17,0
2014-08-18,18
2014-08-19,68
2014-08-20,34
2014-08-21,53
2014-08-22,18
2014-08-23,21
2014-08-24,0
2014-08-25,50
2014-08-26,26
2014-08-27,34
2014-08-28,26
2014-08-29,36
2014-08-30,21
2014-08-31,20
2014-09-01,0
2014-09-02,100
2014-09-03,50
2014-09-04,34
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,25
2014-09-09,24
2014-09-10,41
2014-09-11,34
2014-09-12,17
2014-09-13,0
2014-09-14,0
2014-09-15,16
2014-09-16,41
2014-09-17,50
2014-09-18,49
2014-09-19,34
2014-09-20,0
2014-09-21,20
2014-09-22,25
2014-09-23,17
2014-09-24,33
2014-09-25,0
2014-09-26,0
2014-09-27,20
2014-09-28,0
2014-09-29,16
2014-09-30,16
2014-10-01,50
2014-10-02,34
2014-10-03,72
2014-10-04,0
2014-10-05,0
2014-10-06,25
2014-10-07,32
2014-10-08,32
2014-10-09,25
2014-10-10,34
2014-10-11,61
2014-10-12,19
2014-10-13,16
2014-10-14,64
2014-10-15,48
2014-10-16,33
2014-10-17,42
2014-10-18,20
2014-10-19,19
2014-10-20,16
2014-10-21,65
2014-10-22,40
2014-10-23,33
2014-10-24,26
2014-10-25,20
2014-10-26,0
2014-10-27,32
2014-10-28,32
2014-10-29,41
2014-10-30,24
2014-10-31,60
2014-11-01,20
2014-11-02,0
2014-11-03,40
2014-11-04,24
2014-11-05,55
2014-11-06,65
2014-11-07,0
2014-11-08,0
2014-11-09,55
2014-11-10,24
2014-11-11,32
2014-11-12,24
2014-11-13,47
2014-11-14,17
2014-11-15,38
2014-11-16,0
2014-11-17,0
2014-11-18,25
2014-11-19,65
2014-11-20,41
2014-11-21,84
2014-11-22,19
2014-11-23,19
2014-11-24,61
2014-11-25,39
2014-11-26,24
2014-11-27,41
2014-11-28,49
2014-11-29,19
2014-11-30,0
2014-12-01,31
