date,WDC stock
2015-12-26,0
2015-12-27,6
2015-12-28,16
2015-12-29,28
2015-12-30,6
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,16
2016-01-05,11
2016-01-06,11
2016-01-07,22
2016-01-08,17
2016-01-09,6
2016-01-10,0
2016-01-11,10
2016-01-12,5
2016-01-13,16
2016-01-14,31
2016-01-15,11
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,16
2016-01-20,26
2016-01-21,5
2016-01-22,11
2016-01-23,6
2016-01-24,6
2016-01-25,5
2016-01-26,10
2016-01-27,11
2016-01-28,21
2016-01-29,22
2016-01-30,6
2016-01-31,6
2016-02-01,16
2016-02-02,10
2016-02-03,10
2016-02-04,21
2016-02-05,11
2016-02-06,0
2016-02-07,6
2016-02-08,16
2016-02-09,32
2016-02-10,26
2016-02-11,5
2016-02-12,33
2016-02-13,0
2016-02-14,0
2016-02-15,11
2016-02-16,26
2016-02-17,5
2016-02-18,10
2016-02-19,21
2016-02-20,12
2016-02-21,0
2016-02-22,5
2016-02-23,26
2016-02-24,26
2016-02-25,5
2016-02-26,16
2016-02-27,6
2016-02-28,0
2016-02-29,25
2016-03-01,30
2016-03-02,5
2016-03-03,36
2016-03-04,22
2016-03-05,18
2016-03-06,0
2016-03-07,21
2016-03-08,31
2016-03-09,5
2016-03-10,16
2016-03-11,16
2016-03-12,18
2016-03-13,0
2016-03-14,26
2016-03-15,5
2016-03-16,5
2016-03-17,27
2016-03-18,5
2016-03-19,18
2016-03-20,0
2016-03-21,11
2016-03-22,31
2016-03-23,27
2016-03-24,39
2016-03-25,6
2016-03-26,6
2016-03-27,0
2016-03-28,16
2016-03-29,52
2016-03-30,16
2016-03-31,21
2016-04-01,5
2016-04-02,0
2016-04-03,6
2016-04-04,10
2016-04-05,31
2016-04-06,26
2016-04-07,16
2016-04-08,16
2016-04-09,18
2016-04-10,0
2016-04-11,26
2016-04-12,10
2016-04-13,5
2016-04-14,21
2016-04-15,33
2016-04-16,0
2016-04-17,6
2016-04-18,21
2016-04-19,16
2016-04-20,11
2016-04-21,5
2016-04-22,16
2016-04-23,0
2016-04-24,6
2016-04-25,26
2016-04-26,41
2016-04-27,36
2016-04-28,48
2016-04-29,50
2016-04-30,6
2016-05-01,0
2016-05-02,5
2016-05-03,21
2016-05-04,16
2016-05-05,16
2016-05-06,17
2016-05-07,12
2016-05-08,0
2016-05-09,11
2016-05-10,31
2016-05-11,37
2016-05-12,42
2016-05-13,33
2016-05-14,0
2016-05-15,6
2016-05-16,37
2016-05-17,16
2016-05-18,15
2016-05-19,32
2016-05-20,27
2016-05-21,6
2016-05-22,6
2016-05-23,36
2016-05-24,73
2016-05-25,59
2016-05-26,33
2016-05-27,28
2016-05-28,6
2016-05-29,0
2016-05-30,5
2016-05-31,37
2016-06-01,32
2016-06-02,43
2016-06-03,61
2016-06-04,19
2016-06-05,6
2016-06-06,11
2016-06-07,42
2016-06-08,43
2016-06-09,27
2016-06-10,28
2016-06-11,12
2016-06-12,0
2016-06-13,10
2016-06-14,36
2016-06-15,21
2016-06-16,21
2016-06-17,17
2016-06-18,6
2016-06-19,6
2016-06-20,37
2016-06-21,21
2016-06-22,32
2016-06-23,33
2016-06-24,40
2016-06-25,19
2016-06-26,0
2016-06-27,53
2016-06-28,26
2016-06-29,27
2016-06-30,44
2016-07-01,29
2016-07-02,0
2016-07-03,6
2016-07-04,0
2016-07-05,23
2016-07-06,23
2016-07-07,29
2016-07-08,36
2016-07-09,7
2016-07-10,0
2016-07-11,39
2016-07-12,56
2016-07-13,40
2016-07-14,43
2016-07-15,17
2016-07-16,13
2016-07-17,7
2016-07-18,23
2016-07-19,34
2016-07-20,17
2016-07-21,23
2016-07-22,29
2016-07-23,7
2016-07-24,0
2016-07-25,17
2016-07-26,39
2016-07-27,45
2016-07-28,57
2016-07-29,100
2016-07-30,20
2016-07-31,6
2016-08-01,73
2016-08-02,72
2016-08-03,39
2016-08-04,34
2016-08-05,54
2016-08-06,14
2016-08-07,7
2016-08-08,17
2016-08-09,17
2016-08-10,17
2016-08-11,6
2016-08-12,6
2016-08-13,0
2016-08-14,7
2016-08-15,37
2016-08-16,41
2016-08-17,6
2016-08-18,36
2016-08-19,31
2016-08-20,14
2016-08-21,0
2016-08-22,18
2016-08-23,23
2016-08-24,29
2016-08-25,11
2016-08-26,29
2016-08-27,19
2016-08-28,0
2016-08-29,22
2016-08-30,16
2016-08-31,27
2016-09-01,33
2016-09-02,17
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,38
2016-09-07,61
2016-09-08,78
2016-09-09,57
2016-09-10,13
2016-09-11,19
