date,WDC stock
2017-01-19,9
2017-01-20,43
2017-01-21,14
2017-01-22,3
2017-01-23,20
2017-01-24,53
2017-01-25,91
2017-01-26,68
2017-01-27,28
2017-01-28,10
2017-01-29,7
2017-01-30,14
2017-01-31,30
2017-02-01,34
2017-02-02,21
2017-02-03,22
2017-02-04,20
2017-02-05,3
2017-02-06,23
2017-02-07,29
2017-02-08,32
2017-02-09,24
2017-02-10,30
2017-02-11,10
2017-02-12,10
2017-02-13,26
2017-02-14,35
2017-02-15,18
2017-02-16,23
2017-02-17,21
2017-02-18,10
2017-02-19,0
2017-02-20,6
2017-02-21,20
2017-02-22,23
2017-02-23,24
2017-02-24,27
2017-02-25,3
2017-02-26,0
2017-02-27,31
2017-02-28,38
2017-03-01,28
2017-03-02,25
2017-03-03,24
2017-03-04,20
2017-03-05,3
2017-03-06,22
2017-03-07,19
2017-03-08,20
2017-03-09,32
2017-03-10,30
2017-03-11,7
2017-03-12,3
2017-03-13,16
2017-03-14,15
2017-03-15,20
2017-03-16,23
2017-03-17,37
2017-03-18,7
2017-03-19,0
2017-03-20,12
2017-03-21,12
2017-03-22,14
2017-03-23,12
2017-03-24,61
2017-03-25,7
2017-03-26,7
2017-03-27,14
2017-03-28,32
2017-03-29,29
2017-03-30,21
2017-03-31,48
2017-04-01,10
2017-04-02,7
2017-04-03,37
2017-04-04,26
2017-04-05,26
2017-04-06,38
2017-04-07,33
2017-04-08,3
2017-04-09,3
2017-04-10,35
2017-04-11,41
2017-04-12,36
2017-04-13,22
2017-04-14,10
2017-04-15,14
2017-04-16,3
2017-04-17,30
2017-04-18,23
2017-04-19,32
2017-04-20,18
2017-04-21,18
2017-04-22,3
2017-04-23,0
2017-04-24,55
2017-04-25,46
2017-04-26,32
2017-04-27,67
2017-04-28,76
2017-04-29,17
2017-04-30,14
2017-05-01,38
2017-05-02,55
2017-05-03,35
2017-05-04,35
2017-05-05,31
2017-05-06,7
2017-05-07,10
2017-05-08,47
2017-05-09,37
2017-05-10,17
2017-05-11,21
2017-05-12,37
2017-05-13,14
2017-05-14,3
2017-05-15,25
2017-05-16,16
2017-05-17,37
2017-05-18,28
2017-05-19,39
2017-05-20,15
2017-05-21,7
2017-05-22,25
2017-05-23,27
2017-05-24,38
2017-05-25,22
2017-05-26,23
2017-05-27,11
2017-05-28,4
2017-05-29,10
2017-05-30,40
2017-05-31,49
2017-06-01,35
2017-06-02,40
2017-06-03,15
2017-06-04,7
2017-06-05,31
2017-06-06,15
2017-06-07,30
2017-06-08,40
2017-06-09,35
2017-06-10,11
2017-06-11,11
2017-06-12,15
2017-06-13,36
2017-06-14,47
2017-06-15,28
2017-06-16,39
2017-06-17,11
2017-06-18,7
2017-06-19,37
2017-06-20,39
2017-06-21,45
2017-06-22,39
2017-06-23,44
2017-06-24,7
2017-06-25,11
2017-06-26,32
2017-06-27,41
2017-06-28,55
2017-06-29,29
2017-06-30,66
2017-07-01,15
2017-07-02,15
2017-07-03,39
2017-07-04,20
2017-07-05,39
2017-07-06,45
2017-07-07,36
2017-07-08,4
2017-07-09,7
2017-07-10,37
2017-07-11,50
2017-07-12,35
2017-07-13,35
2017-07-14,33
2017-07-15,19
2017-07-16,7
2017-07-17,38
2017-07-18,41
2017-07-19,22
2017-07-20,25
2017-07-21,36
2017-07-22,7
2017-07-23,21
2017-07-24,37
2017-07-25,34
2017-07-26,37
2017-07-27,100
2017-07-28,72
2017-07-29,29
2017-07-30,4
2017-07-31,43
2017-08-01,54
2017-08-02,52
2017-08-03,31
2017-08-04,32
2017-08-05,22
2017-08-06,4
2017-08-07,36
2017-08-08,38
2017-08-09,30
2017-08-10,34
2017-08-11,39
2017-08-12,14
2017-08-13,7
2017-08-14,44
2017-08-15,47
2017-08-16,40
2017-08-17,28
2017-08-18,25
2017-08-19,17
2017-08-20,7
2017-08-21,24
2017-08-22,24
2017-08-23,43
2017-08-24,52
2017-08-25,35
2017-08-26,11
2017-08-27,0
2017-08-28,52
2017-08-29,36
2017-08-30,49
2017-08-31,27
2017-09-01,29
2017-09-02,4
2017-09-03,11
2017-09-04,16
2017-09-05,35
2017-09-06,18
2017-09-07,15
2017-09-08,34
2017-09-09,7
2017-09-10,7
2017-09-11,12
2017-09-12,77
2017-09-13,47
2017-09-14,33
2017-09-15,34
2017-09-16,28
2017-09-17,7
2017-09-18,27
2017-09-19,41
2017-09-20,47
2017-09-21,54
2017-09-22,19
2017-09-23,0
2017-09-24,3
2017-09-25,27
2017-09-26,24
2017-09-27,35
2017-09-28,27
2017-09-29,28
2017-09-30,11
2017-10-01,7
2017-10-02,38
2017-10-03,24
2017-10-04,33
2017-10-05,12
2017-10-06,21
