date,WDC stock
2016-05-04,4
2016-05-05,36
2016-05-06,18
2016-05-07,10
2016-05-08,0
2016-05-09,22
2016-05-10,38
2016-05-11,17
2016-05-12,13
2016-05-13,27
2016-05-14,0
2016-05-15,0
2016-05-16,21
2016-05-17,17
2016-05-18,13
2016-05-19,9
2016-05-20,32
2016-05-21,26
2016-05-22,5
2016-05-23,21
2016-05-24,56
2016-05-25,53
2016-05-26,50
2016-05-27,23
2016-05-28,5
2016-05-29,5
2016-05-30,0
2016-05-31,35
2016-06-01,13
2016-06-02,49
2016-06-03,32
2016-06-04,21
2016-06-05,0
2016-06-06,22
2016-06-07,4
2016-06-08,31
2016-06-09,22
2016-06-10,32
2016-06-11,15
2016-06-12,0
2016-06-13,9
2016-06-14,34
2016-06-15,17
2016-06-16,30
2016-06-17,5
2016-06-18,5
2016-06-19,5
2016-06-20,9
2016-06-21,26
2016-06-22,22
2016-06-23,36
2016-06-24,42
2016-06-25,21
2016-06-26,5
2016-06-27,30
2016-06-28,26
2016-06-29,40
2016-06-30,40
2016-07-01,28
2016-07-02,5
2016-07-03,11
2016-07-04,5
2016-07-05,32
2016-07-06,33
2016-07-07,24
2016-07-08,20
2016-07-09,5
2016-07-10,0
2016-07-11,37
2016-07-12,41
2016-07-13,23
2016-07-14,53
2016-07-15,24
2016-07-16,5
2016-07-17,11
2016-07-18,28
2016-07-19,32
2016-07-20,9
2016-07-21,9
2016-07-22,33
2016-07-23,5
2016-07-24,0
2016-07-25,18
2016-07-26,37
2016-07-27,23
2016-07-28,37
2016-07-29,87
2016-07-30,11
2016-07-31,11
2016-08-01,50
2016-08-02,45
2016-08-03,32
2016-08-04,33
2016-08-05,25
2016-08-06,0
2016-08-07,11
2016-08-08,24
2016-08-09,28
2016-08-10,28
2016-08-11,39
2016-08-12,5
2016-08-13,0
2016-08-14,6
2016-08-15,20
2016-08-16,29
2016-08-17,24
2016-08-18,25
2016-08-19,10
2016-08-20,11
2016-08-21,0
2016-08-22,19
2016-08-23,15
2016-08-24,14
2016-08-25,28
2016-08-26,24
2016-08-27,5
2016-08-28,0
2016-08-29,9
2016-08-30,13
2016-08-31,31
2016-09-01,32
2016-09-02,24
2016-09-03,5
2016-09-04,0
2016-09-05,5
2016-09-06,27
2016-09-07,46
2016-09-08,64
2016-09-09,14
2016-09-10,16
2016-09-11,5
2016-09-12,51
2016-09-13,27
2016-09-14,4
2016-09-15,27
2016-09-16,23
2016-09-17,10
2016-09-18,15
2016-09-19,26
2016-09-20,13
2016-09-21,27
2016-09-22,49
2016-09-23,19
2016-09-24,10
2016-09-25,0
2016-09-26,31
2016-09-27,35
2016-09-28,36
2016-09-29,9
2016-09-30,41
2016-10-01,10
2016-10-02,5
2016-10-03,9
2016-10-04,17
2016-10-05,17
2016-10-06,26
2016-10-07,22
2016-10-08,5
2016-10-09,0
2016-10-10,22
2016-10-11,31
2016-10-12,4
2016-10-13,35
2016-10-14,41
2016-10-15,5
2016-10-16,0
2016-10-17,22
2016-10-18,34
2016-10-19,17
2016-10-20,17
2016-10-21,27
2016-10-22,5
2016-10-23,0
2016-10-24,47
2016-10-25,26
2016-10-26,61
2016-10-27,67
2016-10-28,60
2016-10-29,0
2016-10-30,5
2016-10-31,9
2016-11-01,49
2016-11-02,27
2016-11-03,26
2016-11-04,18
2016-11-05,5
2016-11-06,5
2016-11-07,13
2016-11-08,30
2016-11-09,24
2016-11-10,35
2016-11-11,32
2016-11-12,5
2016-11-13,15
2016-11-14,17
2016-11-15,17
2016-11-16,21
2016-11-17,22
2016-11-18,36
2016-11-19,5
2016-11-20,0
2016-11-21,21
2016-11-22,46
2016-11-23,21
2016-11-24,18
2016-11-25,9
2016-11-26,5
2016-11-27,0
2016-11-28,29
2016-11-29,33
2016-11-30,29
2016-12-01,47
2016-12-02,35
2016-12-03,0
2016-12-04,9
2016-12-05,11
2016-12-06,49
2016-12-07,100
2016-12-08,51
2016-12-09,48
2016-12-10,19
2016-12-11,0
2016-12-12,20
2016-12-13,33
2016-12-14,37
2016-12-15,60
2016-12-16,40
2016-12-17,25
2016-12-18,5
2016-12-19,47
2016-12-20,66
2016-12-21,53
2016-12-22,32
2016-12-23,28
2016-12-24,0
2016-12-25,6
2016-12-26,5
2016-12-27,18
2016-12-28,13
2016-12-29,27
2016-12-30,14
2016-12-31,10
2017-01-01,11
2017-01-02,13
2017-01-03,30
2017-01-04,38
2017-01-05,56
2017-01-06,26
2017-01-07,14
2017-01-08,9
2017-01-09,24
2017-01-10,20
2017-01-11,33
2017-01-12,20
2017-01-13,42
2017-01-14,5
2017-01-15,5
2017-01-16,8
2017-01-17,24
2017-01-18,36
2017-01-19,53
