date,EA stock
2018-02-13,55
2018-02-14,71
2018-02-15,66
2018-02-16,47
2018-02-17,41
2018-02-18,12
2018-02-19,10
2018-02-20,30
2018-02-21,55
2018-02-22,100
2018-02-23,36
2018-02-24,17
2018-02-25,28
2018-02-26,34
2018-02-27,54
2018-02-28,34
2018-03-01,49
2018-03-02,10
2018-03-03,34
2018-03-04,0
2018-03-05,19
2018-03-06,59
2018-03-07,25
2018-03-08,55
2018-03-09,58
2018-03-10,17
2018-03-11,23
2018-03-12,39
2018-03-13,44
2018-03-14,25
2018-03-15,50
2018-03-16,31
2018-03-17,23
2018-03-18,28
2018-03-19,40
2018-03-20,44
2018-03-21,49
2018-03-22,40
2018-03-23,83
2018-03-24,0
2018-03-25,17
2018-03-26,25
2018-03-27,35
2018-03-28,46
2018-03-29,37
2018-03-30,28
2018-03-31,12
2018-04-01,12
2018-04-02,37
2018-04-03,35
2018-04-04,30
2018-04-05,31
2018-04-06,47
2018-04-07,17
2018-04-08,11
2018-04-09,20
