date,EA stock
2014-12-01,12
2014-12-02,24
2014-12-03,25
2014-12-04,19
2014-12-05,33
2014-12-06,15
2014-12-07,7
2014-12-08,13
2014-12-09,37
2014-12-10,19
2014-12-11,25
2014-12-12,33
2014-12-13,15
2014-12-14,0
2014-12-15,19
2014-12-16,19
2014-12-17,19
2014-12-18,33
2014-12-19,20
2014-12-20,23
2014-12-21,8
2014-12-22,0
2014-12-23,7
2014-12-24,23
2014-12-25,25
2014-12-26,0
2014-12-27,15
2014-12-28,23
2014-12-29,20
2014-12-30,27
2014-12-31,30
2015-01-01,0
2015-01-02,7
2015-01-03,0
2015-01-04,14
2015-01-05,25
2015-01-06,37
2015-01-07,37
2015-01-08,6
2015-01-09,25
2015-01-10,0
2015-01-11,7
2015-01-12,12
2015-01-13,18
2015-01-14,12
2015-01-15,12
2015-01-16,25
2015-01-17,21
2015-01-18,14
2015-01-19,12
2015-01-20,18
2015-01-21,12
2015-01-22,24
2015-01-23,12
2015-01-24,21
2015-01-25,7
2015-01-26,35
2015-01-27,87
2015-01-28,77
2015-01-29,54
2015-01-30,68
2015-01-31,21
2015-02-01,0
2015-02-02,47
2015-02-03,35
2015-02-04,24
2015-02-05,42
2015-02-06,25
2015-02-07,14
2015-02-08,0
2015-02-09,23
2015-02-10,18
2015-02-11,29
2015-02-12,42
2015-02-13,69
2015-02-14,35
2015-02-15,57
2015-02-16,24
2015-02-17,18
2015-02-18,18
2015-02-19,61
2015-02-20,19
2015-02-21,14
2015-02-22,0
2015-02-23,17
2015-02-24,40
2015-02-25,35
2015-02-26,12
2015-02-27,67
2015-02-28,7
2015-03-01,20
2015-03-02,35
2015-03-03,58
2015-03-04,23
2015-03-05,12
2015-03-06,49
2015-03-07,7
2015-03-08,7
2015-03-09,23
2015-03-10,17
2015-03-11,47
2015-03-12,65
2015-03-13,55
2015-03-14,28
2015-03-15,27
2015-03-16,59
2015-03-17,71
2015-03-18,47
2015-03-19,35
2015-03-20,30
2015-03-21,28
2015-03-22,7
2015-03-23,35
2015-03-24,23
2015-03-25,26
2015-03-26,21
2015-03-27,12
2015-03-28,15
2015-03-29,0
2015-03-30,24
2015-03-31,12
2015-04-01,24
2015-04-02,25
2015-04-03,20
2015-04-04,7
2015-04-05,14
2015-04-06,13
2015-04-07,18
2015-04-08,35
2015-04-09,6
2015-04-10,31
2015-04-11,7
2015-04-12,7
2015-04-13,6
2015-04-14,12
2015-04-15,24
2015-04-16,23
2015-04-17,43
2015-04-18,21
2015-04-19,21
2015-04-20,23
2015-04-21,29
2015-04-22,59
2015-04-23,54
2015-04-24,31
2015-04-25,7
2015-04-26,0
2015-04-27,47
2015-04-28,35
2015-04-29,23
2015-04-30,30
2015-05-01,33
2015-05-02,21
2015-05-03,14
2015-05-04,35
2015-05-05,70
2015-05-06,92
2015-05-07,54
2015-05-08,44
2015-05-09,21
2015-05-10,7
2015-05-11,12
2015-05-12,46
2015-05-13,47
2015-05-14,36
2015-05-15,18
2015-05-16,7
2015-05-17,21
2015-05-18,17
2015-05-19,29
2015-05-20,29
2015-05-21,12
2015-05-22,0
2015-05-23,21
2015-05-24,0
2015-05-25,18
2015-05-26,17
2015-05-27,29
2015-05-28,17
2015-05-29,25
2015-05-30,7
2015-05-31,14
2015-06-01,6
2015-06-02,23
2015-06-03,23
2015-06-04,43
2015-06-05,0
2015-06-06,21
2015-06-07,0
2015-06-08,29
2015-06-09,17
2015-06-10,6
2015-06-11,6
2015-06-12,12
2015-06-13,7
2015-06-14,0
2015-06-15,40
2015-06-16,40
2015-06-17,53
2015-06-18,48
2015-06-19,74
2015-06-20,14
2015-06-21,7
2015-06-22,35
2015-06-23,23
2015-06-24,53
2015-06-25,42
2015-06-26,30
2015-06-27,0
2015-06-28,7
2015-06-29,47
2015-06-30,30
2015-07-01,53
2015-07-02,35
2015-07-03,19
2015-07-04,7
2015-07-05,0
2015-07-06,29
2015-07-07,29
2015-07-08,41
2015-07-09,30
2015-07-10,61
2015-07-11,57
2015-07-12,21
2015-07-13,41
2015-07-14,59
2015-07-15,35
2015-07-16,67
2015-07-17,25
2015-07-18,38
2015-07-19,0
2015-07-20,50
2015-07-21,41
2015-07-22,24
2015-07-23,18
2015-07-24,31
2015-07-25,42
2015-07-26,14
2015-07-27,29
2015-07-28,29
2015-07-29,35
2015-07-30,100
2015-07-31,98
2015-08-01,28
2015-08-02,14
2015-08-03,53
2015-08-04,35
2015-08-05,83
2015-08-06,48
2015-08-07,25
2015-08-08,21
2015-08-09,7
2015-08-10,65
2015-08-11,23
2015-08-12,36
2015-08-13,12
2015-08-14,49
2015-08-15,7
2015-08-16,0
2015-08-17,29
2015-08-18,29
