date,EA stock
2011-09-18,9
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,7
2011-09-23,0
2011-09-24,9
2011-09-25,18
2011-09-26,7
2011-09-27,22
2011-09-28,15
2011-09-29,7
2011-09-30,8
2011-10-01,0
2011-10-02,18
2011-10-03,7
2011-10-04,14
2011-10-05,0
2011-10-06,0
2011-10-07,8
2011-10-08,0
2011-10-09,0
2011-10-10,14
2011-10-11,7
2011-10-12,0
2011-10-13,7
2011-10-14,0
2011-10-15,0
2011-10-16,17
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,15
2011-10-22,0
2011-10-23,0
2011-10-24,42
2011-10-25,7
2011-10-26,7
2011-10-27,14
2011-10-28,31
2011-10-29,0
2011-10-30,0
2011-10-31,22
2011-11-01,0
2011-11-02,7
2011-11-03,0
2011-11-04,15
2011-11-05,0
2011-11-06,0
2011-11-07,14
2011-11-08,0
2011-11-09,7
2011-11-10,0
2011-11-11,8
2011-11-12,9
2011-11-13,8
2011-11-14,0
2011-11-15,14
2011-11-16,21
2011-11-17,0
2011-11-18,22
2011-11-19,26
2011-11-20,8
2011-11-21,14
2011-11-22,7
2011-11-23,7
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,8
2011-11-28,14
2011-11-29,14
2011-11-30,7
2011-12-01,0
2011-12-02,0
2011-12-03,9
2011-12-04,8
2011-12-05,0
2011-12-06,0
2011-12-07,7
2011-12-08,0
2011-12-09,15
2011-12-10,0
2011-12-11,17
2011-12-12,7
2011-12-13,14
2011-12-14,14
2011-12-15,0
2011-12-16,7
2011-12-17,9
2011-12-18,8
2011-12-19,7
2011-12-20,36
2011-12-21,0
2011-12-22,31
2011-12-23,40
2011-12-24,38
2011-12-25,0
2011-12-26,8
2011-12-27,23
2011-12-28,15
2011-12-29,15
2011-12-30,24
2011-12-31,9
2012-01-01,10
2012-01-02,22
2012-01-03,0
2012-01-04,21
2012-01-05,0
2012-01-06,22
2012-01-07,0
2012-01-08,0
2012-01-09,13
2012-01-10,13
2012-01-11,13
2012-01-12,13
2012-01-13,41
2012-01-14,16
2012-01-15,0
2012-01-16,20
2012-01-17,26
2012-01-18,13
2012-01-19,46
2012-01-20,48
2012-01-21,24
2012-01-22,0
2012-01-23,20
2012-01-24,7
2012-01-25,33
2012-01-26,27
2012-01-27,14
2012-01-28,0
2012-01-29,0
2012-01-30,6
2012-01-31,45
2012-02-01,46
2012-02-02,46
2012-02-03,34
2012-02-04,55
2012-02-05,0
2012-02-06,32
2012-02-07,32
2012-02-08,19
2012-02-09,33
2012-02-10,0
2012-02-11,8
2012-02-12,15
2012-02-13,13
2012-02-14,52
2012-02-15,39
2012-02-16,20
2012-02-17,20
2012-02-18,40
2012-02-19,8
2012-02-20,0
2012-02-21,13
2012-02-22,26
2012-02-23,20
2012-02-24,47
2012-02-25,8
2012-02-26,15
2012-02-27,19
2012-02-28,19
2012-02-29,52
2012-03-01,34
2012-03-02,21
2012-03-03,16
2012-03-04,16
2012-03-05,26
2012-03-06,32
2012-03-07,13
2012-03-08,20
2012-03-09,27
2012-03-10,15
2012-03-11,15
2012-03-12,26
2012-03-13,32
2012-03-14,13
2012-03-15,0
2012-03-16,48
2012-03-17,8
2012-03-18,16
2012-03-19,45
2012-03-20,45
2012-03-21,39
2012-03-22,20
2012-03-23,7
2012-03-24,0
2012-03-25,8
2012-03-26,26
2012-03-27,13
2012-03-28,26
2012-03-29,13
2012-03-30,27
2012-03-31,16
2012-04-01,0
2012-04-02,7
2012-04-03,20
2012-04-04,33
2012-04-05,76
2012-04-06,38
2012-04-07,16
2012-04-08,8
2012-04-09,47
2012-04-10,40
2012-04-11,64
2012-04-12,90
2012-04-13,20
2012-04-14,31
2012-04-15,23
2012-04-16,45
2012-04-17,51
2012-04-18,38
2012-04-19,13
2012-04-20,7
2012-04-21,23
2012-04-22,15
2012-04-23,50
2012-04-24,38
2012-04-25,13
2012-04-26,39
2012-04-27,7
2012-04-28,24
2012-04-29,8
2012-04-30,34
2012-05-01,21
2012-05-02,13
2012-05-03,19
2012-05-04,7
2012-05-05,0
2012-05-06,0
2012-05-07,64
2012-05-08,100
2012-05-09,57
2012-05-10,13
2012-05-11,47
2012-05-12,8
2012-05-13,16
2012-05-14,19
2012-05-15,25
2012-05-16,32
2012-05-17,33
2012-05-18,41
2012-05-19,8
2012-05-20,8
2012-05-21,25
2012-05-22,19
2012-05-23,32
2012-05-24,13
2012-05-25,34
2012-05-26,8
2012-05-27,8
2012-05-28,13
2012-05-29,31
2012-05-30,19
2012-05-31,25
2012-06-01,20
2012-06-02,8
2012-06-03,8
2012-06-04,12
