date,EA stock
2013-06-29,0
2013-06-30,0
2013-07-01,13
2013-07-02,13
2013-07-03,7
2013-07-04,21
2013-07-05,7
2013-07-06,0
2013-07-07,0
2013-07-08,20
2013-07-09,20
2013-07-10,27
2013-07-11,27
2013-07-12,28
2013-07-13,8
2013-07-14,0
2013-07-15,20
2013-07-16,13
2013-07-17,34
2013-07-18,14
2013-07-19,21
2013-07-20,24
2013-07-21,0
2013-07-22,20
2013-07-23,39
2013-07-24,100
2013-07-25,27
2013-07-26,35
2013-07-27,16
2013-07-28,32
2013-07-29,6
2013-07-30,45
2013-07-31,26
2013-08-01,34
2013-08-02,21
2013-08-03,8
2013-08-04,0
2013-08-05,7
2013-08-06,13
2013-08-07,20
2013-08-08,7
2013-08-09,14
2013-08-10,8
2013-08-11,8
2013-08-12,33
2013-08-13,13
2013-08-14,0
2013-08-15,35
2013-08-16,35
2013-08-17,0
2013-08-18,8
2013-08-19,13
2013-08-20,26
2013-08-21,33
2013-08-22,33
2013-08-23,34
2013-08-24,8
2013-08-25,8
2013-08-26,13
2013-08-27,6
2013-08-28,13
2013-08-29,32
2013-08-30,34
2013-08-31,8
2013-09-01,15
2013-09-02,6
2013-09-03,44
2013-09-04,25
2013-09-05,6
2013-09-06,27
2013-09-07,15
2013-09-08,15
2013-09-09,38
2013-09-10,12
2013-09-11,19
2013-09-12,19
2013-09-13,26
2013-09-14,7
2013-09-15,14
2013-09-16,6
2013-09-17,49
2013-09-18,50
2013-09-19,44
2013-09-20,13
2013-09-21,30
2013-09-22,22
2013-09-23,12
2013-09-24,12
2013-09-25,25
2013-09-26,25
2013-09-27,46
2013-09-28,7
2013-09-29,7
2013-09-30,12
2013-10-01,30
2013-10-02,25
2013-10-03,13
2013-10-04,45
2013-10-05,7
2013-10-06,0
2013-10-07,18
2013-10-08,24
2013-10-09,25
2013-10-10,32
2013-10-11,7
2013-10-12,0
2013-10-13,7
2013-10-14,6
2013-10-15,43
2013-10-16,19
2013-10-17,38
2013-10-18,26
2013-10-19,15
2013-10-20,14
2013-10-21,36
2013-10-22,60
2013-10-23,18
2013-10-24,37
2013-10-25,25
2013-10-26,7
2013-10-27,7
2013-10-28,18
2013-10-29,60
2013-10-30,97
2013-10-31,19
2013-11-01,33
2013-11-02,30
2013-11-03,14
2013-11-04,6
2013-11-05,18
2013-11-06,30
2013-11-07,37
2013-11-08,25
2013-11-09,22
2013-11-10,35
2013-11-11,0
2013-11-12,18
2013-11-13,18
2013-11-14,31
2013-11-15,45
2013-11-16,7
2013-11-17,14
2013-11-18,36
2013-11-19,30
2013-11-20,36
2013-11-21,36
2013-11-22,25
2013-11-23,7
2013-11-24,7
2013-11-25,6
2013-11-26,0
2013-11-27,18
2013-11-28,13
2013-11-29,13
2013-11-30,14
2013-12-01,7
2013-12-02,17
2013-12-03,41
2013-12-04,48
2013-12-05,30
2013-12-06,87
2013-12-07,36
2013-12-08,21
2013-12-09,24
2013-12-10,12
2013-12-11,24
2013-12-12,49
2013-12-13,19
2013-12-14,29
2013-12-15,21
2013-12-16,24
2013-12-17,31
2013-12-18,25
2013-12-19,44
2013-12-20,33
2013-12-21,0
2013-12-22,15
2013-12-23,20
2013-12-24,22
2013-12-25,8
2013-12-26,0
2013-12-27,27
2013-12-28,22
2013-12-29,22
2013-12-30,20
2013-12-31,22
2014-01-01,23
2014-01-02,12
2014-01-03,25
2014-01-04,14
2014-01-05,14
2014-01-06,18
2014-01-07,35
2014-01-08,12
2014-01-09,35
2014-01-10,43
2014-01-11,7
2014-01-12,0
2014-01-13,11
2014-01-14,6
2014-01-15,29
2014-01-16,35
2014-01-17,48
2014-01-18,34
2014-01-19,7
2014-01-20,11
2014-01-21,40
2014-01-22,34
2014-01-23,46
2014-01-24,24
2014-01-25,7
2014-01-26,13
2014-01-27,34
2014-01-28,52
2014-01-29,23
2014-01-30,53
2014-01-31,18
2014-02-01,7
2014-02-02,20
2014-02-03,45
2014-02-04,46
2014-02-05,23
2014-02-06,47
2014-02-07,39
2014-02-08,7
2014-02-09,20
2014-02-10,34
2014-02-11,34
2014-02-12,11
2014-02-13,11
2014-02-14,24
2014-02-15,20
2014-02-16,7
2014-02-17,23
2014-02-18,62
2014-02-19,29
2014-02-20,17
2014-02-21,30
2014-02-22,13
2014-02-23,0
2014-02-24,17
2014-02-25,34
2014-02-26,45
2014-02-27,29
2014-02-28,42
2014-03-01,0
2014-03-02,13
2014-03-03,29
2014-03-04,12
2014-03-05,12
2014-03-06,23
2014-03-07,36
2014-03-08,0
2014-03-09,14
2014-03-10,29
2014-03-11,57
2014-03-12,63
2014-03-13,81
2014-03-14,36
2014-03-15,27
2014-03-16,13
