date,EA stock
2015-08-18,30
2015-08-19,38
2015-08-20,49
2015-08-21,28
2015-08-22,32
2015-08-23,19
2015-08-24,39
2015-08-25,63
2015-08-26,51
2015-08-27,46
2015-08-28,48
2015-08-29,32
2015-08-30,25
2015-08-31,63
2015-09-01,47
2015-09-02,32
2015-09-03,27
2015-09-04,58
2015-09-05,19
2015-09-06,9
2015-09-07,14
2015-09-08,44
2015-09-09,31
2015-09-10,42
2015-09-11,35
2015-09-12,6
2015-09-13,15
2015-09-14,26
2015-09-15,36
2015-09-16,47
2015-09-17,37
2015-09-18,19
2015-09-19,12
2015-09-20,9
2015-09-21,23
2015-09-22,44
2015-09-23,42
2015-09-24,38
2015-09-25,39
2015-09-26,12
2015-09-27,6
2015-09-28,43
2015-09-29,38
2015-09-30,21
2015-10-01,31
2015-10-02,38
2015-10-03,18
2015-10-04,24
2015-10-05,31
2015-10-06,23
2015-10-07,26
2015-10-08,44
2015-10-09,27
2015-10-10,12
2015-10-11,18
2015-10-12,18
2015-10-13,48
2015-10-14,51
2015-10-15,46
2015-10-16,48
2015-10-17,21
2015-10-18,24
2015-10-19,45
2015-10-20,40
2015-10-21,35
2015-10-22,26
2015-10-23,43
2015-10-24,21
2015-10-25,15
2015-10-26,52
2015-10-27,35
2015-10-28,30
2015-10-29,100
2015-10-30,92
2015-10-31,33
2015-11-01,15
2015-11-02,46
2015-11-03,58
2015-11-04,53
2015-11-05,63
2015-11-06,50
2015-11-07,15
2015-11-08,18
2015-11-09,32
2015-11-10,28
2015-11-11,21
2015-11-12,57
2015-11-13,45
2015-11-14,12
2015-11-15,18
2015-11-16,63
2015-11-17,72
2015-11-18,58
2015-11-19,46
2015-11-20,58
2015-11-21,15
2015-11-22,12
2015-11-23,40
2015-11-24,53
2015-11-25,63
2015-11-26,16
2015-11-27,24
2015-11-28,24
2015-11-29,14
2015-11-30,44
2015-12-01,32
2015-12-02,32
2015-12-03,46
2015-12-04,39
2015-12-05,30
2015-12-06,6
2015-12-07,51
2015-12-08,38
2015-12-09,53
2015-12-10,51
2015-12-11,45
2015-12-12,12
2015-12-13,15
2015-12-14,32
2015-12-15,42
2015-12-16,60
2015-12-17,32
2015-12-18,45
2015-12-19,9
2015-12-20,13
2015-12-21,13
2015-12-22,36
2015-12-23,32
2015-12-24,19
2015-12-25,0
2015-12-26,13
2015-12-27,31
2015-12-28,30
2015-12-29,14
2015-12-30,26
2015-12-31,9
2016-01-01,7
2016-01-02,6
2016-01-03,9
2016-01-04,27
2016-01-05,11
2016-01-06,30
2016-01-07,33
2016-01-08,34
2016-01-09,9
2016-01-10,24
2016-01-11,32
2016-01-12,32
2016-01-13,56
2016-01-14,58
2016-01-15,28
2016-01-16,19
2016-01-17,9
2016-01-18,32
2016-01-19,37
2016-01-20,32
2016-01-21,22
2016-01-22,25
2016-01-23,18
2016-01-24,12
2016-01-25,29
2016-01-26,32
2016-01-27,40
2016-01-28,94
2016-01-29,92
2016-01-30,27
2016-01-31,12
2016-02-01,59
2016-02-02,55
2016-02-03,67
2016-02-04,41
2016-02-05,67
2016-02-06,13
2016-02-07,15
2016-02-08,27
2016-02-09,24
2016-02-10,40
2016-02-11,35
2016-02-12,25
2016-02-13,9
2016-02-14,6
2016-02-15,13
2016-02-16,39
2016-02-17,34
2016-02-18,26
2016-02-19,22
2016-02-20,9
2016-02-21,12
2016-02-22,42
2016-02-23,44
2016-02-24,39
2016-02-25,43
2016-02-26,41
2016-02-27,12
2016-02-28,6
2016-02-29,39
2016-03-01,39
2016-03-02,36
2016-03-03,45
2016-03-04,33
2016-03-05,15
2016-03-06,0
2016-03-07,39
2016-03-08,36
2016-03-09,11
2016-03-10,38
2016-03-11,25
2016-03-12,12
2016-03-13,9
2016-03-14,29
2016-03-15,37
2016-03-16,18
2016-03-17,32
2016-03-18,28
2016-03-19,6
2016-03-20,6
2016-03-21,16
2016-03-22,19
2016-03-23,35
2016-03-24,14
2016-03-25,6
2016-03-26,6
2016-03-27,6
2016-03-28,19
2016-03-29,34
2016-03-30,48
2016-03-31,19
2016-04-01,11
2016-04-02,18
2016-04-03,0
2016-04-04,16
2016-04-05,16
2016-04-06,24
2016-04-07,29
2016-04-08,17
2016-04-09,6
2016-04-10,15
2016-04-11,34
2016-04-12,31
2016-04-13,16
2016-04-14,16
2016-04-15,33
2016-04-16,6
2016-04-17,15
2016-04-18,18
2016-04-19,26
2016-04-20,21
2016-04-21,24
2016-04-22,22
2016-04-23,9
2016-04-24,9
2016-04-25,5
2016-04-26,26
2016-04-27,42
2016-04-28,46
2016-04-29,20
2016-04-30,9
2016-05-01,6
2016-05-02,16
2016-05-03,18
2016-05-04,21
