date,EA stock
2011-01-01,0
2011-01-02,36
2011-01-03,29
2011-01-04,42
2011-01-05,57
2011-01-06,0
2011-01-07,29
2011-01-08,0
2011-01-09,0
2011-01-10,27
2011-01-11,27
2011-01-12,27
2011-01-13,55
2011-01-14,57
2011-01-15,0
2011-01-16,33
2011-01-17,0
2011-01-18,53
2011-01-19,27
2011-01-20,54
2011-01-21,28
2011-01-22,49
2011-01-23,33
2011-01-24,39
2011-01-25,66
2011-01-26,53
2011-01-27,0
2011-01-28,28
2011-01-29,0
2011-01-30,0
2011-01-31,25
2011-02-01,25
2011-02-02,25
2011-02-03,0
2011-02-04,0
2011-02-05,32
2011-02-06,31
2011-02-07,0
2011-02-08,65
2011-02-09,26
2011-02-10,27
2011-02-11,28
2011-02-12,65
2011-02-13,32
2011-02-14,39
2011-02-15,25
2011-02-16,26
2011-02-17,26
2011-02-18,27
2011-02-19,32
2011-02-20,32
2011-02-21,0
2011-02-22,26
2011-02-23,0
2011-02-24,26
2011-02-25,27
2011-02-26,0
2011-02-27,0
2011-02-28,51
2011-03-01,0
2011-03-02,52
2011-03-03,0
2011-03-04,0
2011-03-05,33
2011-03-06,33
2011-03-07,27
2011-03-08,0
2011-03-09,26
2011-03-10,26
2011-03-11,0
2011-03-12,33
2011-03-13,0
2011-03-14,41
2011-03-15,26
2011-03-16,25
2011-03-17,26
2011-03-18,0
2011-03-19,32
2011-03-20,0
2011-03-21,77
2011-03-22,51
2011-03-23,26
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,51
2011-03-30,26
2011-03-31,52
2011-04-01,55
2011-04-02,0
2011-04-03,0
2011-04-04,51
2011-04-05,26
2011-04-06,0
2011-04-07,0
2011-04-08,55
2011-04-09,0
2011-04-10,0
2011-04-11,25
2011-04-12,51
2011-04-13,0
2011-04-14,0
2011-04-15,28
2011-04-16,0
2011-04-17,0
2011-04-18,52
2011-04-19,0
2011-04-20,27
2011-04-21,57
2011-04-22,31
2011-04-23,35
2011-04-24,0
2011-04-25,0
2011-04-26,26
2011-04-27,51
2011-04-28,52
2011-04-29,27
2011-04-30,33
2011-05-01,65
2011-05-02,0
2011-05-03,26
2011-05-04,26
2011-05-05,39
2011-05-06,28
2011-05-07,33
2011-05-08,33
2011-05-09,25
2011-05-10,51
2011-05-11,0
2011-05-12,26
2011-05-13,27
2011-05-14,0
2011-05-15,31
2011-05-16,25
2011-05-17,25
2011-05-18,25
2011-05-19,26
2011-05-20,27
2011-05-21,0
2011-05-22,0
2011-05-23,37
2011-05-24,50
2011-05-25,25
2011-05-26,0
2011-05-27,0
2011-05-28,33
2011-05-29,0
2011-05-30,27
2011-05-31,38
2011-06-01,0
2011-06-02,0
2011-06-03,28
2011-06-04,33
2011-06-05,0
2011-06-06,25
2011-06-07,50
2011-06-08,0
2011-06-09,51
2011-06-10,53
2011-06-11,33
2011-06-12,33
2011-06-13,0
2011-06-14,100
2011-06-15,0
2011-06-16,26
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,25
2011-06-22,0
2011-06-23,27
2011-06-24,27
2011-06-25,0
2011-06-26,33
2011-06-27,26
2011-06-28,51
2011-06-29,39
2011-06-30,26
2011-07-01,0
2011-07-02,33
2011-07-03,33
2011-07-04,0
2011-07-05,26
2011-07-06,25
2011-07-07,0
2011-07-08,27
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,64
2011-07-13,78
2011-07-14,53
2011-07-15,28
2011-07-16,67
2011-07-17,0
2011-07-18,25
2011-07-19,51
2011-07-20,26
2011-07-21,26
2011-07-22,55
2011-07-23,0
2011-07-24,65
2011-07-25,25
2011-07-26,38
2011-07-27,64
2011-07-28,39
2011-07-29,27
2011-07-30,0
2011-07-31,0
2011-08-01,52
2011-08-02,65
2011-08-03,52
2011-08-04,26
2011-08-05,40
2011-08-06,0
2011-08-07,0
2011-08-08,49
2011-08-09,49
2011-08-10,38
2011-08-11,51
2011-08-12,27
2011-08-13,0
2011-08-14,64
2011-08-15,40
2011-08-16,51
2011-08-17,52
2011-08-18,25
2011-08-19,39
2011-08-20,0
2011-08-21,31
2011-08-22,49
2011-08-23,24
2011-08-24,25
2011-08-25,25
2011-08-26,39
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,49
2011-08-31,74
2011-09-01,25
2011-09-02,38
2011-09-03,0
2011-09-04,30
2011-09-05,0
2011-09-06,24
2011-09-07,24
2011-09-08,36
2011-09-09,25
2011-09-10,0
2011-09-11,29
2011-09-12,23
2011-09-13,46
2011-09-14,35
2011-09-15,36
2011-09-16,25
2011-09-17,0
2011-09-18,0
