date,EA stock
2012-10-12,5
2012-10-13,11
2012-10-14,0
2012-10-15,27
2012-10-16,0
2012-10-17,5
2012-10-18,28
2012-10-19,14
2012-10-20,11
2012-10-21,0
2012-10-22,4
2012-10-23,9
2012-10-24,13
2012-10-25,9
2012-10-26,10
2012-10-27,0
2012-10-28,5
2012-10-29,9
2012-10-30,0
2012-10-31,18
2012-11-01,14
2012-11-02,10
2012-11-03,16
2012-11-04,5
2012-11-05,22
2012-11-06,13
2012-11-07,26
2012-11-08,9
2012-11-09,14
2012-11-10,0
2012-11-11,10
2012-11-12,0
2012-11-13,4
2012-11-14,9
2012-11-15,14
2012-11-16,5
2012-11-17,5
2012-11-18,0
2012-11-19,18
2012-11-20,0
2012-11-21,4
2012-11-22,5
2012-11-23,5
2012-11-24,5
2012-11-25,0
2012-11-26,4
2012-11-27,4
2012-11-28,4
2012-11-29,40
2012-11-30,9
2012-12-01,0
2012-12-02,5
2012-12-03,17
2012-12-04,9
2012-12-05,0
2012-12-06,18
2012-12-07,14
2012-12-08,5
2012-12-09,0
2012-12-10,13
2012-12-11,13
2012-12-12,22
2012-12-13,9
2012-12-14,27
2012-12-15,5
2012-12-16,0
2012-12-17,13
2012-12-18,22
2012-12-19,14
2012-12-20,27
2012-12-21,15
2012-12-22,0
2012-12-23,6
2012-12-24,6
2012-12-25,12
2012-12-26,10
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,6
2013-01-02,27
2013-01-03,4
2013-01-04,14
2013-01-05,0
2013-01-06,0
2013-01-07,4
2013-01-08,8
2013-01-09,8
2013-01-10,8
2013-01-11,0
2013-01-12,5
2013-01-13,5
2013-01-14,4
2013-01-15,16
2013-01-16,8
2013-01-17,29
2013-01-18,9
2013-01-19,5
2013-01-20,0
2013-01-21,12
2013-01-22,8
2013-01-23,0
2013-01-24,13
2013-01-25,4
2013-01-26,5
2013-01-27,19
2013-01-28,8
2013-01-29,8
2013-01-30,29
2013-01-31,17
2013-02-01,4
2013-02-02,5
2013-02-03,24
2013-02-04,8
2013-02-05,20
2013-02-06,17
2013-02-07,17
2013-02-08,9
2013-02-09,5
2013-02-10,10
2013-02-11,8
2013-02-12,0
2013-02-13,4
2013-02-14,17
2013-02-15,30
2013-02-16,0
2013-02-17,5
2013-02-18,8
2013-02-19,16
2013-02-20,8
2013-02-21,12
2013-02-22,4
2013-02-23,10
2013-02-24,5
2013-02-25,4
2013-02-26,12
2013-02-27,16
2013-02-28,58
2013-03-01,17
2013-03-02,0
2013-03-03,10
2013-03-04,12
2013-03-05,28
2013-03-06,32
2013-03-07,79
2013-03-08,80
2013-03-09,71
2013-03-10,9
2013-03-11,28
2013-03-12,56
2013-03-13,16
2013-03-14,36
2013-03-15,25
2013-03-16,19
2013-03-17,0
2013-03-18,83
2013-03-19,100
2013-03-20,44
2013-03-21,36
2013-03-22,42
2013-03-23,19
2013-03-24,0
2013-03-25,24
2013-03-26,8
2013-03-27,12
2013-03-28,4
2013-03-29,9
2013-03-30,5
2013-03-31,5
2013-04-01,13
2013-04-02,8
2013-04-03,24
2013-04-04,12
2013-04-05,21
2013-04-06,5
2013-04-07,0
2013-04-08,4
2013-04-09,8
2013-04-10,40
2013-04-11,4
2013-04-12,4
2013-04-13,5
2013-04-14,0
2013-04-15,8
2013-04-16,16
2013-04-17,8
2013-04-18,8
2013-04-19,17
2013-04-20,5
2013-04-21,0
2013-04-22,16
2013-04-23,16
2013-04-24,0
2013-04-25,12
2013-04-26,34
2013-04-27,14
2013-04-28,0
2013-04-29,4
2013-04-30,12
2013-05-01,4
2013-05-02,12
2013-05-03,4
2013-05-04,5
2013-05-05,0
2013-05-06,20
2013-05-07,56
2013-05-08,49
2013-05-09,46
2013-05-10,39
2013-05-11,14
2013-05-12,10
2013-05-13,32
2013-05-14,20
2013-05-15,20
2013-05-16,32
2013-05-17,8
2013-05-18,5
2013-05-19,10
2013-05-20,4
2013-05-21,43
2013-05-22,28
2013-05-23,20
2013-05-24,21
2013-05-25,0
2013-05-26,15
2013-05-27,0
2013-05-28,23
2013-05-29,16
2013-05-30,24
2013-05-31,34
2013-06-01,0
2013-06-02,0
2013-06-03,12
2013-06-04,12
2013-06-05,16
2013-06-06,8
2013-06-07,12
2013-06-08,15
2013-06-09,10
2013-06-10,39
2013-06-11,16
2013-06-12,8
2013-06-13,12
2013-06-14,8
2013-06-15,10
2013-06-16,0
2013-06-17,20
2013-06-18,12
2013-06-19,12
2013-06-20,4
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,4
2013-06-25,8
2013-06-26,20
2013-06-27,8
2013-06-28,21
2013-06-29,5
