date,CTXS stock
2018-02-13,0
2018-02-14,32
2018-02-15,32
2018-02-16,100
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,47
2018-02-22,32
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,31
2018-02-27,31
2018-02-28,0
2018-03-01,0
2018-03-02,33
2018-03-03,0
2018-03-04,0
2018-03-05,31
2018-03-06,31
2018-03-07,32
2018-03-08,64
2018-03-09,33
2018-03-10,36
2018-03-11,0
2018-03-12,31
2018-03-13,0
2018-03-14,31
2018-03-15,0
2018-03-16,65
2018-03-17,0
2018-03-18,35
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,36
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,31
2018-04-05,32
2018-04-06,50
2018-04-07,0
2018-04-08,0
2018-04-09,0
