date,CTXS stock
2016-09-11,0
2016-09-12,0
2016-09-13,28
2016-09-14,0
2016-09-15,0
2016-09-16,30
2016-09-17,0
2016-09-18,0
2016-09-19,28
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,33
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,28
2016-09-29,0
2016-09-30,0
2016-10-01,32
2016-10-02,0
2016-10-03,28
2016-10-04,28
2016-10-05,28
2016-10-06,28
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,28
2016-10-14,29
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,83
2016-10-20,84
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,28
2016-10-28,30
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,58
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,25
2016-11-10,56
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,27
2016-11-16,0
2016-11-17,0
2016-11-18,43
2016-11-19,31
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,26
2016-11-29,26
2016-11-30,27
2016-12-01,0
2016-12-02,28
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,26
2016-12-07,26
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,26
2016-12-13,26
2016-12-14,0
2016-12-15,27
2016-12-16,28
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,28
2016-12-21,0
2016-12-22,0
2016-12-23,30
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,30
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,26
2017-01-11,26
2017-01-12,0
2017-01-13,27
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,51
2017-01-18,26
2017-01-19,52
2017-01-20,0
2017-01-21,0
2017-01-22,29
2017-01-23,0
2017-01-24,26
2017-01-25,51
2017-01-26,64
2017-01-27,53
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,100
2017-02-02,65
2017-02-03,93
2017-02-04,0
2017-02-05,0
2017-02-06,25
2017-02-07,25
2017-02-08,25
2017-02-09,26
2017-02-10,40
2017-02-11,0
2017-02-12,0
2017-02-13,25
2017-02-14,25
2017-02-15,26
2017-02-16,25
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,26
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,24
2017-03-02,24
2017-03-03,26
2017-03-04,0
2017-03-05,0
2017-03-06,24
2017-03-07,48
2017-03-08,25
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,23
2017-03-14,63
2017-03-15,25
2017-03-16,38
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,25
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,25
2017-03-28,25
2017-03-29,25
2017-03-30,26
2017-03-31,27
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,25
2017-04-06,0
2017-04-07,26
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,26
2017-04-13,27
2017-04-14,29
2017-04-15,30
2017-04-16,0
2017-04-17,26
2017-04-18,25
2017-04-19,37
2017-04-20,38
2017-04-21,27
2017-04-22,0
2017-04-23,29
2017-04-24,0
2017-04-25,0
2017-04-26,50
2017-04-27,25
2017-04-28,26
2017-04-29,30
2017-04-30,0
2017-05-01,0
2017-05-02,25
2017-05-03,75
2017-05-04,51
2017-05-05,0
2017-05-06,29
2017-05-07,0
2017-05-08,25
2017-05-09,0
2017-05-10,0
2017-05-11,26
2017-05-12,27
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,27
2017-05-24,28
2017-05-25,28
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
