date,CTRP stock
2017-05-29,0
2017-05-30,0
2017-05-31,33
2017-06-01,17
2017-06-02,18
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,17
2017-06-08,33
2017-06-09,17
2017-06-10,0
2017-06-11,20
2017-06-12,17
2017-06-13,0
2017-06-14,0
2017-06-15,17
2017-06-16,18
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,16
2017-06-21,0
2017-06-22,0
2017-06-23,34
2017-06-24,20
2017-06-25,0
2017-06-26,0
2017-06-27,17
2017-06-28,18
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,34
2017-07-12,0
2017-07-13,0
2017-07-14,36
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,17
2017-07-19,17
2017-07-20,0
2017-07-21,53
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,17
2017-07-26,0
2017-07-27,17
2017-07-28,18
2017-07-29,0
2017-07-30,0
2017-07-31,17
2017-08-01,32
2017-08-02,32
2017-08-03,17
2017-08-04,70
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,16
2017-08-09,0
2017-08-10,17
2017-08-11,17
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,35
2017-08-16,0
2017-08-17,67
2017-08-18,17
2017-08-19,0
2017-08-20,0
2017-08-21,16
2017-08-22,16
2017-08-23,16
2017-08-24,34
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,16
2017-08-30,16
2017-08-31,100
2017-09-01,17
2017-09-02,20
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,32
2017-09-07,17
2017-09-08,17
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,16
2017-09-13,32
2017-09-14,33
2017-09-15,34
2017-09-16,0
2017-09-17,0
2017-09-18,32
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,17
2017-09-23,0
2017-09-24,18
2017-09-25,32
2017-09-26,32
2017-09-27,0
2017-09-28,16
2017-09-29,0
2017-09-30,19
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,32
2017-10-06,67
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,16
2017-10-11,64
2017-10-12,33
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,33
2017-10-20,34
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,16
2017-10-25,16
2017-10-26,0
2017-10-27,33
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,16
2017-11-01,16
2017-11-02,49
2017-11-03,33
2017-11-04,18
2017-11-05,0
2017-11-06,31
2017-11-07,15
2017-11-08,16
2017-11-09,16
2017-11-10,32
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,31
2017-11-15,47
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,15
2017-11-21,0
2017-11-22,16
2017-11-23,16
2017-11-24,16
2017-11-25,0
2017-11-26,0
2017-11-27,15
2017-11-28,0
2017-11-29,16
2017-11-30,32
2017-12-01,33
2017-12-02,0
2017-12-03,18
2017-12-04,31
2017-12-05,31
2017-12-06,0
2017-12-07,31
2017-12-08,49
2017-12-09,36
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,15
2017-12-14,0
2017-12-15,17
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,17
2017-12-22,71
2017-12-23,0
2017-12-24,20
2017-12-25,0
2017-12-26,0
2017-12-27,17
2017-12-28,0
2017-12-29,0
2017-12-30,19
2017-12-31,0
2018-01-01,0
2018-01-02,33
2018-01-03,0
2018-01-04,0
2018-01-05,16
2018-01-06,0
2018-01-07,0
2018-01-08,15
2018-01-09,15
2018-01-10,0
2018-01-11,15
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,15
2018-01-16,15
2018-01-17,15
2018-01-18,46
2018-01-19,16
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,30
2018-01-25,30
2018-01-26,47
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,15
2018-01-31,30
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,15
2018-02-07,45
2018-02-08,15
2018-02-09,16
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,0
