date,CTRP stock
2018-02-13,0
2018-02-14,0
2018-02-15,41
2018-02-16,42
2018-02-17,46
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,20
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,45
2018-02-26,19
2018-02-27,59
2018-02-28,20
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,58
2018-03-06,0
2018-03-07,40
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,20
2018-03-14,39
2018-03-15,100
2018-03-16,41
2018-03-17,0
2018-03-18,0
2018-03-19,20
2018-03-20,20
2018-03-21,20
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,21
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,20
