date,KLAC stock
2017-10-06,53
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,50
2017-10-11,25
2017-10-12,26
2017-10-13,27
2017-10-14,29
2017-10-15,0
2017-10-16,25
2017-10-17,75
2017-10-18,25
2017-10-19,26
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,50
2017-10-24,25
2017-10-25,50
2017-10-26,51
2017-10-27,66
2017-10-28,29
2017-10-29,28
2017-10-30,38
2017-10-31,26
2017-11-01,26
2017-11-02,51
2017-11-03,52
2017-11-04,0
2017-11-05,0
2017-11-06,25
2017-11-07,25
2017-11-08,0
2017-11-09,25
2017-11-10,26
2017-11-11,0
2017-11-12,0
2017-11-13,49
2017-11-14,49
2017-11-15,49
2017-11-16,37
2017-11-17,26
2017-11-18,0
2017-11-19,0
2017-11-20,25
2017-11-21,49
2017-11-22,0
2017-11-23,25
2017-11-24,26
2017-11-25,0
2017-11-26,56
2017-11-27,60
2017-11-28,0
2017-11-29,24
2017-11-30,25
2017-12-01,0
2017-12-02,29
2017-12-03,0
2017-12-04,24
2017-12-05,0
2017-12-06,0
2017-12-07,25
2017-12-08,26
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,49
2017-12-13,0
2017-12-14,25
2017-12-15,26
2017-12-16,0
2017-12-17,0
2017-12-18,25
2017-12-19,77
2017-12-20,26
2017-12-21,27
2017-12-22,28
2017-12-23,30
2017-12-24,0
2017-12-25,0
2017-12-26,28
2017-12-27,40
2017-12-28,66
2017-12-29,55
2017-12-30,29
2017-12-31,31
2018-01-01,0
2018-01-02,39
2018-01-03,50
2018-01-04,50
2018-01-05,25
2018-01-06,0
2018-01-07,28
2018-01-08,24
2018-01-09,36
2018-01-10,24
2018-01-11,0
2018-01-12,25
2018-01-13,0
2018-01-14,27
2018-01-15,0
2018-01-16,24
2018-01-17,36
2018-01-18,36
2018-01-19,63
2018-01-20,27
2018-01-21,0
2018-01-22,35
2018-01-23,48
2018-01-24,24
2018-01-25,48
2018-01-26,100
2018-01-27,0
2018-01-28,27
2018-01-29,47
2018-01-30,24
2018-01-31,36
2018-02-01,48
2018-02-02,50
2018-02-03,0
2018-02-04,27
2018-02-05,24
2018-02-06,95
2018-02-07,24
2018-02-08,0
2018-02-09,25
2018-02-10,27
2018-02-11,0
2018-02-12,0
2018-02-13,24
2018-02-14,72
2018-02-15,0
2018-02-16,38
2018-02-17,0
2018-02-18,0
2018-02-19,48
2018-02-20,23
2018-02-21,0
2018-02-22,24
2018-02-23,25
2018-02-24,0
2018-02-25,0
2018-02-26,23
2018-02-27,23
2018-02-28,59
2018-03-01,23
2018-03-02,49
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,23
2018-03-07,0
2018-03-08,24
2018-03-09,37
2018-03-10,0
2018-03-11,27
2018-03-12,0
2018-03-13,23
2018-03-14,48
2018-03-15,24
2018-03-16,37
2018-03-17,27
2018-03-18,0
2018-03-19,59
2018-03-20,47
2018-03-21,47
2018-03-22,36
2018-03-23,0
2018-03-24,55
2018-03-25,27
2018-03-26,72
2018-03-27,0
2018-03-28,73
2018-03-29,26
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,38
2018-04-03,24
2018-04-04,24
2018-04-05,49
2018-04-06,50
2018-04-07,0
2018-04-08,0
2018-04-09,24
