date,KLAC stock
2017-05-29,0
2017-05-30,20
2017-05-31,20
2017-06-01,0
2017-06-02,44
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,43
2017-06-10,0
2017-06-11,0
2017-06-12,41
2017-06-13,0
2017-06-14,21
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,41
2017-06-20,40
2017-06-21,0
2017-06-22,20
2017-06-23,0
2017-06-24,0
2017-06-25,24
2017-06-26,0
2017-06-27,0
2017-06-28,21
2017-06-29,43
2017-06-30,44
2017-07-01,0
2017-07-02,25
2017-07-03,0
2017-07-04,43
2017-07-05,22
2017-07-06,86
2017-07-07,22
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,21
2017-07-13,85
2017-07-14,44
2017-07-15,0
2017-07-16,0
2017-07-17,21
2017-07-18,21
2017-07-19,21
2017-07-20,0
2017-07-21,0
2017-07-22,25
2017-07-23,48
2017-07-24,42
2017-07-25,0
2017-07-26,21
2017-07-27,62
2017-07-28,65
2017-07-29,0
2017-07-30,0
2017-07-31,21
2017-08-01,40
2017-08-02,58
2017-08-03,62
2017-08-04,43
2017-08-05,0
2017-08-06,0
2017-08-07,40
2017-08-08,19
2017-08-09,60
2017-08-10,42
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,21
2017-08-15,0
2017-08-16,20
2017-08-17,0
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,40
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,20
2017-08-29,20
2017-08-30,0
2017-08-31,20
2017-09-01,0
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,59
2017-09-07,0
2017-09-08,21
2017-09-09,23
2017-09-10,0
2017-09-11,0
2017-09-12,20
2017-09-13,0
2017-09-14,20
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,20
2017-09-19,20
2017-09-20,0
2017-09-21,20
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,20
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,40
2017-10-04,0
2017-10-05,20
2017-10-06,21
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,19
2017-10-11,20
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,21
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,39
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,22
2017-10-30,19
2017-10-31,20
2017-11-01,20
2017-11-02,40
2017-11-03,100
2017-11-04,0
2017-11-05,0
2017-11-06,19
2017-11-07,0
2017-11-08,0
2017-11-09,39
2017-11-10,20
2017-11-11,22
2017-11-12,0
2017-11-13,19
2017-11-14,19
2017-11-15,19
2017-11-16,38
2017-11-17,60
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,19
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,38
2017-11-28,37
2017-11-29,19
2017-11-30,20
2017-12-01,20
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,19
2017-12-08,40
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,19
2017-12-13,0
2017-12-14,39
2017-12-15,41
2017-12-16,0
2017-12-17,0
2017-12-18,39
2017-12-19,0
2017-12-20,20
2017-12-21,0
2017-12-22,22
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,21
2017-12-27,42
2017-12-28,42
2017-12-29,21
2017-12-30,23
2017-12-31,0
2018-01-01,0
2018-01-02,40
2018-01-03,0
2018-01-04,39
2018-01-05,40
2018-01-06,0
2018-01-07,22
2018-01-08,0
2018-01-09,19
2018-01-10,37
2018-01-11,0
2018-01-12,20
2018-01-13,22
2018-01-14,0
2018-01-15,0
2018-01-16,19
2018-01-17,18
2018-01-18,56
2018-01-19,19
2018-01-20,21
2018-01-21,0
2018-01-22,18
2018-01-23,18
2018-01-24,0
2018-01-25,0
2018-01-26,39
2018-01-27,0
2018-01-28,21
2018-01-29,18
2018-01-30,18
2018-01-31,37
2018-02-01,56
2018-02-02,38
2018-02-03,0
2018-02-04,0
2018-02-05,18
2018-02-06,55
2018-02-07,37
2018-02-08,19
2018-02-09,19
2018-02-10,21
2018-02-11,0
2018-02-12,0
2018-02-13,0
