date,KLAC stock
2018-02-13,0
2018-02-14,32
2018-02-15,65
2018-02-16,67
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,32
2018-02-21,63
2018-02-22,64
2018-02-23,33
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,31
2018-02-28,31
2018-03-01,31
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,31
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,33
2018-03-10,0
2018-03-11,36
2018-03-12,31
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,98
2018-03-17,0
2018-03-18,0
2018-03-19,31
2018-03-20,94
2018-03-21,62
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,32
2018-03-27,0
2018-03-28,33
2018-03-29,34
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,34
2018-04-03,32
2018-04-04,32
2018-04-05,97
2018-04-06,100
2018-04-07,37
2018-04-08,0
2018-04-09,63
