date,Amgen,isPartial
2017-01-19,26,False
2017-01-20,31,False
2017-01-21,14,False
2017-01-22,15,False
2017-01-23,32,False
2017-01-24,37,False
2017-01-25,42,False
2017-01-26,33,False
2017-01-27,37,False
2017-01-28,17,False
2017-01-29,11,False
2017-01-30,36,False
2017-01-31,41,False
2017-02-01,45,False
2017-02-02,57,False
2017-02-03,53,False
2017-02-04,15,False
2017-02-05,16,False
2017-02-06,33,False
2017-02-07,35,False
2017-02-08,32,False
2017-02-09,38,False
2017-02-10,28,False
2017-02-11,11,False
2017-02-12,17,False
2017-02-13,36,False
2017-02-14,35,False
2017-02-15,23,False
2017-02-16,36,False
2017-02-17,33,False
2017-02-18,16,False
2017-02-19,18,False
2017-02-20,29,False
2017-02-21,32,False
2017-02-22,32,False
2017-02-23,40,False
2017-02-24,35,False
2017-02-25,22,False
2017-02-26,13,False
2017-02-27,35,False
2017-02-28,32,False
2017-03-01,37,False
2017-03-02,32,False
2017-03-03,30,False
2017-03-04,16,False
2017-03-05,11,False
2017-03-06,36,False
2017-03-07,42,False
2017-03-08,40,False
2017-03-09,29,False
2017-03-10,36,False
2017-03-11,15,False
2017-03-12,11,False
2017-03-13,37,False
2017-03-14,22,False
2017-03-15,37,False
2017-03-16,43,False
2017-03-17,72,False
2017-03-18,24,False
2017-03-19,23,False
2017-03-20,37,False
2017-03-21,39,False
2017-03-22,46,False
2017-03-23,52,False
2017-03-24,35,False
2017-03-25,18,False
2017-03-26,23,False
2017-03-27,31,False
2017-03-28,42,False
2017-03-29,35,False
2017-03-30,30,False
2017-03-31,27,False
2017-04-01,18,False
2017-04-02,11,False
2017-04-03,29,False
2017-04-04,31,False
2017-04-05,38,False
2017-04-06,39,False
2017-04-07,28,False
2017-04-08,14,False
2017-04-09,11,False
2017-04-10,25,False
2017-04-11,29,False
2017-04-12,27,False
2017-04-13,32,False
2017-04-14,25,False
2017-04-15,10,False
2017-04-16,11,False
2017-04-17,21,False
2017-04-18,29,False
2017-04-19,36,False
2017-04-20,35,False
2017-04-21,29,False
2017-04-22,22,False
2017-04-23,12,False
2017-04-24,31,False
2017-04-25,34,False
2017-04-26,44,False
2017-04-27,44,False
2017-04-28,28,False
2017-04-29,11,False
2017-04-30,11,False
2017-05-01,28,False
2017-05-02,35,False
2017-05-03,28,False
2017-05-04,35,False
2017-05-05,33,False
2017-05-06,17,False
2017-05-07,16,False
2017-05-08,45,False
2017-05-09,36,False
2017-05-10,36,False
2017-05-11,51,False
2017-05-12,51,False
2017-05-13,49,False
2017-05-14,67,False
2017-05-15,89,False
2017-05-16,100,False
2017-05-17,80,False
2017-05-18,75,False
2017-05-19,72,False
2017-05-20,90,False
2017-05-21,30,False
2017-05-22,48,False
2017-05-23,37,False
2017-05-24,35,False
2017-05-25,30,False
2017-05-26,24,False
2017-05-27,9,False
2017-05-28,13,False
2017-05-29,16,False
2017-05-30,30,False
2017-05-31,27,False
2017-06-01,31,False
2017-06-02,32,False
2017-06-03,17,False
2017-06-04,12,False
2017-06-05,27,False
2017-06-06,24,False
2017-06-07,33,False
2017-06-08,30,False
2017-06-09,27,False
2017-06-10,15,False
2017-06-11,10,False
2017-06-12,37,False
2017-06-13,30,False
2017-06-14,34,False
2017-06-15,28,False
2017-06-16,32,False
2017-06-17,9,False
2017-06-18,10,False
2017-06-19,25,False
2017-06-20,24,False
2017-06-21,46,False
2017-06-22,37,False
2017-06-23,35,False
2017-06-24,13,False
2017-06-25,11,False
2017-06-26,26,False
2017-06-27,27,False
2017-06-28,30,False
2017-06-29,29,False
2017-06-30,25,False
2017-07-01,8,False
2017-07-02,15,False
2017-07-03,21,False
2017-07-04,28,False
2017-07-05,25,False
2017-07-06,28,False
2017-07-07,25,False
2017-07-08,17,False
2017-07-09,11,False
2017-07-10,29,False
2017-07-11,34,False
2017-07-12,32,False
2017-07-13,31,False
2017-07-14,27,False
2017-07-15,14,False
2017-07-16,10,False
2017-07-17,27,False
2017-07-18,33,False
2017-07-19,42,False
2017-07-20,38,False
2017-07-21,27,False
2017-07-22,16,False
2017-07-23,13,False
2017-07-24,33,False
2017-07-25,48,False
2017-07-26,46,False
2017-07-27,29,False
2017-07-28,38,False
2017-07-29,21,False
2017-07-30,10,False
2017-07-31,23,False
2017-08-01,23,False
2017-08-02,31,False
2017-08-03,25,False
2017-08-04,28,False
2017-08-05,12,False
2017-08-06,9,False
2017-08-07,24,False
2017-08-08,35,False
2017-08-09,32,False
2017-08-10,21,False
2017-08-11,27,False
2017-08-12,12,False
2017-08-13,7,False
2017-08-14,28,False
2017-08-15,23,False
2017-08-16,30,False
2017-08-17,20,False
2017-08-18,31,False
2017-08-19,13,False
2017-08-20,11,False
2017-08-21,32,False
2017-08-22,29,False
2017-08-23,39,False
2017-08-24,22,False
2017-08-25,30,False
2017-08-26,10,False
2017-08-27,9,False
2017-08-28,31,False
2017-08-29,33,False
2017-08-30,32,False
2017-08-31,25,False
2017-09-01,25,False
2017-09-02,13,False
2017-09-03,14,False
2017-09-04,15,False
2017-09-05,25,False
2017-09-06,28,False
2017-09-07,32,False
2017-09-08,27,False
2017-09-09,7,False
2017-09-10,11,False
2017-09-11,39,False
2017-09-12,34,False
2017-09-13,34,False
2017-09-14,39,False
2017-09-15,34,False
2017-09-16,12,False
2017-09-17,13,False
2017-09-18,29,False
2017-09-19,34,False
2017-09-20,30,False
2017-09-21,29,False
2017-09-22,34,False
2017-09-23,17,False
2017-09-24,13,False
2017-09-25,36,False
2017-09-26,35,False
2017-09-27,36,False
2017-09-28,36,False
2017-09-29,36,False
2017-09-30,17,False
2017-10-01,12,False
2017-10-02,28,False
2017-10-03,25,False
2017-10-04,43,False
2017-10-05,44,False
2017-10-06,26,False
