date,XRAY stock
2016-09-11,0
2016-09-12,50
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,31
2016-09-21,32
2016-09-22,0
2016-09-23,34
2016-09-24,0
2016-09-25,0
2016-09-26,32
2016-09-27,32
2016-09-28,32
2016-09-29,0
2016-09-30,34
2016-10-01,37
2016-10-02,0
2016-10-03,31
2016-10-04,0
2016-10-05,31
2016-10-06,48
2016-10-07,0
2016-10-08,0
2016-10-09,36
2016-10-10,32
2016-10-11,32
2016-10-12,0
2016-10-13,0
2016-10-14,67
2016-10-15,55
2016-10-16,0
2016-10-17,31
2016-10-18,0
2016-10-19,0
2016-10-20,47
2016-10-21,33
2016-10-22,37
2016-10-23,0
2016-10-24,31
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,66
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,33
2016-11-02,32
2016-11-03,0
2016-11-04,33
2016-11-05,73
2016-11-06,0
2016-11-07,92
2016-11-08,31
2016-11-09,28
2016-11-10,64
2016-11-11,33
2016-11-12,37
2016-11-13,36
2016-11-14,0
2016-11-15,31
2016-11-16,0
2016-11-17,63
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,31
2016-11-22,31
2016-11-23,63
2016-11-24,0
2016-11-25,0
2016-11-26,35
2016-11-27,0
2016-11-28,29
2016-11-29,0
2016-11-30,30
2016-12-01,31
2016-12-02,32
2016-12-03,0
2016-12-04,33
2016-12-05,0
2016-12-06,73
2016-12-07,30
2016-12-08,0
2016-12-09,63
2016-12-10,0
2016-12-11,0
2016-12-12,89
2016-12-13,30
2016-12-14,30
2016-12-15,0
2016-12-16,32
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,32
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,34
2016-12-27,64
2016-12-28,32
2016-12-29,33
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,32
2017-01-03,31
2017-01-04,31
2017-01-05,0
2017-01-06,32
2017-01-07,0
2017-01-08,0
2017-01-09,30
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,31
2017-01-14,0
2017-01-15,100
2017-01-16,0
2017-01-17,29
2017-01-18,29
2017-01-19,44
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,29
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,31
2017-01-28,34
2017-01-29,33
2017-01-30,58
2017-01-31,29
2017-02-01,28
2017-02-02,0
2017-02-03,60
2017-02-04,33
2017-02-05,33
2017-02-06,0
2017-02-07,29
2017-02-08,0
2017-02-09,44
2017-02-10,91
2017-02-11,0
2017-02-12,33
2017-02-13,43
2017-02-14,0
2017-02-15,0
2017-02-16,29
2017-02-17,29
2017-02-18,33
2017-02-19,33
2017-02-20,0
2017-02-21,0
2017-02-22,43
2017-02-23,29
2017-02-24,30
2017-02-25,33
2017-02-26,32
2017-02-27,28
2017-02-28,29
2017-03-01,42
2017-03-02,28
2017-03-03,0
2017-03-04,33
2017-03-05,0
2017-03-06,27
2017-03-07,54
2017-03-08,57
2017-03-09,0
2017-03-10,0
2017-03-11,32
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,29
2017-03-16,29
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,57
2017-03-21,57
2017-03-22,43
2017-03-23,0
2017-03-24,45
2017-03-25,34
2017-03-26,0
2017-03-27,29
2017-03-28,29
2017-03-29,58
2017-03-30,0
2017-03-31,30
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,57
2017-04-06,0
2017-04-07,30
2017-04-08,0
2017-04-09,34
2017-04-10,0
2017-04-11,29
2017-04-12,29
2017-04-13,31
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,29
2017-04-21,30
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,29
2017-04-28,30
2017-04-29,0
2017-04-30,34
2017-05-01,62
2017-05-02,29
2017-05-03,29
2017-05-04,58
2017-05-05,30
2017-05-06,34
2017-05-07,33
2017-05-08,0
2017-05-09,57
2017-05-10,29
2017-05-11,44
2017-05-12,61
2017-05-13,34
2017-05-14,0
2017-05-15,0
2017-05-16,31
2017-05-17,31
2017-05-18,0
2017-05-19,32
2017-05-20,0
2017-05-21,0
2017-05-22,31
2017-05-23,0
2017-05-24,32
2017-05-25,95
2017-05-26,0
2017-05-27,0
2017-05-28,38
2017-05-29,0
