date,XRAY stock
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,36
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,32
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,31
2016-01-13,31
2016-01-14,31
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,31
2016-01-20,31
2016-01-21,0
2016-01-22,0
2016-01-23,35
2016-01-24,0
2016-01-25,0
2016-01-26,31
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,35
2016-02-01,31
2016-02-02,0
2016-02-03,31
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,31
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,35
2016-02-21,0
2016-02-22,0
2016-02-23,31
2016-02-24,0
2016-02-25,63
2016-02-26,65
2016-02-27,0
2016-02-28,0
2016-02-29,30
2016-03-01,30
2016-03-02,0
2016-03-03,61
2016-03-04,32
2016-03-05,35
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,31
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,91
2016-03-16,0
2016-03-17,0
2016-03-18,33
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,32
2016-03-24,0
2016-03-25,0
2016-03-26,37
2016-03-27,0
2016-03-28,32
2016-03-29,31
2016-03-30,31
2016-03-31,0
2016-04-01,65
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,31
2016-04-07,31
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,31
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,31
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,30
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,73
2016-05-08,0
2016-05-09,0
2016-05-10,31
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-14,36
2016-05-15,0
2016-05-16,0
2016-05-17,31
2016-05-18,30
2016-05-19,0
2016-05-20,32
2016-05-21,0
2016-05-22,0
2016-05-23,62
2016-05-24,93
2016-05-25,0
2016-05-26,33
2016-05-27,0
2016-05-28,0
2016-05-29,36
2016-05-30,0
2016-05-31,62
2016-06-01,0
2016-06-02,0
2016-06-03,33
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,31
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,63
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,31
2016-06-28,31
2016-06-29,97
2016-06-30,32
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,67
2016-07-06,0
2016-07-07,0
2016-07-08,35
2016-07-09,39
2016-07-10,0
2016-07-11,0
2016-07-12,33
2016-07-13,0
2016-07-14,64
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,100
2016-07-19,67
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,33
2016-07-26,0
2016-07-27,66
2016-07-28,34
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,34
2016-08-10,0
2016-08-11,35
2016-08-12,0
2016-08-13,0
2016-08-14,40
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,34
2016-08-24,0
2016-08-25,33
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,33
2016-09-09,0
2016-09-10,0
2016-09-11,0
