date,XRAY stock
2018-02-13,0
2018-02-14,64
2018-02-15,32
2018-02-16,0
2018-02-17,0
2018-02-18,36
2018-02-19,64
2018-02-20,62
2018-02-21,31
2018-02-22,31
2018-02-23,49
2018-02-24,72
2018-02-25,35
2018-02-26,61
2018-02-27,31
2018-02-28,31
2018-03-01,61
2018-03-02,97
2018-03-03,0
2018-03-04,35
2018-03-05,61
2018-03-06,31
2018-03-07,31
2018-03-08,31
2018-03-09,49
2018-03-10,36
2018-03-11,0
2018-03-12,31
2018-03-13,62
2018-03-14,31
2018-03-15,0
2018-03-16,48
2018-03-17,0
2018-03-18,35
2018-03-19,0
2018-03-20,46
2018-03-21,31
2018-03-22,31
2018-03-23,32
2018-03-24,36
2018-03-25,0
2018-03-26,94
2018-03-27,0
2018-03-28,32
2018-03-29,100
2018-03-30,36
2018-03-31,0
2018-04-01,0
2018-04-02,66
2018-04-03,31
2018-04-04,0
2018-04-05,32
2018-04-06,0
2018-04-07,36
2018-04-08,36
2018-04-09,31
