date,XRAY stock
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,31
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,31
2017-06-12,0
2017-06-13,52
2017-06-14,27
2017-06-15,27
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,32
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,28
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,29
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,27
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,27
2017-07-27,54
2017-07-28,83
2017-07-29,0
2017-07-30,0
2017-07-31,27
2017-08-01,26
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,31
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,78
2017-08-10,27
2017-08-11,27
2017-08-12,0
2017-08-13,0
2017-08-14,54
2017-08-15,27
2017-08-16,79
2017-08-17,26
2017-08-18,27
2017-08-19,0
2017-08-20,30
2017-08-21,26
2017-08-22,52
2017-08-23,0
2017-08-24,27
2017-08-25,0
2017-08-26,31
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,28
2017-09-02,0
2017-09-03,0
2017-09-04,27
2017-09-05,0
2017-09-06,0
2017-09-07,79
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,0
2017-09-13,25
2017-09-14,52
2017-09-15,0
2017-09-16,0
2017-09-17,29
2017-09-18,0
2017-09-19,0
2017-09-20,26
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,25
2017-09-26,25
2017-09-27,51
2017-09-28,26
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,51
2017-10-03,0
2017-10-04,25
2017-10-05,0
2017-10-06,27
2017-10-07,0
2017-10-08,29
2017-10-09,25
2017-10-10,25
2017-10-11,0
2017-10-12,52
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,51
2017-10-19,52
2017-10-20,27
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,25
2017-10-26,26
2017-10-27,26
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,26
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,73
2017-11-08,0
2017-11-09,0
2017-11-10,26
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,26
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,25
2017-11-23,0
2017-11-24,26
2017-11-25,0
2017-11-26,0
2017-11-27,24
2017-11-28,72
2017-11-29,0
2017-11-30,0
2017-12-01,77
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,25
2017-12-07,25
2017-12-08,0
2017-12-09,0
2017-12-10,28
2017-12-11,24
2017-12-12,0
2017-12-13,24
2017-12-14,50
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,26
2017-12-20,26
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,27
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,31
2018-01-02,26
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,24
2018-01-10,24
2018-01-11,0
2018-01-12,25
2018-01-13,0
2018-01-14,27
2018-01-15,0
2018-01-16,0
2018-01-17,48
2018-01-18,24
2018-01-19,25
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,47
2018-01-25,24
2018-01-26,100
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,24
2018-01-31,24
2018-02-01,24
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,48
2018-02-07,48
2018-02-08,0
2018-02-09,0
2018-02-10,28
2018-02-11,0
2018-02-12,49
2018-02-13,0
