date,AMZN stock
2011-05-11,8
2011-05-12,30
2011-05-13,0
2011-05-14,10
2011-05-15,0
2011-05-16,14
2011-05-17,15
2011-05-18,0
2011-05-19,15
2011-05-20,8
2011-05-21,10
2011-05-22,0
2011-05-23,0
2011-05-24,22
2011-05-25,15
2011-05-26,15
2011-05-27,0
2011-05-28,10
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,19
2011-06-06,0
2011-06-07,7
2011-06-08,8
2011-06-09,7
2011-06-10,16
2011-06-11,10
2011-06-12,0
2011-06-13,8
2011-06-14,0
2011-06-15,15
2011-06-16,15
2011-06-17,8
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,15
2011-06-22,0
2011-06-23,0
2011-06-24,16
2011-06-25,0
2011-06-26,0
2011-06-27,22
2011-06-28,0
2011-06-29,15
2011-06-30,8
2011-07-01,8
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,15
2011-07-08,24
2011-07-09,0
2011-07-10,0
2011-07-11,15
2011-07-12,7
2011-07-13,0
2011-07-14,23
2011-07-15,16
2011-07-16,0
2011-07-17,0
2011-07-18,8
2011-07-19,0
2011-07-20,8
2011-07-21,0
2011-07-22,16
2011-07-23,0
2011-07-24,0
2011-07-25,7
2011-07-26,37
2011-07-27,23
2011-07-28,0
2011-07-29,8
2011-07-30,10
2011-07-31,0
2011-08-01,8
2011-08-02,15
2011-08-03,8
2011-08-04,15
2011-08-05,16
2011-08-06,19
2011-08-07,9
2011-08-08,51
2011-08-09,51
2011-08-10,7
2011-08-11,22
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,8
2011-08-16,7
2011-08-17,7
2011-08-18,15
2011-08-19,39
2011-08-20,19
2011-08-21,9
2011-08-22,7
2011-08-23,35
2011-08-24,22
2011-08-25,7
2011-08-26,8
2011-08-27,18
2011-08-28,0
2011-08-29,7
2011-08-30,7
2011-08-31,7
2011-09-01,7
2011-09-02,15
2011-09-03,9
2011-09-04,9
2011-09-05,0
2011-09-06,14
2011-09-07,21
2011-09-08,0
2011-09-09,29
2011-09-10,9
2011-09-11,8
2011-09-12,14
2011-09-13,20
2011-09-14,14
2011-09-15,7
2011-09-16,7
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,14
2011-09-21,20
2011-09-22,28
2011-09-23,22
2011-09-24,0
2011-09-25,8
2011-09-26,20
2011-09-27,13
2011-09-28,62
2011-09-29,21
2011-09-30,22
2011-10-01,0
2011-10-02,8
2011-10-03,14
2011-10-04,7
2011-10-05,0
2011-10-06,7
2011-10-07,21
2011-10-08,8
2011-10-09,0
2011-10-10,13
2011-10-11,19
2011-10-12,19
2011-10-13,20
2011-10-14,21
2011-10-15,8
2011-10-16,0
2011-10-17,26
2011-10-18,20
2011-10-19,26
2011-10-20,7
2011-10-21,35
2011-10-22,8
2011-10-23,8
2011-10-24,26
2011-10-25,7
2011-10-26,100
2011-10-27,47
2011-10-28,35
2011-10-29,16
2011-10-30,0
2011-10-31,69
2011-11-01,14
2011-11-02,40
2011-11-03,20
2011-11-04,14
2011-11-05,16
2011-11-06,0
2011-11-07,7
2011-11-08,33
2011-11-09,26
2011-11-10,7
2011-11-11,7
2011-11-12,16
2011-11-13,8
2011-11-14,20
2011-11-15,32
2011-11-16,0
2011-11-17,33
2011-11-18,21
2011-11-19,16
2011-11-20,0
2011-11-21,6
2011-11-22,39
2011-11-23,13
2011-11-24,7
2011-11-25,0
2011-11-26,8
2011-11-27,8
2011-11-28,19
2011-11-29,45
2011-11-30,13
2011-12-01,13
2011-12-02,21
2011-12-03,8
2011-12-04,0
2011-12-05,19
2011-12-06,13
2011-12-07,32
2011-12-08,7
2011-12-09,14
2011-12-10,8
2011-12-11,0
2011-12-12,13
2011-12-13,13
2011-12-14,0
2011-12-15,20
2011-12-16,14
2011-12-17,16
2011-12-18,0
2011-12-19,19
2011-12-20,13
2011-12-21,41
2011-12-22,7
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,8
2011-12-27,14
2011-12-28,14
2011-12-29,14
2011-12-30,29
2011-12-31,0
2012-01-01,0
2012-01-02,14
2012-01-03,26
2012-01-04,0
2012-01-05,20
2012-01-06,13
2012-01-07,8
2012-01-08,7
2012-01-09,12
2012-01-10,18
2012-01-11,31
2012-01-12,13
2012-01-13,13
2012-01-14,0
2012-01-15,15
2012-01-16,6
2012-01-17,6
2012-01-18,12
2012-01-19,12
2012-01-20,25
2012-01-21,0
2012-01-22,0
2012-01-23,6
2012-01-24,18
2012-01-25,30
2012-01-26,19
