date,AMZN stock
2015-12-26,5
2015-12-27,1
2015-12-28,13
2015-12-29,25
2015-12-30,19
2015-12-31,13
2016-01-01,5
2016-01-02,3
2016-01-03,4
2016-01-04,31
2016-01-05,35
2016-01-06,26
2016-01-07,39
2016-01-08,26
2016-01-09,11
2016-01-10,3
2016-01-11,28
2016-01-12,17
2016-01-13,29
2016-01-14,24
2016-01-15,37
2016-01-16,5
2016-01-17,5
2016-01-18,5
2016-01-19,17
2016-01-20,22
2016-01-21,27
2016-01-22,27
2016-01-23,3
2016-01-24,3
2016-01-25,23
2016-01-26,21
2016-01-27,30
2016-01-28,84
2016-01-29,95
2016-01-30,22
2016-01-31,3
2016-02-01,34
2016-02-02,36
2016-02-03,30
2016-02-04,27
2016-02-05,44
2016-02-06,9
2016-02-07,8
2016-02-08,36
2016-02-09,28
2016-02-10,33
2016-02-11,37
2016-02-12,31
2016-02-13,7
2016-02-14,3
2016-02-15,6
2016-02-16,16
2016-02-17,22
2016-02-18,21
2016-02-19,19
2016-02-20,3
2016-02-21,3
2016-02-22,23
2016-02-23,28
2016-02-24,25
2016-02-25,21
2016-02-26,25
2016-02-27,3
2016-02-28,2
2016-02-29,24
2016-03-01,27
2016-03-02,23
2016-03-03,17
2016-03-04,23
2016-03-05,4
2016-03-06,3
2016-03-07,14
2016-03-08,14
2016-03-09,11
2016-03-10,16
2016-03-11,16
2016-03-12,5
2016-03-13,5
2016-03-14,14
2016-03-15,13
2016-03-16,17
2016-03-17,20
2016-03-18,21
2016-03-19,5
2016-03-20,4
2016-03-21,18
2016-03-22,26
2016-03-23,24
2016-03-24,16
2016-03-25,8
2016-03-26,6
2016-03-27,1
2016-03-28,16
2016-03-29,24
2016-03-30,17
2016-03-31,22
2016-04-01,18
2016-04-02,9
2016-04-03,2
2016-04-04,14
2016-04-05,14
2016-04-06,20
2016-04-07,13
2016-04-08,19
2016-04-09,1
2016-04-10,5
2016-04-11,14
2016-04-12,11
2016-04-13,20
2016-04-14,24
2016-04-15,16
2016-04-16,3
2016-04-17,5
2016-04-18,21
2016-04-19,17
2016-04-20,18
2016-04-21,24
2016-04-22,18
2016-04-23,3
2016-04-24,2
2016-04-25,12
2016-04-26,25
2016-04-27,25
2016-04-28,84
2016-04-29,76
2016-04-30,12
2016-05-01,7
2016-05-02,33
2016-05-03,30
2016-05-04,19
2016-05-05,36
2016-05-06,22
2016-05-07,9
2016-05-08,10
2016-05-09,25
2016-05-10,33
2016-05-11,42
2016-05-12,39
2016-05-13,33
2016-05-14,10
2016-05-15,6
2016-05-16,30
2016-05-17,25
2016-05-18,31
2016-05-19,23
2016-05-20,19
2016-05-21,5
2016-05-22,4
2016-05-23,18
2016-05-24,27
2016-05-25,21
2016-05-26,34
2016-05-27,20
2016-05-28,6
2016-05-29,6
2016-05-30,4
2016-05-31,21
2016-06-01,21
2016-06-02,24
2016-06-03,21
2016-06-04,7
2016-06-05,3
2016-06-06,18
2016-06-07,25
2016-06-08,17
2016-06-09,21
2016-06-10,12
2016-06-11,5
2016-06-12,2
2016-06-13,18
2016-06-14,20
2016-06-15,15
2016-06-16,17
2016-06-17,26
2016-06-18,5
2016-06-19,5
2016-06-20,22
2016-06-21,18
2016-06-22,21
2016-06-23,16
2016-06-24,58
2016-06-25,8
2016-06-26,5
2016-06-27,35
2016-06-28,28
2016-06-29,28
2016-06-30,20
2016-07-01,24
2016-07-02,4
2016-07-03,0
2016-07-04,3
2016-07-05,22
2016-07-06,28
2016-07-07,21
2016-07-08,27
2016-07-09,6
2016-07-10,6
2016-07-11,25
2016-07-12,39
2016-07-13,26
2016-07-14,35
2016-07-15,20
2016-07-16,7
2016-07-17,6
2016-07-18,22
2016-07-19,17
2016-07-20,29
2016-07-21,29
2016-07-22,17
2016-07-23,4
2016-07-24,0
2016-07-25,23
2016-07-26,26
2016-07-27,38
2016-07-28,100
2016-07-29,96
2016-07-30,15
2016-07-31,3
2016-08-01,30
2016-08-02,35
2016-08-03,26
2016-08-04,22
2016-08-05,27
2016-08-06,13
2016-08-07,2
2016-08-08,19
2016-08-09,16
2016-08-10,15
2016-08-11,24
2016-08-12,18
2016-08-13,5
2016-08-14,6
2016-08-15,18
2016-08-16,17
2016-08-17,15
2016-08-18,10
2016-08-19,13
2016-08-20,3
2016-08-21,2
2016-08-22,9
2016-08-23,24
2016-08-24,10
2016-08-25,9
2016-08-26,14
2016-08-27,6
2016-08-28,3
2016-08-29,17
2016-08-30,17
2016-08-31,9
2016-09-01,13
2016-09-02,20
2016-09-03,4
2016-09-04,2
2016-09-05,3
2016-09-06,26
2016-09-07,25
2016-09-08,27
2016-09-09,16
2016-09-10,3
2016-09-11,3
