date,AMZN stock
2013-02-19,9
2013-02-20,13
2013-02-21,21
2013-02-22,0
2013-02-23,5
2013-02-24,0
2013-02-25,17
2013-02-26,25
2013-02-27,17
2013-02-28,22
2013-03-01,18
2013-03-02,0
2013-03-03,10
2013-03-04,4
2013-03-05,9
2013-03-06,13
2013-03-07,13
2013-03-08,22
2013-03-09,5
2013-03-10,5
2013-03-11,13
2013-03-12,17
2013-03-13,8
2013-03-14,30
2013-03-15,26
2013-03-16,0
2013-03-17,0
2013-03-18,8
2013-03-19,13
2013-03-20,26
2013-03-21,21
2013-03-22,22
2013-03-23,5
2013-03-24,0
2013-03-25,13
2013-03-26,8
2013-03-27,9
2013-03-28,27
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,9
2013-04-02,13
2013-04-03,0
2013-04-04,8
2013-04-05,4
2013-04-06,5
2013-04-07,0
2013-04-08,8
2013-04-09,4
2013-04-10,8
2013-04-11,9
2013-04-12,9
2013-04-13,10
2013-04-14,10
2013-04-15,12
2013-04-16,25
2013-04-17,13
2013-04-18,9
2013-04-19,0
2013-04-20,10
2013-04-21,0
2013-04-22,8
2013-04-23,12
2013-04-24,29
2013-04-25,44
2013-04-26,79
2013-04-27,41
2013-04-28,10
2013-04-29,25
2013-04-30,34
2013-05-01,32
2013-05-02,39
2013-05-03,31
2013-05-04,10
2013-05-05,5
2013-05-06,26
2013-05-07,34
2013-05-08,30
2013-05-09,13
2013-05-10,22
2013-05-11,0
2013-05-12,0
2013-05-13,17
2013-05-14,33
2013-05-15,17
2013-05-16,17
2013-05-17,13
2013-05-18,0
2013-05-19,10
2013-05-20,17
2013-05-21,8
2013-05-22,12
2013-05-23,34
2013-05-24,13
2013-05-25,10
2013-05-26,5
2013-05-27,4
2013-05-28,8
2013-05-29,12
2013-05-30,13
2013-05-31,13
2013-06-01,10
2013-06-02,0
2013-06-03,20
2013-06-04,12
2013-06-05,17
2013-06-06,13
2013-06-07,26
2013-06-08,20
2013-06-09,10
2013-06-10,16
2013-06-11,20
2013-06-12,8
2013-06-13,8
2013-06-14,27
2013-06-15,5
2013-06-16,5
2013-06-17,8
2013-06-18,17
2013-06-19,8
2013-06-20,25
2013-06-21,31
2013-06-22,10
2013-06-23,5
2013-06-24,4
2013-06-25,13
2013-06-26,13
2013-06-27,30
2013-06-28,18
2013-06-29,5
2013-06-30,5
2013-07-01,17
2013-07-02,17
2013-07-03,17
2013-07-04,14
2013-07-05,5
2013-07-06,0
2013-07-07,5
2013-07-08,17
2013-07-09,17
2013-07-10,26
2013-07-11,26
2013-07-12,45
2013-07-13,21
2013-07-14,31
2013-07-15,21
2013-07-16,30
2013-07-17,17
2013-07-18,40
2013-07-19,27
2013-07-20,21
2013-07-21,11
2013-07-22,13
2013-07-23,13
2013-07-24,4
2013-07-25,48
2013-07-26,80
2013-07-27,26
2013-07-28,15
2013-07-29,17
2013-07-30,25
2013-07-31,38
2013-08-01,30
2013-08-02,14
2013-08-03,11
2013-08-04,10
2013-08-05,26
2013-08-06,26
2013-08-07,30
2013-08-08,13
2013-08-09,18
2013-08-10,11
2013-08-11,0
2013-08-12,21
2013-08-13,26
2013-08-14,9
2013-08-15,27
2013-08-16,23
2013-08-17,20
2013-08-18,10
2013-08-19,30
2013-08-20,25
2013-08-21,17
2013-08-22,13
2013-08-23,18
2013-08-24,15
2013-08-25,0
2013-08-26,8
2013-08-27,33
2013-08-28,8
2013-08-29,21
2013-08-30,4
2013-08-31,10
2013-09-01,5
2013-09-02,17
2013-09-03,20
2013-09-04,28
2013-09-05,17
2013-09-06,17
2013-09-07,10
2013-09-08,5
2013-09-09,28
2013-09-10,24
2013-09-11,32
2013-09-12,8
2013-09-13,0
2013-09-14,10
2013-09-15,0
2013-09-16,12
2013-09-17,20
2013-09-18,16
2013-09-19,28
2013-09-20,25
2013-09-21,5
2013-09-22,14
2013-09-23,16
2013-09-24,4
2013-09-25,20
2013-09-26,33
2013-09-27,17
2013-09-28,5
2013-09-29,5
2013-09-30,16
2013-10-01,12
2013-10-02,20
2013-10-03,12
2013-10-04,42
2013-10-05,14
2013-10-06,0
2013-10-07,24
2013-10-08,28
2013-10-09,16
2013-10-10,16
2013-10-11,29
2013-10-12,10
2013-10-13,10
2013-10-14,16
2013-10-15,24
2013-10-16,28
2013-10-17,40
2013-10-18,25
2013-10-19,9
2013-10-20,23
2013-10-21,23
2013-10-22,35
2013-10-23,36
2013-10-24,48
2013-10-25,100
2013-10-26,19
2013-10-27,14
2013-10-28,35
2013-10-29,39
2013-10-30,40
2013-10-31,37
2013-11-01,34
2013-11-02,9
2013-11-03,5
2013-11-04,35
2013-11-05,16
2013-11-06,19
