date,AMZN stock
2013-06-29,10
2013-06-30,0
2013-07-01,6
2013-07-02,10
2013-07-03,10
2013-07-04,6
2013-07-05,4
2013-07-06,8
2013-07-07,0
2013-07-08,4
2013-07-09,10
2013-07-10,14
2013-07-11,12
2013-07-12,28
2013-07-13,7
2013-07-14,5
2013-07-15,10
2013-07-16,10
2013-07-17,16
2013-07-18,10
2013-07-19,13
2013-07-20,5
2013-07-21,0
2013-07-22,10
2013-07-23,8
2013-07-24,12
2013-07-25,26
2013-07-26,33
2013-07-27,15
2013-07-28,5
2013-07-29,14
2013-07-30,16
2013-07-31,16
2013-08-01,14
2013-08-02,26
2013-08-03,0
2013-08-04,0
2013-08-05,6
2013-08-06,16
2013-08-07,10
2013-08-08,8
2013-08-09,15
2013-08-10,0
2013-08-11,7
2013-08-12,6
2013-08-13,10
2013-08-14,6
2013-08-15,8
2013-08-16,19
2013-08-17,2
2013-08-18,0
2013-08-19,8
2013-08-20,22
2013-08-21,6
2013-08-22,10
2013-08-23,15
2013-08-24,7
2013-08-25,5
2013-08-26,4
2013-08-27,11
2013-08-28,2
2013-08-29,12
2013-08-30,14
2013-08-31,0
2013-09-01,2
2013-09-02,2
2013-09-03,11
2013-09-04,10
2013-09-05,12
2013-09-06,10
2013-09-07,2
2013-09-08,2
2013-09-09,11
2013-09-10,11
2013-09-11,9
2013-09-12,11
2013-09-13,8
2013-09-14,11
2013-09-15,2
2013-09-16,4
2013-09-17,7
2013-09-18,19
2013-09-19,17
2013-09-20,6
2013-09-21,2
2013-09-22,0
2013-09-23,4
2013-09-24,9
2013-09-25,17
2013-09-26,15
2013-09-27,4
2013-09-28,2
2013-09-29,4
2013-09-30,7
2013-10-01,9
2013-10-02,4
2013-10-03,11
2013-10-04,12
2013-10-05,2
2013-10-06,2
2013-10-07,6
2013-10-08,18
2013-10-09,17
2013-10-10,11
2013-10-11,8
2013-10-12,5
2013-10-13,0
2013-10-14,12
2013-10-15,13
2013-10-16,7
2013-10-17,4
2013-10-18,16
2013-10-19,7
2013-10-20,9
2013-10-21,14
2013-10-22,16
2013-10-23,24
2013-10-24,52
2013-10-25,45
2013-10-26,15
2013-10-27,13
2013-10-28,13
2013-10-29,18
2013-10-30,20
2013-10-31,17
2013-11-01,16
2013-11-02,9
2013-11-03,2
2013-11-04,16
2013-11-05,9
2013-11-06,13
2013-11-07,15
2013-11-08,4
2013-11-09,9
2013-11-10,0
2013-11-11,9
2013-11-12,11
2013-11-13,7
2013-11-14,26
2013-11-15,13
2013-11-16,4
2013-11-17,4
2013-11-18,13
2013-11-19,23
2013-11-20,25
2013-11-21,18
2013-11-22,26
2013-11-23,2
2013-11-24,8
2013-11-25,18
2013-11-26,14
2013-11-27,16
2013-11-28,12
2013-11-29,12
2013-11-30,15
2013-12-01,2
2013-12-02,44
2013-12-03,28
2013-12-04,20
2013-12-05,18
2013-12-06,13
2013-12-07,11
2013-12-08,2
2013-12-09,15
2013-12-10,12
2013-12-11,22
2013-12-12,19
2013-12-13,29
2013-12-14,9
2013-12-15,4
2013-12-16,11
2013-12-17,22
2013-12-18,11
2013-12-19,15
2013-12-20,22
2013-12-21,14
2013-12-22,5
2013-12-23,18
2013-12-24,33
2013-12-25,7
2013-12-26,25
2013-12-27,16
2013-12-28,13
2013-12-29,4
2013-12-30,14
2013-12-31,18
2014-01-01,7
2014-01-02,13
2014-01-03,22
2014-01-04,8
2014-01-05,8
2014-01-06,21
2014-01-07,16
2014-01-08,14
2014-01-09,16
2014-01-10,18
2014-01-11,16
2014-01-12,4
2014-01-13,9
2014-01-14,14
2014-01-15,7
2014-01-16,12
2014-01-17,13
2014-01-18,6
2014-01-19,0
2014-01-20,3
2014-01-21,14
2014-01-22,21
2014-01-23,33
2014-01-24,16
2014-01-25,8
2014-01-26,4
2014-01-27,14
2014-01-28,29
2014-01-29,23
2014-01-30,65
2014-01-31,100
2014-02-01,41
2014-02-02,28
2014-02-03,45
2014-02-04,38
2014-02-05,28
2014-02-06,21
2014-02-07,37
2014-02-08,8
2014-02-09,4
2014-02-10,29
2014-02-11,24
2014-02-12,38
2014-02-13,21
2014-02-14,27
2014-02-15,2
2014-02-16,6
2014-02-17,7
2014-02-18,12
2014-02-19,24
2014-02-20,30
2014-02-21,25
2014-02-22,10
2014-02-23,10
2014-02-24,21
2014-02-25,22
2014-02-26,29
2014-02-27,10
2014-02-28,36
2014-03-01,10
2014-03-02,8
2014-03-03,26
2014-03-04,23
2014-03-05,36
2014-03-06,30
2014-03-07,27
2014-03-08,8
2014-03-09,8
2014-03-10,14
2014-03-11,17
2014-03-12,19
2014-03-13,31
2014-03-14,27
2014-03-15,10
2014-03-16,4
