date,AMZN stock
2011-01-01,0
2011-01-02,0
2011-01-03,41
2011-01-04,0
2011-01-05,20
2011-01-06,0
2011-01-07,82
2011-01-08,24
2011-01-09,24
2011-01-10,38
2011-01-11,38
2011-01-12,19
2011-01-13,19
2011-01-14,20
2011-01-15,0
2011-01-16,23
2011-01-17,38
2011-01-18,0
2011-01-19,19
2011-01-20,19
2011-01-21,59
2011-01-22,23
2011-01-23,0
2011-01-24,55
2011-01-25,19
2011-01-26,47
2011-01-27,47
2011-01-28,59
2011-01-29,0
2011-01-30,0
2011-01-31,44
2011-02-01,18
2011-02-02,27
2011-02-03,28
2011-02-04,29
2011-02-05,22
2011-02-06,22
2011-02-07,18
2011-02-08,27
2011-02-09,27
2011-02-10,37
2011-02-11,39
2011-02-12,0
2011-02-13,0
2011-02-14,18
2011-02-15,18
2011-02-16,27
2011-02-17,28
2011-02-18,58
2011-02-19,23
2011-02-20,0
2011-02-21,0
2011-02-22,72
2011-02-23,37
2011-02-24,18
2011-02-25,39
2011-02-26,0
2011-02-27,0
2011-02-28,36
2011-03-01,36
2011-03-02,36
2011-03-03,28
2011-03-04,19
2011-03-05,23
2011-03-06,23
2011-03-07,46
2011-03-08,75
2011-03-09,36
2011-03-10,27
2011-03-11,19
2011-03-12,23
2011-03-13,0
2011-03-14,38
2011-03-15,55
2011-03-16,36
2011-03-17,36
2011-03-18,19
2011-03-19,45
2011-03-20,0
2011-03-21,27
2011-03-22,54
2011-03-23,0
2011-03-24,28
2011-03-25,29
2011-03-26,22
2011-03-27,0
2011-03-28,35
2011-03-29,18
2011-03-30,18
2011-03-31,55
2011-04-01,48
2011-04-02,23
2011-04-03,23
2011-04-04,35
2011-04-05,72
2011-04-06,55
2011-04-07,0
2011-04-08,38
2011-04-09,0
2011-04-10,0
2011-04-11,18
2011-04-12,71
2011-04-13,18
2011-04-14,0
2011-04-15,19
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,56
2011-04-20,38
2011-04-21,30
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,30
2011-04-26,27
2011-04-27,72
2011-04-28,100
2011-04-29,29
2011-04-30,0
2011-05-01,45
2011-05-02,27
2011-05-03,27
2011-05-04,36
2011-05-05,56
2011-05-06,38
2011-05-07,23
2011-05-08,0
2011-05-09,45
2011-05-10,45
2011-05-11,27
2011-05-12,36
2011-05-13,0
2011-05-14,23
2011-05-15,0
2011-05-16,43
2011-05-17,45
2011-05-18,36
2011-05-19,37
2011-05-20,19
2011-05-21,0
2011-05-22,23
2011-05-23,53
2011-05-24,36
2011-05-25,36
2011-05-26,54
2011-05-27,19
2011-05-28,0
2011-05-29,23
2011-05-30,0
2011-05-31,18
2011-06-01,36
2011-06-02,19
2011-06-03,19
2011-06-04,0
2011-06-05,0
2011-06-06,35
2011-06-07,53
2011-06-08,36
2011-06-09,36
2011-06-10,19
2011-06-11,0
2011-06-12,0
2011-06-13,18
2011-06-14,0
2011-06-15,18
2011-06-16,18
2011-06-17,19
2011-06-18,0
2011-06-19,0
2011-06-20,17
2011-06-21,0
2011-06-22,18
2011-06-23,0
2011-06-24,19
2011-06-25,0
2011-06-26,0
2011-06-27,36
2011-06-28,0
2011-06-29,18
2011-06-30,37
2011-07-01,38
2011-07-02,0
2011-07-03,23
2011-07-04,19
2011-07-05,18
2011-07-06,0
2011-07-07,36
2011-07-08,19
2011-07-09,0
2011-07-10,23
2011-07-11,18
2011-07-12,36
2011-07-13,18
2011-07-14,37
2011-07-15,58
2011-07-16,0
2011-07-17,23
2011-07-18,18
2011-07-19,18
2011-07-20,46
2011-07-21,36
2011-07-22,29
2011-07-23,0
2011-07-24,0
2011-07-25,27
2011-07-26,45
2011-07-27,63
2011-07-28,72
2011-07-29,29
2011-07-30,46
2011-07-31,23
2011-08-01,37
2011-08-02,36
2011-08-03,27
2011-08-04,45
2011-08-05,38
2011-08-06,22
2011-08-07,67
2011-08-08,61
2011-08-09,87
2011-08-10,18
2011-08-11,72
2011-08-12,19
2011-08-13,46
2011-08-14,0
2011-08-15,46
2011-08-16,27
2011-08-17,36
2011-08-18,26
2011-08-19,46
2011-08-20,22
2011-08-21,22
2011-08-22,17
2011-08-23,34
2011-08-24,43
2011-08-25,26
2011-08-26,18
2011-08-27,22
2011-08-28,21
2011-08-29,17
2011-08-30,0
2011-08-31,35
2011-09-01,35
2011-09-02,62
2011-09-03,21
2011-09-04,21
2011-09-05,17
2011-09-06,33
2011-09-07,17
2011-09-08,17
2011-09-09,35
2011-09-10,21
2011-09-11,20
2011-09-12,41
2011-09-13,81
2011-09-14,16
2011-09-15,34
2011-09-16,18
2011-09-17,41
2011-09-18,20
