date,AMZN stock
2016-05-04,11
2016-05-05,32
2016-05-06,27
2016-05-07,7
2016-05-08,6
2016-05-09,26
2016-05-10,35
2016-05-11,41
2016-05-12,44
2016-05-13,31
2016-05-14,8
2016-05-15,7
2016-05-16,25
2016-05-17,21
2016-05-18,28
2016-05-19,22
2016-05-20,22
2016-05-21,6
2016-05-22,3
2016-05-23,18
2016-05-24,21
2016-05-25,22
2016-05-26,25
2016-05-27,22
2016-05-28,7
2016-05-29,8
2016-05-30,4
2016-05-31,19
2016-06-01,24
2016-06-02,20
2016-06-03,24
2016-06-04,6
2016-06-05,2
2016-06-06,18
2016-06-07,18
2016-06-08,19
2016-06-09,18
2016-06-10,18
2016-06-11,3
2016-06-12,1
2016-06-13,18
2016-06-14,18
2016-06-15,17
2016-06-16,15
2016-06-17,14
2016-06-18,3
2016-06-19,4
2016-06-20,21
2016-06-21,17
2016-06-22,15
2016-06-23,19
2016-06-24,48
2016-06-25,10
2016-06-26,6
2016-06-27,26
2016-06-28,31
2016-06-29,21
2016-06-30,21
2016-07-01,19
2016-07-02,4
2016-07-03,0
2016-07-04,5
2016-07-05,22
2016-07-06,27
2016-07-07,21
2016-07-08,27
2016-07-09,6
2016-07-10,5
2016-07-11,25
2016-07-12,32
2016-07-13,30
2016-07-14,29
2016-07-15,27
2016-07-16,8
2016-07-17,4
2016-07-18,19
2016-07-19,14
2016-07-20,26
2016-07-21,26
2016-07-22,24
2016-07-23,3
2016-07-24,3
2016-07-25,21
2016-07-26,27
2016-07-27,19
2016-07-28,100
2016-07-29,85
2016-07-30,13
2016-07-31,3
2016-08-01,26
2016-08-02,27
2016-08-03,19
2016-08-04,20
2016-08-05,26
2016-08-06,9
2016-08-07,2
2016-08-08,22
2016-08-09,18
2016-08-10,17
2016-08-11,24
2016-08-12,17
2016-08-13,8
2016-08-14,6
2016-08-15,18
2016-08-16,19
2016-08-17,18
2016-08-18,11
2016-08-19,11
2016-08-20,3
2016-08-21,4
2016-08-22,12
2016-08-23,14
2016-08-24,7
2016-08-25,8
2016-08-26,13
2016-08-27,2
2016-08-28,2
2016-08-29,15
2016-08-30,15
2016-08-31,13
2016-09-01,12
2016-09-02,16
2016-09-03,1
2016-09-04,0
2016-09-05,2
2016-09-06,20
2016-09-07,29
2016-09-08,21
2016-09-09,19
2016-09-10,5
2016-09-11,3
2016-09-12,23
2016-09-13,20
2016-09-14,13
2016-09-15,15
2016-09-16,16
2016-09-17,4
2016-09-18,2
2016-09-19,14
2016-09-20,15
2016-09-21,24
2016-09-22,25
2016-09-23,22
2016-09-24,6
2016-09-25,2
2016-09-26,18
2016-09-27,23
2016-09-28,27
2016-09-29,26
2016-09-30,30
2016-10-01,4
2016-10-02,5
2016-10-03,29
2016-10-04,22
2016-10-05,23
2016-10-06,21
2016-10-07,25
2016-10-08,5
2016-10-09,5
2016-10-10,20
2016-10-11,23
2016-10-12,23
2016-10-13,20
2016-10-14,25
2016-10-15,10
2016-10-16,1
2016-10-17,28
2016-10-18,31
2016-10-19,20
2016-10-20,19
2016-10-21,19
2016-10-22,5
2016-10-23,4
2016-10-24,28
2016-10-25,33
2016-10-26,34
2016-10-27,69
2016-10-28,81
2016-10-29,14
2016-10-30,7
2016-10-31,41
2016-11-01,28
2016-11-02,41
2016-11-03,33
2016-11-04,23
2016-11-05,8
2016-11-06,5
2016-11-07,30
2016-11-08,34
2016-11-09,82
2016-11-10,62
2016-11-11,60
2016-11-12,21
2016-11-13,9
2016-11-14,36
2016-11-15,48
2016-11-16,36
2016-11-17,38
2016-11-18,45
2016-11-19,11
2016-11-20,6
2016-11-21,36
2016-11-22,40
2016-11-23,34
2016-11-24,12
2016-11-25,18
2016-11-26,12
2016-11-27,5
2016-11-28,40
2016-11-29,35
2016-11-30,25
2016-12-01,38
2016-12-02,35
2016-12-03,6
2016-12-04,2
2016-12-05,32
2016-12-06,36
2016-12-07,34
2016-12-08,32
2016-12-09,31
2016-12-10,6
2016-12-11,4
2016-12-12,22
2016-12-13,32
2016-12-14,28
2016-12-15,31
2016-12-16,21
2016-12-17,7
2016-12-18,9
2016-12-19,22
2016-12-20,28
2016-12-21,26
2016-12-22,23
2016-12-23,26
2016-12-24,4
2016-12-25,4
2016-12-26,9
2016-12-27,18
2016-12-28,25
2016-12-29,27
2016-12-30,20
2016-12-31,7
2017-01-01,4
2017-01-02,8
2017-01-03,36
2017-01-04,35
2017-01-05,27
2017-01-06,39
2017-01-07,15
2017-01-08,7
2017-01-09,27
2017-01-10,29
2017-01-11,30
2017-01-12,32
2017-01-13,50
2017-01-14,8
2017-01-15,8
2017-01-16,7
2017-01-17,36
2017-01-18,36
2017-01-19,30
