date,Booking Holdings,isPartial
2018-01-21,0,False
2018-01-22,13,False
2018-01-23,6,False
2018-01-24,0,False
2018-01-25,0,False
2018-01-26,0,False
2018-01-27,0,False
2018-01-28,0,False
2018-01-29,0,False
2018-01-30,0,False
2018-01-31,7,False
2018-02-01,0,False
2018-02-02,0,False
2018-02-03,0,False
2018-02-04,0,False
2018-02-05,0,False
2018-02-06,0,False
2018-02-07,6,False
2018-02-08,7,False
2018-02-09,7,False
2018-02-10,0,False
2018-02-11,0,False
2018-02-12,0,False
2018-02-13,7,False
2018-02-14,0,False
2018-02-15,7,False
2018-02-16,0,False
2018-02-17,0,False
2018-02-18,0,False
2018-02-19,0,False
2018-02-20,7,False
2018-02-21,26,False
2018-02-22,36,False
2018-02-23,17,False
2018-02-24,7,False
2018-02-25,7,False
2018-02-26,19,False
2018-02-27,87,False
2018-02-28,100,False
2018-03-01,38,False
2018-03-02,24,False
2018-03-03,15,False
2018-03-04,0,False
2018-03-05,32,False
2018-03-06,35,False
2018-03-07,16,False
2018-03-08,46,False
2018-03-09,20,False
2018-03-10,7,False
2018-03-11,7,False
2018-03-12,26,False
2018-03-13,39,False
2018-03-14,13,False
2018-03-15,13,False
2018-03-16,10,False
2018-03-17,15,False
2018-03-18,0,False
2018-03-19,23,False
2018-03-20,23,False
2018-03-21,19,False
2018-03-22,7,False
2018-03-23,24,False
2018-03-24,8,False
2018-03-25,15,False
2018-03-26,26,False
2018-03-27,26,False
2018-03-28,10,False
2018-03-29,28,False
2018-03-30,7,False
2018-03-31,8,False
2018-04-01,8,False
2018-04-02,24,False
2018-04-03,13,False
2018-04-04,20,False
2018-04-05,13,False
2018-04-06,17,False
2018-04-07,15,False
2018-04-08,7,False
2018-04-09,7,False
2018-04-10,23,False
2018-04-11,26,False
2018-04-12,23,False
2018-04-13,10,False
2018-04-14,8,False
2018-04-15,15,False
2018-04-16,16,False
2018-04-17,19,False
2018-04-18,26,False
2018-04-19,33,False
2018-04-20,17,False
2018-04-21,15,False
2018-04-22,11,False
2018-04-23,26,False
2018-04-24,19,False
2018-04-25,42,False
2018-04-26,36,False
2018-04-27,21,False
2018-04-28,16,False
2018-04-29,8,False
2018-04-30,27,False
2018-05-01,14,False
2018-05-02,26,False
2018-05-03,23,False
2018-05-04,14,False
2018-05-05,8,False
2018-05-06,11,False
2018-05-07,20,False
2018-05-08,23,False
2018-05-09,39,False
2018-05-10,57,False
2018-05-11,21,False
2018-05-12,15,False
2018-05-13,11,False
2018-05-14,26,False
2018-05-15,19,False
2018-05-16,20,False
2018-05-17,13,False
2018-05-18,7,False
2018-05-19,11,False
2018-05-20,15,False
2018-05-21,10,False
2018-05-22,16,False
2018-05-23,20,False
2018-05-24,17,False
2018-05-25,28,False
2018-05-26,8,False
2018-05-27,19,False
2018-05-28,10,False
2018-05-29,43,False
2018-05-30,13,False
2018-05-31,27,False
2018-06-01,35,False
2018-06-02,8,False
2018-06-03,12,False
2018-06-04,30,False
2018-06-05,30,False
2018-06-06,17,False
2018-06-07,10,False
2018-06-08,24,False
2018-06-09,16,False
2018-06-10,8,False
2018-06-11,29,False
2018-06-12,21,False
2018-06-13,21,False
2018-06-14,13,False
2018-06-15,17,False
2018-06-16,8,False
2018-06-17,8,False
2018-06-18,29,False
2018-06-19,23,False
2018-06-20,6,False
2018-06-21,16,False
2018-06-22,10,False
2018-06-23,23,False
