date,LRCX stock
2017-01-19,9
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,17
2017-01-24,34
2017-01-25,8
2017-01-26,34
2017-01-27,27
2017-01-28,0
2017-01-29,0
2017-01-30,17
2017-01-31,9
2017-02-01,25
2017-02-02,17
2017-02-03,18
2017-02-04,10
2017-02-05,0
2017-02-06,8
2017-02-07,8
2017-02-08,0
2017-02-09,26
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,25
2017-02-14,0
2017-02-15,9
2017-02-16,0
2017-02-17,17
2017-02-18,0
2017-02-19,10
2017-02-20,0
2017-02-21,8
2017-02-22,8
2017-02-23,0
2017-02-24,9
2017-02-25,10
2017-02-26,0
2017-02-27,0
2017-02-28,25
2017-03-01,16
2017-03-02,0
2017-03-03,9
2017-03-04,0
2017-03-05,0
2017-03-06,32
2017-03-07,8
2017-03-08,8
2017-03-09,8
2017-03-10,35
2017-03-11,10
2017-03-12,0
2017-03-13,23
2017-03-14,8
2017-03-15,8
2017-03-16,8
2017-03-17,9
2017-03-18,0
2017-03-19,0
2017-03-20,25
2017-03-21,8
2017-03-22,42
2017-03-23,8
2017-03-24,26
2017-03-25,10
2017-03-26,0
2017-03-27,0
2017-03-28,8
2017-03-29,0
2017-03-30,9
2017-03-31,9
2017-04-01,0
2017-04-02,0
2017-04-03,17
2017-04-04,8
2017-04-05,0
2017-04-06,9
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,9
2017-04-11,9
2017-04-12,0
2017-04-13,18
2017-04-14,0
2017-04-15,10
2017-04-16,10
2017-04-17,26
2017-04-18,17
2017-04-19,33
2017-04-20,17
2017-04-21,36
2017-04-22,10
2017-04-23,0
2017-04-24,50
2017-04-25,50
2017-04-26,50
2017-04-27,50
2017-04-28,26
2017-04-29,0
2017-04-30,20
2017-05-01,55
2017-05-02,33
2017-05-03,34
2017-05-04,34
2017-05-05,18
2017-05-06,0
2017-05-07,0
2017-05-08,17
2017-05-09,25
2017-05-10,25
2017-05-11,43
2017-05-12,27
2017-05-13,10
2017-05-14,0
2017-05-15,18
2017-05-16,9
2017-05-17,54
2017-05-18,0
2017-05-19,19
2017-05-20,0
2017-05-21,0
2017-05-22,36
2017-05-23,18
2017-05-24,9
2017-05-25,18
2017-05-26,10
2017-05-27,0
2017-05-28,0
2017-05-29,9
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,10
2017-06-03,0
2017-06-04,0
2017-06-05,9
2017-06-06,26
2017-06-07,26
2017-06-08,35
2017-06-09,37
2017-06-10,32
2017-06-11,10
2017-06-12,44
2017-06-13,17
2017-06-14,9
2017-06-15,27
2017-06-16,28
2017-06-17,11
2017-06-18,0
2017-06-19,36
2017-06-20,34
2017-06-21,26
2017-06-22,17
2017-06-23,27
2017-06-24,10
2017-06-25,0
2017-06-26,18
2017-06-27,0
2017-06-28,37
2017-06-29,28
2017-06-30,48
2017-07-01,0
2017-07-02,11
2017-07-03,0
2017-07-04,9
2017-07-05,28
2017-07-06,75
2017-07-07,38
2017-07-08,11
2017-07-09,11
2017-07-10,36
2017-07-11,27
2017-07-12,18
2017-07-13,9
2017-07-14,19
2017-07-15,32
2017-07-16,0
2017-07-17,36
2017-07-18,64
2017-07-19,28
2017-07-20,64
2017-07-21,10
2017-07-22,0
2017-07-23,21
2017-07-24,45
2017-07-25,9
2017-07-26,80
2017-07-27,81
2017-07-28,66
2017-07-29,0
2017-07-30,0
2017-07-31,54
2017-08-01,43
2017-08-02,50
2017-08-03,45
2017-08-04,28
2017-08-05,0
2017-08-06,10
2017-08-07,61
2017-08-08,42
2017-08-09,26
2017-08-10,27
2017-08-11,28
2017-08-12,31
2017-08-13,21
2017-08-14,100
2017-08-15,18
2017-08-16,53
2017-08-17,44
2017-08-18,55
2017-08-19,20
2017-08-20,20
2017-08-21,35
2017-08-22,35
2017-08-23,53
2017-08-24,27
2017-08-25,28
2017-08-26,10
2017-08-27,0
2017-08-28,53
2017-08-29,17
2017-08-30,26
2017-08-31,26
2017-09-01,9
2017-09-02,21
2017-09-03,0
2017-09-04,0
2017-09-05,9
2017-09-06,26
2017-09-07,9
2017-09-08,9
2017-09-09,10
2017-09-10,0
2017-09-11,52
2017-09-12,34
2017-09-13,17
2017-09-14,0
2017-09-15,27
2017-09-16,20
2017-09-17,0
2017-09-18,34
2017-09-19,60
2017-09-20,26
2017-09-21,26
2017-09-22,36
2017-09-23,0
2017-09-24,20
2017-09-25,34
2017-09-26,69
2017-09-27,17
2017-09-28,35
2017-09-29,54
2017-09-30,20
2017-10-01,0
2017-10-02,26
2017-10-03,34
2017-10-04,26
2017-10-05,26
2017-10-06,18
