date,LRCX stock
2015-12-26,0
2015-12-27,0
2015-12-28,49
2015-12-29,0
2015-12-30,25
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,24
2016-01-05,0
2016-01-06,48
2016-01-07,0
2016-01-08,25
2016-01-09,0
2016-01-10,0
2016-01-11,23
2016-01-12,0
2016-01-13,0
2016-01-14,24
2016-01-15,24
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,23
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,47
2016-02-02,0
2016-02-03,0
2016-02-04,24
2016-02-05,0
2016-02-06,28
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,23
2016-02-11,0
2016-02-12,0
2016-02-13,26
2016-02-14,0
2016-02-15,23
2016-02-16,0
2016-02-17,23
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,69
2016-03-02,23
2016-03-03,0
2016-03-04,24
2016-03-05,0
2016-03-06,0
2016-03-07,46
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,24
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,23
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,24
2016-03-24,25
2016-03-25,27
2016-03-26,28
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,23
2016-04-06,0
2016-04-07,47
2016-04-08,0
2016-04-09,0
2016-04-10,27
2016-04-11,0
2016-04-12,23
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,23
2016-04-19,0
2016-04-20,0
2016-04-21,47
2016-04-22,49
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,46
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,27
2016-05-02,24
2016-05-03,0
2016-05-04,0
2016-05-05,24
2016-05-06,74
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,23
2016-05-11,0
2016-05-12,23
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,23
2016-05-17,46
2016-05-18,0
2016-05-19,23
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,23
2016-05-24,23
2016-05-25,0
2016-05-26,24
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,24
2016-06-03,0
2016-06-04,0
2016-06-05,27
2016-06-06,47
2016-06-07,0
2016-06-08,47
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,23
2016-06-15,0
2016-06-16,23
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,47
2016-06-21,24
2016-06-22,24
2016-06-23,0
2016-06-24,50
2016-06-25,0
2016-06-26,28
2016-06-27,0
2016-06-28,24
2016-06-29,24
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,25
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,26
2016-07-09,0
2016-07-10,0
2016-07-11,25
2016-07-12,0
2016-07-13,50
2016-07-14,48
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,75
2016-07-19,100
2016-07-20,25
2016-07-21,0
2016-07-22,26
2016-07-23,0
2016-07-24,0
2016-07-25,25
2016-07-26,0
2016-07-27,50
2016-07-28,25
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,25
2016-08-03,0
2016-08-04,26
2016-08-05,27
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,26
2016-08-11,53
2016-08-12,0
2016-08-13,0
2016-08-14,30
2016-08-15,27
2016-08-16,0
2016-08-17,52
2016-08-18,80
2016-08-19,55
2016-08-20,0
2016-08-21,0
2016-08-22,52
2016-08-23,52
2016-08-24,51
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,24
2016-08-30,24
2016-08-31,49
2016-09-01,0
2016-09-02,26
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,25
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
