date,LRCX stock
2016-09-11,0
2016-09-12,16
2016-09-13,0
2016-09-14,16
2016-09-15,16
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,31
2016-09-20,15
2016-09-21,0
2016-09-22,0
2016-09-23,32
2016-09-24,0
2016-09-25,0
2016-09-26,16
2016-09-27,0
2016-09-28,47
2016-09-29,0
2016-09-30,16
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,46
2016-10-07,16
2016-10-08,0
2016-10-09,0
2016-10-10,47
2016-10-11,16
2016-10-12,63
2016-10-13,0
2016-10-14,16
2016-10-15,0
2016-10-16,0
2016-10-17,31
2016-10-18,15
2016-10-19,15
2016-10-20,15
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,31
2016-10-25,30
2016-10-26,30
2016-10-27,0
2016-10-28,16
2016-10-29,0
2016-10-30,0
2016-10-31,16
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,15
2016-11-08,30
2016-11-09,28
2016-11-10,15
2016-11-11,0
2016-11-12,18
2016-11-13,0
2016-11-14,15
2016-11-15,30
2016-11-16,0
2016-11-17,15
2016-11-18,32
2016-11-19,0
2016-11-20,17
2016-11-21,0
2016-11-22,45
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,14
2016-11-29,29
2016-11-30,0
2016-12-01,75
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,27
2016-12-06,14
2016-12-07,0
2016-12-08,15
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,14
2016-12-13,0
2016-12-14,0
2016-12-15,15
2016-12-16,16
2016-12-17,18
2016-12-18,17
2016-12-19,45
2016-12-20,15
2016-12-21,16
2016-12-22,16
2016-12-23,16
2016-12-24,0
2016-12-25,19
2016-12-26,0
2016-12-27,47
2016-12-28,16
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,60
2017-01-04,15
2017-01-05,30
2017-01-06,0
2017-01-07,17
2017-01-08,33
2017-01-09,29
2017-01-10,29
2017-01-11,0
2017-01-12,14
2017-01-13,15
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,14
2017-01-18,28
2017-01-19,0
2017-01-20,15
2017-01-21,16
2017-01-22,0
2017-01-23,28
2017-01-24,42
2017-01-25,28
2017-01-26,100
2017-01-27,30
2017-01-28,0
2017-01-29,16
2017-01-30,14
2017-01-31,14
2017-02-01,27
2017-02-02,29
2017-02-03,30
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,28
2017-02-08,0
2017-02-09,42
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,28
2017-02-14,28
2017-02-15,28
2017-02-16,0
2017-02-17,14
2017-02-18,0
2017-02-19,32
2017-02-20,0
2017-02-21,28
2017-02-22,14
2017-02-23,0
2017-02-24,15
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,28
2017-03-01,13
2017-03-02,27
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,40
2017-03-07,26
2017-03-08,14
2017-03-09,14
2017-03-10,29
2017-03-11,16
2017-03-12,0
2017-03-13,0
2017-03-14,14
2017-03-15,14
2017-03-16,28
2017-03-17,15
2017-03-18,16
2017-03-19,0
2017-03-20,28
2017-03-21,0
2017-03-22,28
2017-03-23,28
2017-03-24,29
2017-03-25,0
2017-03-26,0
2017-03-27,14
2017-03-28,28
2017-03-29,14
2017-03-30,29
2017-03-31,44
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,14
2017-04-05,0
2017-04-06,14
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,15
2017-04-14,0
2017-04-15,0
2017-04-16,33
2017-04-17,0
2017-04-18,41
2017-04-19,28
2017-04-20,28
2017-04-21,58
2017-04-22,0
2017-04-23,16
2017-04-24,14
2017-04-25,69
2017-04-26,55
2017-04-27,70
2017-04-28,44
2017-04-29,0
2017-04-30,66
2017-05-01,75
2017-05-02,55
2017-05-03,28
2017-05-04,28
2017-05-05,15
2017-05-06,0
2017-05-07,0
2017-05-08,42
2017-05-09,41
2017-05-10,28
2017-05-11,71
2017-05-12,29
2017-05-13,0
2017-05-14,0
2017-05-15,15
2017-05-16,45
2017-05-17,44
2017-05-18,15
2017-05-19,16
2017-05-20,0
2017-05-21,0
2017-05-22,45
2017-05-23,15
2017-05-24,15
2017-05-25,31
2017-05-26,32
2017-05-27,18
2017-05-28,18
2017-05-29,16
