date,LRCX stock
2018-02-13,27
2018-02-14,28
2018-02-15,60
2018-02-16,24
2018-02-17,5
2018-02-18,16
2018-02-19,4
2018-02-20,54
2018-02-21,49
2018-02-22,54
2018-02-23,61
2018-02-24,0
2018-02-25,0
2018-02-26,44
2018-02-27,49
2018-02-28,31
2018-03-01,31
2018-03-02,14
2018-03-03,16
2018-03-04,10
2018-03-05,35
2018-03-06,85
2018-03-07,76
2018-03-08,68
2018-03-09,100
2018-03-10,10
2018-03-11,5
2018-03-12,40
2018-03-13,49
2018-03-14,58
2018-03-15,77
2018-03-16,97
2018-03-17,16
2018-03-18,5
2018-03-19,49
2018-03-20,49
2018-03-21,31
2018-03-22,27
2018-03-23,42
2018-03-24,21
2018-03-25,10
2018-03-26,73
2018-03-27,73
2018-03-28,28
2018-03-29,34
2018-03-30,15
2018-03-31,21
2018-04-01,0
2018-04-02,43
2018-04-03,27
2018-04-04,27
2018-04-05,60
2018-04-06,43
2018-04-07,11
2018-04-08,10
2018-04-09,40
