date,LRCX stock
2017-10-06,15
2017-10-07,8
2017-10-08,4
2017-10-09,14
2017-10-10,7
2017-10-11,14
2017-10-12,22
2017-10-13,11
2017-10-14,4
2017-10-15,4
2017-10-16,14
2017-10-17,49
2017-10-18,35
2017-10-19,32
2017-10-20,7
2017-10-21,8
2017-10-22,0
2017-10-23,27
2017-10-24,17
2017-10-25,14
2017-10-26,28
2017-10-27,11
2017-10-28,4
2017-10-29,0
2017-10-30,14
2017-10-31,39
2017-11-01,14
2017-11-02,21
2017-11-03,18
2017-11-04,12
2017-11-05,0
2017-11-06,17
2017-11-07,7
2017-11-08,17
2017-11-09,24
2017-11-10,4
2017-11-11,16
2017-11-12,4
2017-11-13,10
2017-11-14,7
2017-11-15,17
2017-11-16,14
2017-11-17,14
2017-11-18,8
2017-11-19,0
2017-11-20,10
2017-11-21,20
2017-11-22,38
2017-11-23,4
2017-11-24,21
2017-11-25,12
2017-11-26,8
2017-11-27,20
2017-11-28,23
2017-11-29,54
2017-11-30,42
2017-12-01,36
2017-12-02,8
2017-12-03,4
2017-12-04,37
2017-12-05,30
2017-12-06,14
2017-12-07,21
2017-12-08,40
2017-12-09,0
2017-12-10,0
2017-12-11,17
2017-12-12,17
2017-12-13,24
2017-12-14,10
2017-12-15,14
2017-12-16,0
2017-12-17,8
2017-12-18,24
2017-12-19,10
2017-12-20,25
2017-12-21,7
2017-12-22,34
2017-12-23,0
2017-12-24,0
2017-12-25,4
2017-12-26,4
2017-12-27,15
2017-12-28,11
2017-12-29,19
2017-12-30,8
2017-12-31,4
2018-01-01,4
2018-01-02,14
2018-01-03,24
2018-01-04,10
2018-01-05,14
2018-01-06,15
2018-01-07,4
2018-01-08,13
2018-01-09,23
2018-01-10,30
2018-01-11,24
2018-01-12,24
2018-01-13,4
2018-01-14,0
2018-01-15,3
2018-01-16,16
2018-01-17,43
2018-01-18,43
2018-01-19,24
2018-01-20,11
2018-01-21,8
2018-01-22,32
2018-01-23,62
2018-01-24,85
2018-01-25,100
2018-01-26,55
2018-01-27,8
2018-01-28,8
2018-01-29,52
2018-01-30,40
2018-01-31,16
2018-02-01,30
2018-02-02,20
2018-02-03,8
2018-02-04,7
2018-02-05,26
2018-02-06,46
2018-02-07,26
2018-02-08,27
2018-02-09,31
2018-02-10,4
2018-02-11,4
2018-02-12,23
2018-02-13,20
2018-02-14,27
2018-02-15,47
2018-02-16,24
2018-02-17,4
2018-02-18,8
2018-02-19,3
2018-02-20,36
2018-02-21,39
2018-02-22,26
2018-02-23,44
2018-02-24,7
2018-02-25,0
2018-02-26,29
2018-02-27,38
2018-02-28,39
2018-03-01,22
2018-03-02,14
2018-03-03,4
2018-03-04,7
2018-03-05,26
2018-03-06,45
2018-03-07,52
2018-03-08,40
2018-03-09,76
2018-03-10,19
2018-03-11,0
2018-03-12,61
2018-03-13,45
2018-03-14,48
2018-03-15,20
2018-03-16,75
2018-03-17,4
2018-03-18,7
2018-03-19,20
2018-03-20,33
2018-03-21,36
2018-03-22,17
2018-03-23,20
2018-03-24,11
2018-03-25,0
2018-03-26,36
2018-03-27,33
2018-03-28,34
2018-03-29,35
2018-03-30,15
2018-03-31,12
2018-04-01,0
2018-04-02,31
2018-04-03,33
2018-04-04,40
2018-04-05,40
2018-04-06,24
2018-04-07,4
2018-04-08,4
2018-04-09,20
