date,LRCX stock
2016-05-04,0
2016-05-05,26
2016-05-06,53
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,49
2016-05-11,0
2016-05-12,25
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,25
2016-05-17,25
2016-05-18,0
2016-05-19,25
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,25
2016-05-24,0
2016-05-25,25
2016-05-26,26
2016-05-27,27
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,50
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,29
2016-06-06,50
2016-06-07,0
2016-06-08,76
2016-06-09,0
2016-06-10,26
2016-06-11,0
2016-06-12,0
2016-06-13,25
2016-06-14,0
2016-06-15,0
2016-06-16,25
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,50
2016-06-21,25
2016-06-22,25
2016-06-23,0
2016-06-24,27
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,25
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,27
2016-07-05,0
2016-07-06,27
2016-07-07,0
2016-07-08,28
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,26
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,27
2016-07-19,54
2016-07-20,54
2016-07-21,0
2016-07-22,28
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,80
2016-07-28,80
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,26
2016-08-03,0
2016-08-04,27
2016-08-05,29
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,28
2016-08-11,56
2016-08-12,58
2016-08-13,0
2016-08-14,32
2016-08-15,29
2016-08-16,0
2016-08-17,56
2016-08-18,57
2016-08-19,29
2016-08-20,0
2016-08-21,0
2016-08-22,28
2016-08-23,0
2016-08-24,55
2016-08-25,27
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,26
2016-08-31,26
2016-09-01,0
2016-09-02,27
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,53
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,27
2016-09-13,0
2016-09-14,26
2016-09-15,52
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,25
2016-09-20,51
2016-09-21,0
2016-09-22,0
2016-09-23,27
2016-09-24,0
2016-09-25,0
2016-09-26,26
2016-09-27,0
2016-09-28,51
2016-09-29,0
2016-09-30,27
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,51
2016-10-05,0
2016-10-06,51
2016-10-07,53
2016-10-08,0
2016-10-09,0
2016-10-10,26
2016-10-11,77
2016-10-12,26
2016-10-13,0
2016-10-14,26
2016-10-15,0
2016-10-16,0
2016-10-17,25
2016-10-18,50
2016-10-19,100
2016-10-20,25
2016-10-21,0
2016-10-22,30
2016-10-23,0
2016-10-24,50
2016-10-25,75
2016-10-26,50
2016-10-27,0
2016-10-28,27
2016-10-29,0
2016-10-30,0
2016-10-31,26
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,29
2016-11-06,0
2016-11-07,25
2016-11-08,25
2016-11-09,23
2016-11-10,0
2016-11-11,26
2016-11-12,0
2016-11-13,0
2016-11-14,25
2016-11-15,50
2016-11-16,25
2016-11-17,50
2016-11-18,0
2016-11-19,29
2016-11-20,28
2016-11-21,25
2016-11-22,50
2016-11-23,25
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,71
2016-11-29,24
2016-11-30,24
2016-12-01,0
2016-12-02,51
2016-12-03,28
2016-12-04,0
2016-12-05,22
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,25
2016-12-10,0
2016-12-11,0
2016-12-12,23
2016-12-13,0
2016-12-14,72
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,28
2016-12-19,49
2016-12-20,50
2016-12-21,26
2016-12-22,53
2016-12-23,54
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,51
2016-12-28,26
2016-12-29,0
2016-12-30,27
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,24
2017-01-04,0
2017-01-05,49
2017-01-06,0
2017-01-07,0
2017-01-08,27
2017-01-09,24
2017-01-10,47
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,54
2017-01-15,0
2017-01-16,0
2017-01-17,23
2017-01-18,92
2017-01-19,0
