date,Cognizant,isPartial
2014-03-16,30,False
2014-03-17,40,False
2014-03-18,48,False
2014-03-19,46,False
2014-03-20,49,False
2014-03-21,46,False
2014-03-22,31,False
2014-03-23,34,False
2014-03-24,47,False
2014-03-25,48,False
2014-03-26,46,False
2014-03-27,47,False
2014-03-28,41,False
2014-03-29,34,False
2014-03-30,26,False
2014-03-31,44,False
2014-04-01,53,False
2014-04-02,51,False
2014-04-03,45,False
2014-04-04,51,False
2014-04-05,37,False
2014-04-06,34,False
2014-04-07,45,False
2014-04-08,53,False
2014-04-09,43,False
2014-04-10,43,False
2014-04-11,45,False
2014-04-12,27,False
2014-04-13,27,False
2014-04-14,42,False
2014-04-15,38,False
2014-04-16,39,False
2014-04-17,45,False
2014-04-18,48,False
2014-04-19,28,False
2014-04-20,22,False
2014-04-21,37,False
2014-04-22,46,False
2014-04-23,43,False
2014-04-24,42,False
2014-04-25,44,False
2014-04-26,33,False
2014-04-27,26,False
2014-04-28,42,False
2014-04-29,43,False
2014-04-30,44,False
2014-05-01,33,False
2014-05-02,35,False
2014-05-03,25,False
2014-05-04,21,False
2014-05-05,41,False
2014-05-06,45,False
2014-05-07,48,False
2014-05-08,50,False
2014-05-09,45,False
2014-05-10,25,False
2014-05-11,22,False
2014-05-12,44,False
2014-05-13,34,False
2014-05-14,41,False
2014-05-15,33,False
2014-05-16,36,False
2014-05-17,20,False
2014-05-18,24,False
2014-05-19,44,False
2014-05-20,36,False
2014-05-21,39,False
2014-05-22,44,False
2014-05-23,48,False
2014-05-24,19,False
2014-05-25,24,False
2014-05-26,26,False
2014-05-27,34,False
2014-05-28,43,False
2014-05-29,44,False
2014-05-30,33,False
2014-05-31,32,False
2014-06-01,28,False
2014-06-02,42,False
2014-06-03,47,False
2014-06-04,41,False
2014-06-05,42,False
2014-06-06,49,False
2014-06-07,21,False
2014-06-08,21,False
2014-06-09,37,False
2014-06-10,47,False
2014-06-11,45,False
2014-06-12,40,False
2014-06-13,38,False
2014-06-14,28,False
2014-06-15,20,False
2014-06-16,35,False
2014-06-17,45,False
2014-06-18,51,False
2014-06-19,43,False
2014-06-20,43,False
2014-06-21,29,False
2014-06-22,27,False
2014-06-23,43,False
2014-06-24,49,False
2014-06-25,51,False
2014-06-26,47,False
2014-06-27,52,False
2014-06-28,37,False
2014-06-29,26,False
2014-06-30,45,False
2014-07-01,40,False
2014-07-02,48,False
2014-07-03,44,False
2014-07-04,42,False
2014-07-05,31,False
2014-07-06,25,False
2014-07-07,44,False
2014-07-08,48,False
2014-07-09,45,False
2014-07-10,47,False
2014-07-11,47,False
2014-07-12,31,False
2014-07-13,24,False
2014-07-14,46,False
2014-07-15,43,False
2014-07-16,49,False
2014-07-17,50,False
2014-07-18,55,False
2014-07-19,31,False
2014-07-20,34,False
2014-07-21,43,False
2014-07-22,48,False
2014-07-23,47,False
2014-07-24,59,False
2014-07-25,41,False
2014-07-26,27,False
2014-07-27,32,False
2014-07-28,47,False
2014-07-29,45,False
2014-07-30,53,False
2014-07-31,50,False
2014-08-01,47,False
2014-08-02,34,False
2014-08-03,25,False
2014-08-04,44,False
2014-08-05,49,False
2014-08-06,73,False
2014-08-07,57,False
2014-08-08,37,False
2014-08-09,36,False
2014-08-10,29,False
2014-08-11,45,False
2014-08-12,52,False
2014-08-13,51,False
2014-08-14,45,False
2014-08-15,33,False
2014-08-16,32,False
2014-08-17,24,False
2014-08-18,51,False
2014-08-19,48,False
2014-08-20,55,False
2014-08-21,45,False
2014-08-22,61,False
2014-08-23,37,False
2014-08-24,31,False
2014-08-25,53,False
2014-08-26,45,False
2014-08-27,45,False
2014-08-28,52,False
2014-08-29,32,False
2014-08-30,26,False
2014-08-31,25,False
2014-09-01,45,False
2014-09-02,48,False
