date,MU stock
2015-04-10,16
2015-04-11,4
2015-04-12,14
2015-04-13,6
2015-04-14,6
2015-04-15,24
2015-04-16,27
2015-04-17,6
2015-04-18,4
2015-04-19,10
2015-04-20,3
2015-04-21,15
2015-04-22,18
2015-04-23,24
2015-04-24,28
2015-04-25,3
2015-04-26,0
2015-04-27,26
2015-04-28,32
2015-04-29,9
2015-04-30,12
2015-05-01,17
2015-05-02,7
2015-05-03,14
2015-05-04,18
2015-05-05,6
2015-05-06,21
2015-05-07,12
2015-05-08,6
2015-05-09,14
2015-05-10,4
2015-05-11,21
2015-05-12,9
2015-05-13,3
2015-05-14,28
2015-05-15,12
2015-05-16,0
2015-05-17,0
2015-05-18,12
2015-05-19,32
2015-05-20,18
2015-05-21,12
2015-05-22,22
2015-05-23,0
2015-05-24,4
2015-05-25,3
2015-05-26,23
2015-05-27,15
2015-05-28,9
2015-05-29,19
2015-05-30,11
2015-05-31,0
2015-06-01,12
2015-06-02,15
2015-06-03,9
2015-06-04,3
2015-06-05,19
2015-06-06,11
2015-06-07,0
2015-06-08,12
2015-06-09,26
2015-06-10,18
2015-06-11,15
2015-06-12,3
2015-06-13,7
2015-06-14,7
2015-06-15,27
2015-06-16,35
2015-06-17,24
2015-06-18,9
2015-06-19,44
2015-06-20,4
2015-06-21,0
2015-06-22,21
2015-06-23,18
2015-06-24,18
2015-06-25,33
2015-06-26,100
2015-06-27,7
2015-06-28,7
2015-06-29,36
2015-06-30,30
2015-07-01,33
2015-07-02,31
2015-07-03,3
2015-07-04,4
2015-07-05,7
2015-07-06,23
2015-07-07,21
2015-07-08,21
2015-07-09,27
2015-07-10,22
2015-07-11,11
2015-07-12,0
2015-07-13,21
2015-07-14,81
2015-07-15,39
2015-07-16,52
2015-07-17,32
2015-07-18,12
2015-07-19,12
2015-07-20,13
2015-07-21,33
2015-07-22,33
2015-07-23,27
2015-07-24,19
2015-07-25,11
2015-07-26,7
2015-07-27,15
2015-07-28,32
2015-07-29,33
2015-07-30,30
2015-07-31,35
2015-08-01,4
2015-08-02,4
2015-08-03,24
2015-08-04,9
2015-08-05,27
2015-08-06,28
2015-08-07,19
2015-08-08,11
2015-08-09,0
2015-08-10,24
2015-08-11,21
2015-08-12,18
2015-08-13,15
2015-08-14,22
2015-08-15,4
2015-08-16,7
2015-08-17,33
2015-08-18,12
2015-08-19,48
2015-08-20,42
2015-08-21,40
2015-08-22,7
2015-08-23,7
2015-08-24,43
2015-08-25,46
2015-08-26,41
2015-08-27,41
2015-08-28,31
2015-08-29,7
2015-08-30,7
2015-08-31,23
2015-09-01,17
2015-09-02,17
2015-09-03,20
2015-09-04,27
2015-09-05,3
2015-09-06,3
2015-09-07,9
2015-09-08,26
2015-09-09,14
2015-09-10,17
2015-09-11,21
2015-09-12,20
2015-09-13,7
2015-09-14,19
2015-09-15,17
2015-09-16,20
2015-09-17,17
2015-09-18,32
2015-09-19,13
2015-09-20,3
2015-09-21,3
2015-09-22,39
2015-09-23,17
2015-09-24,29
2015-09-25,27
2015-09-26,13
2015-09-27,7
2015-09-28,16
2015-09-29,25
2015-09-30,37
2015-10-01,37
2015-10-02,53
2015-10-03,16
2015-10-04,16
2015-10-05,41
2015-10-06,41
2015-10-07,25
2015-10-08,20
2015-10-09,26
2015-10-10,0
2015-10-11,13
2015-10-12,26
2015-10-13,30
2015-10-14,25
2015-10-15,28
2015-10-16,38
2015-10-17,13
2015-10-18,10
2015-10-19,25
2015-10-20,33
2015-10-21,33
2015-10-22,11
2015-10-23,12
2015-10-24,3
2015-10-25,3
2015-10-26,22
2015-10-27,11
2015-10-28,25
2015-10-29,36
2015-10-30,18
2015-10-31,10
2015-11-01,7
2015-11-02,17
2015-11-03,19
2015-11-04,19
2015-11-05,22
2015-11-06,12
2015-11-07,13
2015-11-08,6
2015-11-09,14
2015-11-10,16
2015-11-11,14
2015-11-12,9
2015-11-13,9
2015-11-14,3
2015-11-15,0
2015-11-16,14
2015-11-17,16
2015-11-18,16
2015-11-19,19
2015-11-20,17
2015-11-21,0
2015-11-22,3
2015-11-23,8
2015-11-24,19
2015-11-25,11
2015-11-26,0
2015-11-27,15
2015-11-28,3
2015-11-29,3
2015-11-30,14
2015-12-01,5
2015-12-02,22
2015-12-03,17
2015-12-04,23
2015-12-05,7
2015-12-06,3
2015-12-07,22
2015-12-08,22
2015-12-09,11
2015-12-10,25
2015-12-11,15
2015-12-12,0
2015-12-13,3
2015-12-14,25
2015-12-15,23
2015-12-16,26
2015-12-17,17
2015-12-18,12
2015-12-19,7
2015-12-20,0
2015-12-21,24
2015-12-22,33
2015-12-23,31
2015-12-24,25
2015-12-25,8
2015-12-26,69
