date,MU stock
2011-09-18,0
2011-09-19,0
2011-09-20,18
2011-09-21,18
2011-09-22,0
2011-09-23,38
2011-09-24,100
2011-09-25,22
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,9
2011-09-30,9
2011-10-01,11
2011-10-02,0
2011-10-03,27
2011-10-04,17
2011-10-05,9
2011-10-06,0
2011-10-07,9
2011-10-08,0
2011-10-09,11
2011-10-10,35
2011-10-11,8
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,9
2011-10-19,26
2011-10-20,0
2011-10-21,18
2011-10-22,11
2011-10-23,31
2011-10-24,9
2011-10-25,17
2011-10-26,18
2011-10-27,0
2011-10-28,18
2011-10-29,0
2011-10-30,0
2011-10-31,9
2011-11-01,9
2011-11-02,17
2011-11-03,9
2011-11-04,18
2011-11-05,0
2011-11-06,10
2011-11-07,9
2011-11-08,0
2011-11-09,26
2011-11-10,0
2011-11-11,36
2011-11-12,0
2011-11-13,0
2011-11-14,17
2011-11-15,0
2011-11-16,34
2011-11-17,9
2011-11-18,0
2011-11-19,0
2011-11-20,0
2011-11-21,8
2011-11-22,8
2011-11-23,9
2011-11-24,18
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-11-28,25
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,0
2011-12-03,10
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,34
2011-12-08,9
2011-12-09,18
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,9
2011-12-16,18
2011-12-17,0
2011-12-18,20
2011-12-19,0
2011-12-20,17
2011-12-21,26
2011-12-22,18
2011-12-23,10
2011-12-24,0
2011-12-25,12
2011-12-26,0
2011-12-27,9
2011-12-28,18
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,11
2012-01-02,9
2012-01-03,0
2012-01-04,16
2012-01-05,17
2012-01-06,0
2012-01-07,10
2012-01-08,0
2012-01-09,16
2012-01-10,16
2012-01-11,24
2012-01-12,0
2012-01-13,0
2012-01-14,29
2012-01-15,10
2012-01-16,0
2012-01-17,24
2012-01-18,8
2012-01-19,0
2012-01-20,8
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,32
2012-01-26,16
2012-01-27,25
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,55
2012-02-01,40
2012-02-02,24
2012-02-03,49
2012-02-04,28
2012-02-05,9
2012-02-06,31
2012-02-07,0
2012-02-08,0
2012-02-09,8
2012-02-10,0
2012-02-11,9
2012-02-12,0
2012-02-13,23
2012-02-14,8
2012-02-15,0
2012-02-16,16
2012-02-17,0
2012-02-18,19
2012-02-19,0
2012-02-20,0
2012-02-21,32
2012-02-22,8
2012-02-23,16
2012-02-24,8
2012-02-25,19
2012-02-26,9
2012-02-27,0
2012-02-28,15
2012-02-29,23
2012-03-01,40
2012-03-02,8
2012-03-03,0
2012-03-04,0
2012-03-05,8
2012-03-06,8
2012-03-07,15
2012-03-08,0
2012-03-09,8
2012-03-10,9
2012-03-11,0
2012-03-12,15
2012-03-13,0
2012-03-14,0
2012-03-15,8
2012-03-16,8
2012-03-17,0
2012-03-18,0
2012-03-19,15
2012-03-20,8
2012-03-21,8
2012-03-22,16
2012-03-23,8
2012-03-24,9
2012-03-25,9
2012-03-26,8
2012-03-27,0
2012-03-28,8
2012-03-29,8
2012-03-30,25
2012-03-31,9
2012-04-01,0
2012-04-02,16
2012-04-03,16
2012-04-04,16
2012-04-05,8
2012-04-06,0
2012-04-07,10
2012-04-08,0
2012-04-09,9
2012-04-10,8
2012-04-11,15
2012-04-12,23
2012-04-13,0
2012-04-14,9
2012-04-15,0
2012-04-16,23
2012-04-17,0
2012-04-18,23
2012-04-19,23
2012-04-20,8
2012-04-21,9
2012-04-22,18
2012-04-23,23
2012-04-24,8
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,9
2012-04-30,8
2012-05-01,0
2012-05-02,8
2012-05-03,8
2012-05-04,8
2012-05-05,0
2012-05-06,0
2012-05-07,15
2012-05-08,15
2012-05-09,0
2012-05-10,16
2012-05-11,8
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,8
2012-05-17,8
2012-05-18,8
2012-05-19,0
2012-05-20,9
2012-05-21,8
2012-05-22,8
2012-05-23,8
2012-05-24,8
2012-05-25,16
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,15
2012-05-30,8
2012-05-31,23
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,7
