date,MU stock
2016-09-11,4
2016-09-12,11
2016-09-13,11
2016-09-14,13
2016-09-15,19
2016-09-16,19
2016-09-17,1
2016-09-18,1
2016-09-19,11
2016-09-20,9
2016-09-21,12
2016-09-22,8
2016-09-23,11
2016-09-24,1
2016-09-25,0
2016-09-26,7
2016-09-27,11
2016-09-28,8
2016-09-29,13
2016-09-30,13
2016-10-01,4
2016-10-02,36
2016-10-03,9
2016-10-04,19
2016-10-05,15
2016-10-06,14
2016-10-07,14
2016-10-08,4
2016-10-09,0
2016-10-10,11
2016-10-11,10
2016-10-12,12
2016-10-13,6
2016-10-14,4
2016-10-15,1
2016-10-16,1
2016-10-17,14
2016-10-18,14
2016-10-19,14
2016-10-20,15
2016-10-21,7
2016-10-22,1
2016-10-23,2
2016-10-24,7
2016-10-25,8
2016-10-26,9
2016-10-27,6
2016-10-28,8
2016-10-29,5
2016-10-30,1
2016-10-31,12
2016-11-01,4
2016-11-02,5
2016-11-03,4
2016-11-04,7
2016-11-05,4
2016-11-06,1
2016-11-07,10
2016-11-08,9
2016-11-09,10
2016-11-10,7
2016-11-11,10
2016-11-12,6
2016-11-13,0
2016-11-14,10
2016-11-15,7
2016-11-16,13
2016-11-17,8
2016-11-18,15
2016-11-19,2
2016-11-20,2
2016-11-21,7
2016-11-22,20
2016-11-23,13
2016-11-24,4
2016-11-25,10
2016-11-26,1
2016-11-27,1
2016-11-28,8
2016-11-29,13
2016-11-30,14
2016-12-01,12
2016-12-02,18
2016-12-03,1
2016-12-04,1
2016-12-05,12
2016-12-06,17
2016-12-07,11
2016-12-08,15
2016-12-09,18
2016-12-10,5
2016-12-11,1
2016-12-12,16
2016-12-13,9
2016-12-14,9
2016-12-15,9
2016-12-16,14
2016-12-17,1
2016-12-18,2
2016-12-19,11
2016-12-20,23
2016-12-21,29
2016-12-22,53
2016-12-23,29
2016-12-24,4
2016-12-25,5
2016-12-26,15
2016-12-27,27
2016-12-28,25
2016-12-29,18
2016-12-30,15
2016-12-31,6
2017-01-01,4
2017-01-02,2
2017-01-03,12
2017-01-04,12
2017-01-05,17
2017-01-06,16
2017-01-07,3
2017-01-08,2
2017-01-09,13
2017-01-10,23
2017-01-11,13
2017-01-12,14
2017-01-13,13
2017-01-14,6
2017-01-15,1
2017-01-16,4
2017-01-17,5
2017-01-18,18
2017-01-19,21
2017-01-20,21
2017-01-21,37
2017-01-22,2
2017-01-23,11
2017-01-24,14
2017-01-25,9
2017-01-26,19
2017-01-27,16
2017-01-28,7
2017-01-29,0
2017-01-30,15
2017-01-31,15
2017-02-01,23
2017-02-02,22
2017-02-03,19
2017-02-04,8
2017-02-05,4
2017-02-06,11
2017-02-07,19
2017-02-08,12
2017-02-09,19
2017-02-10,12
2017-02-11,4
2017-02-12,0
2017-02-13,18
2017-02-14,19
2017-02-15,20
2017-02-16,19
2017-02-17,28
2017-02-18,7
2017-02-19,2
2017-02-20,11
2017-02-21,13
2017-02-22,25
2017-02-23,18
2017-02-24,23
2017-02-25,7
2017-02-26,4
2017-02-27,19
2017-02-28,20
2017-03-01,29
2017-03-02,31
2017-03-03,18
2017-03-04,10
2017-03-05,3
2017-03-06,16
2017-03-07,22
2017-03-08,31
2017-03-09,26
2017-03-10,22
2017-03-11,3
2017-03-12,3
2017-03-13,18
2017-03-14,21
2017-03-15,26
2017-03-16,20
2017-03-17,13
2017-03-18,2
2017-03-19,1
2017-03-20,22
2017-03-21,19
2017-03-22,24
2017-03-23,65
2017-03-24,100
2017-03-25,16
2017-03-26,10
2017-03-27,38
2017-03-28,35
2017-03-29,35
2017-03-30,26
2017-03-31,32
2017-04-01,10
2017-04-02,8
2017-04-03,35
2017-04-04,21
2017-04-05,27
2017-04-06,23
2017-04-07,22
2017-04-08,6
2017-04-09,4
2017-04-10,29
2017-04-11,23
2017-04-12,32
2017-04-13,34
2017-04-14,9
2017-04-15,3
2017-04-16,1
2017-04-17,25
2017-04-18,27
2017-04-19,22
2017-04-20,21
2017-04-21,17
2017-04-22,7
2017-04-23,3
2017-04-24,33
2017-04-25,28
2017-04-26,21
2017-04-27,18
2017-04-28,38
2017-04-29,5
2017-04-30,2
2017-05-01,20
2017-05-02,27
2017-05-03,29
2017-05-04,23
2017-05-05,22
2017-05-06,8
2017-05-07,7
2017-05-08,25
2017-05-09,35
2017-05-10,34
2017-05-11,19
2017-05-12,24
2017-05-13,2
2017-05-14,4
2017-05-15,28
2017-05-16,26
2017-05-17,24
2017-05-18,30
2017-05-19,22
2017-05-20,1
2017-05-21,4
2017-05-22,17
2017-05-23,26
2017-05-24,18
2017-05-25,26
2017-05-26,28
2017-05-27,4
2017-05-28,11
2017-05-29,10
